method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_images_jitter
colmap,20,42,,42,,farthestpose,20,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,6999,30000,default,MCMC,gsplat,9.631362915039062,0.9729344844818115,0.11345525830984116,759,,,42,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_i20_gteval_steps30000/stats/val_step6999.json,,,colmap |  | 6999,20.0
colmap,20,42,,42,,farthestpose,20,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,30000,default,MCMC,gsplat,9.419546127319336,0.8804900050163269,0.11022401601076126,37114,,,42,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_i20_gteval_steps30000/stats/val_step14999.json,,,colmap |  | 14999,20.0
colmap,20,42,,42,,farthestpose,20,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,29999,30000,default,MCMC,gsplat,9.231760025024414,0.8492314219474792,0.0935739129781723,1000000,,,42,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_i20_gteval_steps30000/stats/val_step29999.json,,,colmap |  | 29999,20.0
colmap,30,42,,721,,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,6999,30000,default,MCMC,gsplat,14.463136672973633,0.914292573928833,0.278577595949173,16150,,,721,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_i30_gteval_steps30000/stats/val_step6999.json,1.9728,0.022973,colmap |  | 6999,30.0
colmap,30,42,,721,,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,30000,default,MCMC,gsplat,12.665315628051758,0.7769778370857239,0.21628504991531372,799971,,,721,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_i30_gteval_steps30000/stats/val_step14999.json,1.9728,0.022973,colmap |  | 14999,30.0
colmap,30,42,,721,,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,29999,30000,default,MCMC,gsplat,11.871827125549316,0.7125261425971985,0.1493215560913086,1000000,,,721,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_i30_gteval_steps30000/stats/val_step29999.json,1.9728,0.022973,colmap |  | 29999,30.0
colmap,40,42,,2130,,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,6999,30000,default,MCMC,gsplat,15.108590126037598,0.7999143004417419,0.2784377932548523,48145,,,2130,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_i40_gteval_steps30000/stats/val_step6999.json,0.6204,0.04371,colmap |  | 6999,40.0
colmap,40,42,,2130,,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,30000,default,MCMC,gsplat,14.210004806518555,0.6652437448501587,0.23181551694869995,1000000,,,2130,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_i40_gteval_steps30000/stats/val_step14999.json,0.6204,0.04371,colmap |  | 14999,40.0
colmap,40,42,,2130,,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,29999,30000,default,MCMC,gsplat,12.94107437133789,0.6243957281112671,0.17280003428459167,1000000,,,2130,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_i40_gteval_steps30000/stats/val_step29999.json,0.6204,0.04371,colmap |  | 29999,40.0
colmap,50,42,,3105,,farthestpose,50,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,6999,30000,default,MCMC,gsplat,16.95792007446289,0.7423657774925232,0.3126314580440521,70325,,,3105,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_i50_gteval_steps30000/stats/val_step6999.json,0.383,0.024467,colmap |  | 6999,50.0
