Choice,Num Images,Val Step,PSNR ↑,LPIPS ↓,SSIM ↑
VGGT,10,7000,14.184672355651855,0.683916449546814,0.2135917991399765
VGGT,10,15000,13.965576171875,0.590803861618042,0.17159809172153473
VGGT,10,30000,13.898900985717773,0.5807726979255676,0.1610243320465088
COLMAP,20,7000,9.631362915039062,0.9729344844818115,0.11345525830984116
VGGT,20,7000,15.738850593566895,0.6312702298164368,0.25276005268096924
COLMAP,20,15000,9.419546127319336,0.8804900050163269,0.11022401601076126
VGGT,20,15000,15.269786834716797,0.5280897617340088,0.20857051014900208
COLMAP,20,30000,9.231760025024414,0.8492314219474792,0.0935739129781723
VGGT,20,30000,15.115450859069824,0.5159942507743835,0.19618827104568481
COLMAP,30,7000,14.463136672973633,0.914292573928833,0.278577595949173
VGGT,30,7000,16.537736892700195,0.6095308065414429,0.2638530433177948
COLMAP,30,15000,12.665315628051758,0.7769778370857239,0.21628504991531372
VGGT,30,15000,15.878649711608887,0.5002561211585999,0.21767626702785492
COLMAP,30,30000,11.871827125549316,0.7125261425971985,0.1493215560913086
VGGT,30,30000,15.60102367401123,0.4869890511035919,0.2027241438627243
COLMAP,40,7000,15.108590126037598,0.7999143004417419,0.2784377932548523
VGGT,40,7000,16.989152908325195,0.6071404814720154,0.27557122707366943
COLMAP,40,15000,14.210004806518555,0.6652437448501587,0.23181551694869995
VGGT,40,15000,16.334716796875,0.49311622977256775,0.23024408519268036
COLMAP,40,30000,12.94107437133789,0.6243957281112671,0.17280003428459167
VGGT,40,30000,16.012210845947266,0.4783775210380554,0.21352967619895935
COLMAP,50,7000,16.95792007446289,0.7423657774925232,0.3126314580440521
VGGT,50,7000,17.2822208404541,0.6035707592964172,0.28210604190826416
COLMAP,50,15000,15.68934154510498,0.6128765940666199,0.2657383382320404
VGGT,50,15000,16.710235595703125,0.48017746210098267,0.23867638409137726
COLMAP,50,30000,15.22823715209961,0.5402122139930725,0.23027066886425018
VGGT,50,30000,16.386030197143555,0.46037858724594116,0.2206108272075653
COLMAP,60,7000,17.0362548828125,0.7277652025222778,0.310467392206192
VGGT,60,7000,17.281049728393555,0.5932828187942505,0.28517335653305054
COLMAP,60,15000,16.19650650024414,0.5651834607124329,0.2727082669734955
VGGT,60,15000,16.802654266357422,0.467292845249176,0.243814617395401
COLMAP,60,30000,15.678672790527344,0.5082400441169739,0.23813548684120178
VGGT,60,30000,16.522478103637695,0.4458264708518982,0.22650931775569916
COLMAP,70,7000,18.17291259765625,0.6832441687583923,0.3681323826313019
VGGT,70,7000,17.384416580200195,0.6023193001747131,0.2899303436279297
COLMAP,70,15000,17.722394943237305,0.5174846649169922,0.35631629824638367
VGGT,70,15000,16.899005889892578,0.4748997688293457,0.24809019267559052
COLMAP,70,30000,17.527376174926758,0.4621124863624573,0.35130205750465393
VGGT,70,30000,16.618968963623047,0.44932258129119873,0.23012831807136536
COLMAP,80,7000,17.589635848999023,0.6535374522209167,0.3296971023082733
VGGT,80,7000,17.570371627807617,0.5986766815185547,0.29523757100105286
COLMAP,80,15000,17.149641036987305,0.48408156633377075,0.2989770174026489
VGGT,80,15000,17.095565795898438,0.4673696756362915,0.25509950518608093
COLMAP,80,30000,16.949081420898438,0.42405998706817627,0.2778851389884949
VGGT,80,30000,16.81553077697754,0.44000643491744995,0.23754149675369263
COLMAP,90,7000,20.38810157775879,0.5675394535064697,0.4224262833595276
VGGT,90,7000,17.565204620361328,0.6121927499771118,0.2993758022785187
COLMAP,90,15000,20.307613372802734,0.3976375460624695,0.4282987117767334
VGGT,90,15000,17.163660049438477,0.46938011050224304,0.25909674167633057
COLMAP,90,30000,20.14105987548828,0.30839625000953674,0.4218485653400421
VGGT,90,30000,16.89717674255371,0.4366765022277832,0.24098162353038788
COLMAP,100,7000,20.826608657836914,0.5455312132835388,0.4576277732849121
VGGT,100,7000,17.706327438354492,0.6190664768218994,0.30542224645614624
COLMAP,100,15000,21.103322982788086,0.3189964294433594,0.5019667744636536
VGGT,100,15000,17.311317443847656,0.4716956317424774,0.26789507269859314
COLMAP,100,30000,21.075180053710938,0.2813344895839691,0.4988190233707428
VGGT,100,30000,17.05530548095703,0.43494269251823425,0.25015583634376526
