method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
colmap,20,42,,90,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,colmap,pinhole,,7000,30000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.80368423461914,0.5118016600608826,0.6762470602989197,1834,0.39247140288352966,111.35820770263672,4.145623207092285,0.18604014158403817,90,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps30000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps30000/stats/val_step6999.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps30000,111.3582,0.022895,3,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps30000_val_step6999.json,90,colmap | 7000.0,20.0
colmap,30,42,,908,,,,,0,10,farthestpose,30,GT Eval,,,,,,,,,0.0,,colmap,pinhole,,7000,30000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.717106819152832,0.5273599028587341,0.6404288411140442,20407,1.0257097482681274,85.98506164550781,3.1751439571380615,0.15388667552482,908,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps30000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps30000/stats/val_step6999.json,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps30000,85.9851,3.013466,18,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps30000_val_step6999.json,908,colmap | 7000.0,30.0
colmap,40,42,,2626,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,pinhole,,7000,30000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.93983268737793,0.5101410746574402,0.6750611066818237,59411,0.9176681637763977,176.2496337890625,3.7576093673706055,0.18889292181893708,2626,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps30000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps30000/stats/val_step6999.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps30000,176.2496,3.722113,35,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps30000_val_step6999.json,2626,colmap | 7000.0,40.0
colmap,50,42,,3745,,,,,0,10,farthestpose,50,GT Eval,,,,,,,,,0.0,,colmap,pinhole,,7000,30000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.870529174804688,0.5358685255050659,0.6474330425262451,84802,0.9356138706207275,158.61215209960938,2.910693407058716,0.15557161827533564,3745,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_steps30000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_steps30000/stats/val_step6999.json,lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_steps30000,158.6122,3.616413,41,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_steps30000_val_step6999.json,3745,colmap | 7000.0,50.0
colmap,60,42,,4882,,,,,0,10,farthestpose,60,GT Eval,,,,,,,,,0.0,,colmap,pinhole,,7000,30000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.819005012512207,0.5457695722579956,0.6294260025024414,110683,0.9028717875480652,151.22836303710938,3.7673165798187256,0.13797527710441804,4882,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n60_s42_default_mpinhole_farthestpose_sharedcam_i60_gteval_steps30000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n60_s42_default_mpinhole_farthestpose_sharedcam_i60_gteval_steps30000/stats/val_step6999.json,lego_1_n60_s42_default_mpinhole_farthestpose_sharedcam_i60_gteval_steps30000,151.2284,3.589798,49,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n60_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n60_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n60_s42_default_mpinhole_farthestpose_sharedcam_i60_gteval_steps30000_val_step6999.json,4882,colmap | 7000.0,60.0
colmap,70,42,,7209,,,,,0,10,farthestpose,70,GT Eval,,,,,,,,,0.0,,colmap,pinhole,,7000,30000,default,MCMC,,,,,Shared Cam,,,,,gsplat,23.115022659301758,0.09309525787830353,0.8613499402999878,163474,0.0027404611464589834,0.18446187674999237,2.8048081398010254,0.7807359305235222,7209,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n70_s42_default_mpinhole_farthestpose_sharedcam_i70_gteval_steps30000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n70_s42_default_mpinhole_farthestpose_sharedcam_i70_gteval_steps30000/stats/val_step6999.json,lego_1_n70_s42_default_mpinhole_farthestpose_sharedcam_i70_gteval_steps30000,0.1844,0.010395,70,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n70_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n70_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n70_s42_default_mpinhole_farthestpose_sharedcam_i70_gteval_steps30000_val_step6999.json,7209,colmap | 7000.0,70.0
vggt,10,42,0.0,11000,voxels,,,,0,10,farthestpose,10,GT Eval,,,,,,,,,0.0,,vggt,,,7000,30000,,MCMC,,,,,,,,,,gsplat,13.95449447631836,0.37584754824638367,0.621872067451477,17998,0.035920821130275726,2.5924410820007324,,0.2965125292055478,800,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps30000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps30000/stats/val_step6999.json,lego_1_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps30000,2.5925,0.160213,10,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n10_s42_c0.0_p11000_voxels_farthestpose/eval_results.json,lego_1_n10_s42_c0.0_p11000_voxels_farthestpose,lego_1_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps30000_val_step6999.json,800,vggt | 7000.0,10.0
vggt,20,42,0.0,22000,voxels,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,vggt,,,7000,30000,,MCMC,,,,,,,,,,gsplat,14.946561813354492,0.45267125964164734,0.6439855694770813,353,0.03247709199786186,2.1459293365478516,,0.28039397501651153,25,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps30000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps30000/stats/val_step6999.json,lego_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps30000,2.2981,0.141203,20,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n20_s42_c0.0_p22000_voxels_farthestpose/eval_results.json,lego_1_n20_s42_c0.0_p22000_voxels_farthestpose,lego_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps30000_val_step6999.json,25,vggt | 7000.0,20.0
vggt,30,42,0.0,33000,voxels,,,,0,10,farthestpose,30,GT Eval,,,,,,,,,0.0,,vggt,,,7000,30000,,MCMC,,,,,,,,,,gsplat,14.347678184509277,0.3336876332759857,0.6290175318717957,714363,0.02939479425549507,2.0485146045684814,,0.3339969820214062,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps30000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps30000/stats/val_step6999.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps30000,2.2345,0.136023,30,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose/eval_results.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps30000_val_step6999.json,31473,vggt | 7000.0,30.0
vggt,40,42,0.0,44000,voxels,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,vggt,,,7000,30000,,MCMC,,,,,,,,,,gsplat,14.827980041503906,0.29453715682029724,0.6556732058525085,963086,0.016375195235013962,1.3581125736236572,,0.3826465350687698,42428,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_steps30000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_steps30000/stats/val_step6999.json,lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_steps30000,1.3219,0.069077,40,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n40_s42_c0.0_p44000_voxels_farthestpose/eval_results.json,lego_1_n40_s42_c0.0_p44000_voxels_farthestpose,lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_steps30000_val_step6999.json,42428,vggt | 7000.0,40.0
