method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_images_jitter
colmap,20,42,,44,,farthestpose,20,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,9.327774047851562,0.9867873787879944,0.011039652861654758,38969,,,-0.523502769271823,44,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000,,,,colmap,20.0
colmap,20,43,,307,,farthestpose,20,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,12.595540046691895,0.7959556579589844,0.2447282373905182,333823,0.0038030000869184732,0.9480000138282776,-0.20853123461913553,307,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s43_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s43_default_farthestpose_sharedcam_i20_gteval_steps15000,0.948,0.004987,5,colmap,20.0
colmap,20,44,,307,,farthestpose,20,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,11.563855171203613,0.7879530787467957,0.1924384981393814,333823,0.00382799981161952,0.9490000009536743,-0.25327544126361884,307,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s44_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s44_default_farthestpose_sharedcam_i20_gteval_steps15000,0.949,0.00502,5,colmap,20.0
colmap,30,42,,729,,farthestpose,30,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,12.014815330505371,0.7400323152542114,0.19129426777362823,811220,0.006016999948769808,0.5918000340461731,-0.21601274956194427,729,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000,0.5918,0.009894,8,colmap,30.0
colmap,30,43,,734,,farthestpose,30,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,12.36093807220459,0.7633841037750244,0.1900867223739624,815398,0.005967999808490276,0.5991999506950378,-0.22472392033260302,734,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s43_default_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s43_default_farthestpose_sharedcam_i30_gteval_steps15000,0.5992,0.009812,8,colmap,30.0
colmap,30,44,,119,,farthestpose,30,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,9.358941078186035,0.981684684753418,0.008769058622419834,121660,,,-0.5211036237993937,119,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s44_default_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s44_default_farthestpose_sharedcam_i30_gteval_steps15000,,,,colmap,30.0
colmap,40,42,,1994,,farthestpose,40,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,13.919034004211426,0.6599552631378174,0.229066863656044,1000000,0.005003000609576702,0.3116000294685364,-0.10922992434727821,1994,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000,0.3116,0.017061,18,colmap,40.0
colmap,40,43,,1889,,farthestpose,40,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,13.696967124938965,0.6705612540245056,0.20831717550754547,1000000,0.006262999959290028,0.830299973487854,-0.13202350247285824,1889,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s43_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s43_default_farthestpose_sharedcam_i40_gteval_steps15000,0.8303,0.019782,19,colmap,40.0
colmap,40,44,,2030,,farthestpose,40,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,14.320857048034668,0.6508322954177856,0.23920409381389618,1000000,0.0056940000504255295,0.30230000615119934,-0.09022909054282105,2030,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s44_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s44_default_farthestpose_sharedcam_i40_gteval_steps15000,0.3023,0.019103,20,colmap,40.0
colmap,50,42,,3071,,farthestpose,50,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,16.712671279907227,0.5908353328704834,0.30026674270629883,1000000,0.002750999992713332,0.189099982380867,0.026808079068268837,3071,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000,0.1891,0.008857,29,colmap,50.0
