choice,num_images,rre,rte,psnr,lpips,ssim,num_aligned
COLMAP,20,19.4863,0.240427,9.327774047851562,0.9867873787879944,0.011039652861654758,2
COLMAP,30,0.5111,0.00955,12.060203552246094,0.7754727005958557,0.1813303530216217,8
COLMAP,40,0.2627,0.018073,14.498021125793457,0.6936643719673157,0.2647492289543152,18
COLMAP,50,0.2327,0.008995,16.598623275756836,0.5833204984664917,0.29286250472068787,29
COLMAP,60,0.1219,0.009703,17.236000061035156,0.5451602935791016,0.3305085003376007,35
COLMAP,70,0.1045,0.008959,17.67551040649414,0.5228040814399719,0.34432029724121094,40
COLMAP,80,0.1595,0.005965,17.76422882080078,0.4812810719013214,0.3296169936656952,48
COLMAP,90,0.1166,0.008212,20.889169692993164,0.395292729139328,0.447834849357605,90
COLMAP,100,0.0986,0.006893,21.33245086669922,0.36376556754112244,0.4795043170452118,100
VGGT,10,1.569,0.141985,14.1177978515625,0.582433819770813,0.18400134146213531,10
VGGT,20,1.3446,0.119326,15.447319030761719,0.506489634513855,0.2102356106042862,20
VGGT,30,0.9795,0.090795,15.909794807434082,0.483803391456604,0.21887671947479248,30
VGGT,40,0.8856,0.086546,16.239471435546875,0.47751808166503906,0.22693517804145813,40
VGGT,50,0.9199,0.086453,16.593347549438477,0.45837247371673584,0.23123961687088013,50
VGGT,60,0.8369,0.071063,16.704614639282227,0.4475344717502594,0.23841258883476257,60
VGGT,70,0.9155,0.07769,16.78994369506836,0.45191246271133423,0.2412833422422409,70
VGGT,80,0.873,0.073069,17.001585006713867,0.44336363673210144,0.24793365597724915,80
VGGT,90,0.8907,0.071127,17.06501007080078,0.44399958848953247,0.25104543566703796,90
VGGT,100,0.7161,0.065623,17.17383575439453,0.44064733386039734,0.25722789764404297,100
