choice,dataset,num_images,rre,rte,psnr,lpips,ssim,quality
COLMAP,bicycle,20,,,9.327774047851562,0.9867873787879944,0.011039652861654758,-0.523502769271823
COLMAP,bicycle,30,0.5111,0.00955,12.060203552246094,0.7754727005958557,0.1813303530216217,-0.24287585874437267
COLMAP,bicycle,40,0.2627,0.018073,14.498021125793457,0.6936643719673157,0.2647492289543152,-0.09844915219295165
COLMAP,bicycle,50,0.2327,0.008995,16.598623275756836,0.5833204984664917,0.29286250472068787,0.025004901926265068
COLMAP,bicycle,60,0.1219,0.009703,17.236000061035156,0.5451602935791016,0.3305085003376007,0.08237905987212224
COLMAP,bicycle,70,0.1045,0.008959,17.67551040649414,0.5228040814399719,0.34432029724121094,0.11239534550630255
COLMAP,bicycle,80,0.1595,0.005965,17.76422882080078,0.4812810719013214,0.3296169936656952,0.13107134333053452
COLMAP,bicycle,90,0.1166,0.008212,20.889169692993164,0.395292729139328,0.447834849357605,0.31115309161129834
COLMAP,bicycle,100,0.0986,0.006893,21.33245086669922,0.36376556754112244,0.4795043170452118,0.3573433696410345
VGGT,bicycle,10,1.7912,0.150833,13.803942680358887,0.6047332882881165,0.1751570999622345,-0.10879978396196957
VGGT,bicycle,20,1.1489,0.123985,15.55400562286377,0.5371801257133484,0.22049811482429504,-0.008176514512149438
VGGT,bicycle,30,0.9302,0.091567,16.027252197265625,0.5184488892555237,0.22858744859695435,0.016880407125784126
VGGT,bicycle,40,0.9969,0.089406,16.12211036682129,0.5192983150482178,0.2323216050863266,0.020296420231509977
VGGT,bicycle,50,0.6557,0.085436,16.73282241821289,0.4985169470310211,0.24448710680007935,0.051548236101149295
VGGT,bicycle,60,0.8021,0.07088,17.18524169921875,0.47763046622276306,0.2580051124095917,0.08072452676071609
VGGT,bicycle,70,0.6381,0.075809,17.59673309326172,0.4768727123737335,0.2714533507823944,0.09667695393571618
VGGT,bicycle,80,0.8513,0.071835,17.21129035949707,0.4814114570617676,0.26604875922203064,0.08357685142093232
VGGT,bicycle,90,0.6724,0.068485,17.69089698791504,0.47149649262428284,0.2737588584423065,0.1030876340224729
VGGT,bicycle,100,0.7161,0.065623,17.48404312133789,0.475044310092926,0.27306225895881653,0.09665962796152379
COLMAP,bonsai,10,10.9378,0.183862,10.203524589538574,0.835077702999115,0.2639256715774536,-0.26575065797764874
COLMAP,bonsai,20,0.4539,0.008021,12.78054141998291,0.5810893177986145,0.37014880776405334,0.0008736228385167744
COLMAP,bonsai,30,5.0799,0.503901,12.956140518188477,0.6936205625534058,0.40043017268180847,-0.04762987280294746
COLMAP,bonsai,40,1.264,0.122388,16.021272659301758,0.47918105125427246,0.5187664031982422,0.2107043762033523
COLMAP,bonsai,50,0.2274,0.036933,19.56189727783203,0.3011001944541931,0.6085438132286072,0.43869936295807405
COLMAP,bonsai,60,0.2129,0.012431,20.666831970214844,0.2531079649925232,0.6391506195068359,0.5066846666435206
COLMAP,bonsai,70,0.2295,0.012152,20.396320343017578,0.2565770745277405,0.6297097206115723,0.4940127729207684
COLMAP,bonsai,80,0.2543,0.014815,20.760934829711914,0.2436372935771942,0.6288368701934814,0.5082419733090242
COLMAP,bonsai,90,0.187,0.059543,21.677244186401367,0.22065772116184235,0.6703037619590759,0.5636452306509792
COLMAP,bonsai,100,0.1581,0.013152,22.422779083251953,0.20355287194252014,0.6968405842781067,0.6035285908886177
VGGT,bonsai,10,1.2224,0.101789,14.363959312438965,0.5565085411071777,0.4319087862968445,0.08148644185825318
VGGT,bonsai,20,0.8715,0.105606,15.945022583007812,0.4815351366996765,0.4989281892776489,0.19623790389922938
VGGT,bonsai,30,1.0012,0.109652,16.140792846679688,0.4826662242412567,0.5093332529067993,0.20524990949791846
VGGT,bonsai,40,0.9283,0.102109,16.416425704956055,0.4696885347366333,0.5262302756309509,0.2282464409742052
VGGT,bonsai,50,0.8485,0.101676,16.635122299194336,0.4640566408634186,0.5351247191429138,0.2409742845584232
VGGT,bonsai,60,0.8453,0.104136,16.893232345581055,0.4561729431152344,0.5466399192810059,0.25735461549219796
VGGT,bonsai,70,1.0269,0.111958,16.96408462524414,0.4550938010215759,0.5497002601623535,0.26112250487009686
VGGT,bonsai,80,0.8623,0.113142,17.359451293945312,0.4431104362010956,0.5643690824508667,0.2844195072723721
VGGT,bonsai,90,0.8374,0.108134,17.494306564331055,0.4433383047580719,0.5699833035469055,0.29005933772286013
VGGT,bonsai,100,0.734,0.106282,17.496349334716797,0.4409027695655823,0.5737745761871338,0.2938177020926225
COLMAP,lego,20,111.3893,0.022876,10.803786277770996,0.5119118690490723,0.6756448745727539,0.1856218456369937
COLMAP,lego,30,132.5397,3.729538,10.754471778869629,0.5123341083526611,0.6750344038009644,0.18409097217909304
COLMAP,lego,40,173.622,3.771985,10.87772274017334,0.5230934023857117,0.6327624917030334,0.15501144143030812
COLMAP,lego,50,144.652,3.618531,10.931468963623047,0.5264056324958801,0.5981243252754211,0.13370591769983736
COLMAP,lego,60,147.8803,3.623879,10.869637489318848,0.5229114890098572,0.6601412296295166,0.17098496462169446
COLMAP,lego,70,0.2026,0.01069,21.826129913330078,0.06788375228643417,0.8252301812171936,0.7513075379813313
COLMAP,lego,80,15.3915,0.895301,10.938504219055176,0.47431427240371704,0.5621680617332458,0.14496430605553123
COLMAP,lego,87,10.4269,0.396164,24.951248168945312,0.057750023901462555,0.8941664099693298,0.8557490702280368
VGGT,lego,10,2.5925,0.160213,13.555880546569824,0.3526148498058319,0.6066633462905884,0.29457797265966806
VGGT,lego,20,2.2981,0.141203,13.4330472946167,0.33392438292503357,0.6114479899406433,0.3066386452659994
VGGT,lego,30,2.2345,0.136023,13.871111869812012,0.31448233127593994,0.6260510683059692,0.33529203057366586
VGGT,lego,40,1.3219,0.069077,14.372994422912598,0.27497971057891846,0.6559584736824036,0.38646019643742663
VGGT,lego,50,0.8706,0.041593,15.175189018249512,0.23339296877384186,0.6860618591308594,0.44459079915707256
VGGT,lego,60,0.6267,0.028956,16.22696304321289,0.18970757722854614,0.7092137336730957,0.5045734949124331
VGGT,lego,70,0.4264,0.02124,18.453107833862305,0.12629058957099915,0.7528641223907471,0.6104712302302137
VGGT,lego,80,0.3472,0.018759,19.928924560546875,0.10332583636045456,0.7656623721122742,0.6594612997623137
VGGT,lego,87,0.3306,0.018825,20.416574478149414,0.0973096638917923,0.7700197100639343,0.6747536913499652
