choice,num_images,rre,rte,psnr,lpips,ssim,num_aligned
COLMAP,10,10.9378,0.183862,10.203524589538574,0.835077702999115,0.2639256715774536,4
COLMAP,20,0.4539,0.008021,12.78054141998291,0.5810893177986145,0.37014880776405334,9
COLMAP,30,5.0799,0.503901,12.956140518188477,0.6936205625534058,0.40043017268180847,14
COLMAP,40,1.264,0.122388,16.021272659301758,0.47918105125427246,0.5187664031982422,34
COLMAP,50,0.2274,0.036933,19.56189727783203,0.3011001944541931,0.6085438132286072,50
COLMAP,60,0.2129,0.012431,20.666831970214844,0.2531079649925232,0.6391506195068359,60
COLMAP,70,0.2295,0.012152,20.396320343017578,0.2565770745277405,0.6297097206115723,70
COLMAP,80,0.2543,0.014815,20.760934829711914,0.2436372935771942,0.6288368701934814,80
COLMAP,90,0.187,0.059543,21.677244186401367,0.22065772116184235,0.6703037619590759,90
COLMAP,100,0.1581,0.013152,22.422779083251953,0.20355287194252014,0.6968405842781067,100
VGGT,10,1.2025,0.110639,14.608336448669434,0.5423161387443542,0.45169347524642944,10
VGGT,20,0.8715,0.105606,16.036222457885742,0.4769107699394226,0.5052074193954468,20
VGGT,30,1.0012,0.109652,16.071237564086914,0.47879505157470703,0.5128805041313171,30
VGGT,40,0.891,0.103772,16.479904174804688,0.465628981590271,0.525874137878418,40
VGGT,50,0.8013,0.103039,16.620929718017578,0.45816999673843384,0.5343571901321411,50
VGGT,60,0.8024,0.105191,16.900257110595703,0.447796493768692,0.545324981212616,60
VGGT,70,0.9067,0.112128,17.010080337524414,0.4468514919281006,0.5486091375350952,70
VGGT,80,0.8804,0.113074,17.368619918823242,0.4320487678050995,0.5617063641548157,80
VGGT,90,0.8434,0.110305,17.54071617126465,0.43176278471946716,0.5679988265037537,90
VGGT,100,0.7215,0.105749,17.731338500976562,0.4183982312679291,0.5749688744544983,100
