method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,inference_time,peak_memory_mb,peak_memory_reserved_mb,processing_time,sfm_file_path,input_folder,output_folder,initial_points,failed_sfm_file_path,plot_series,num_images_jitter
colmap,30,42,,245,,,,,0,10,minfarthestpose,30,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,14.077865600585938,0.784950852394104,0.2591404318809509,264668,0.006391197443008423,0.3337806165218353,,,-0.16585948763147731,0.5615953835422857,245,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000,0.3338,0.009274,6,0.52756,,,,7.97350811958313,1434,1434,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n30_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n30_s42_default_minfarthestpose_sharedcam,bicycle_4_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,245,,colmap,30.0
colmap,40,42,,329,,,,,0,10,minfarthestpose,40,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,15.817615509033203,0.6667900681495667,0.29693716764450073,359081,0.0037136971950531006,0.14308501780033112,,,-0.03859978678011126,0.5104915661390372,329,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000,0.1431,0.006862,9,0.685205,,,,14.81194806098938,1434,1434,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n40_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n40_s42_default_minfarthestpose_sharedcam,bicycle_4_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,329,,colmap,40.0
colmap,50,42,,3489,,,,,0,10,minfarthestpose,50,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,19.971603393554688,0.43686988949775696,0.37685221433639526,1000000,0.0030892484355717897,0.1497589349746704,,,0.2269858964237786,0.4121108639918377,3489,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000,0.1498,0.011463,46,0.97877,,,,10.574543714523315,7346,7346,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n50_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n50_s42_default_minfarthestpose_sharedcam,bicycle_4_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,3489,,colmap,50.0
colmap,60,42,,5439,,,,,0,10,minfarthestpose,60,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,19.752241134643555,0.40431737899780273,0.36857086420059204,1000000,0.0029093585908412933,0.13441917300224304,,,0.23817487983753186,0.40317653525129193,5439,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000,0.1344,0.010799,59,1.02818,,,,14.349272727966309,7410,7410,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n60_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n60_s42_default_minfarthestpose_sharedcam,bicycle_4_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,5439,,colmap,60.0
colmap,70,42,,8521,,,,,0,10,minfarthestpose,70,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,19.710527420043945,0.3646119236946106,0.37013497948646545,1000000,0.0026197393890470266,0.11995593458414078,,,0.26282663125353556,0.3896471779847298,8521,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000,0.12,0.009717,69,1.016821,,,,20.831656455993652,7470,7470,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n70_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n70_s42_default_minfarthestpose_sharedcam,bicycle_4_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,8521,,colmap,70.0
colmap,80,42,,11796,,,,,0,10,minfarthestpose,80,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,20.295074462890625,0.34108200669288635,0.40262851119041443,1000000,0.002403906313702464,0.11904101073741913,,,0.307178281939905,0.37444108347248783,11796,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_minfarthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_minfarthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_default_minfarthestpose_sharedcam_i80_gteval_steps15000,0.119,0.008923,80,1.011902,,,,27.30118417739868,7552,7552,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n80_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n80_s42_default_minfarthestpose_sharedcam,bicycle_4_n80_s42_default_minfarthestpose_sharedcam_i80_gteval_steps15000_val_step14999.json,11796,,colmap,80.0
colmap,90,42,,15687,,,,,0,10,minfarthestpose,90,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,20.278013229370117,0.32080644369125366,0.4018096923828125,1000000,0.002212557476013899,0.1129547581076622,,,0.3188992713936898,0.36787132982798865,15687,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s42_default_minfarthestpose_sharedcam_i90_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s42_default_minfarthestpose_sharedcam_i90_gteval_steps15000/stats/val_step14999.json,bicycle_4_n90_s42_default_minfarthestpose_sharedcam_i90_gteval_steps15000,0.113,0.008149,89,1.011157,,,,32.59644627571106,7616,7616,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n90_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n90_s42_default_minfarthestpose_sharedcam,bicycle_4_n90_s42_default_minfarthestpose_sharedcam_i90_gteval_steps15000_val_step14999.json,15687,,colmap,90.0
colmap,100,42,,18986,,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,21.351070404052734,0.30705827474594116,0.48162931203842163,1000000,0.0019408967345952988,0.10879188030958176,,,0.3939353647442744,0.3447881194133031,18986,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000,0.1088,0.007262,99,1.015409,,,,45.9896764755249,7676,7676,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_default_minfarthestpose_sharedcam,bicycle_4_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000_val_step14999.json,18986,,colmap,100.0
colmap,10,42,,,,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,,,default,MCMC,,,,,Shared Cam,,,,,,failed_sfm,,outdoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n10_s42_default_minfarthestpose_sharedcam/failed_eval.json,,bicycle_4_n10_s42_default_minfarthestpose_sharedcam,,,,,,,,,,,,,bicycle_4_n10_s42_default_minfarthestpose_sharedcam,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n10_s42_default_minfarthestpose_sharedcam/failed_eval.json,colmap,10.0
vggt,10,42,0.0,100000,random,,,,0,10,minfarthestpose,10,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,outdoor,14.79854679107666,0.5090194940567017,0.1662842333316803,1000000,0.026726771146059036,1.1783794164657593,,,-0.03648741118237131,0.48507468689116895,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_c0.0_p100000_random_minfarthestpose_i10_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_c0.0_p100000_random_minfarthestpose_i10_gteval_steps15000/stats/val_step14999.json,bicycle_4_n10_s42_c0.0_p100000_random_minfarthestpose_i10_gteval_steps15000,1.1783,0.108132,10,5.202234,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n10_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,bicycle_4_n10_s42_c0.0_p100000_random_minfarthestpose,bicycle_4_n10_s42_c0.0_p100000_random_minfarthestpose_i10_gteval_steps15000_val_step14999.json,100000,,vggt,10.0
