choice,num_images,rre,rte,psnr,lpips,ssim,num_aligned
COLMAP,30,0.3338,0.009274,14.077865600585938,0.784950852394104,0.2591404318809509,6
COLMAP,40,0.1431,0.006862,15.817615509033203,0.6667900681495667,0.29693716764450073,9
COLMAP,50,0.1498,0.011463,19.971603393554688,0.43686988949775696,0.37685221433639526,46
COLMAP,60,0.1344,0.010799,19.752241134643555,0.40431737899780273,0.36857086420059204,59
COLMAP,70,0.12,0.009717,19.710527420043945,0.3646119236946106,0.37013497948646545,69
COLMAP,80,0.119,0.008923,20.295074462890625,0.34108200669288635,0.40262851119041443,80
COLMAP,90,0.113,0.008149,20.278013229370117,0.32080644369125366,0.4018096923828125,89
COLMAP,100,0.1088,0.007262,21.351070404052734,0.30705827474594116,0.48162931203842163,99
VGGT,10,1.1783,0.108132,14.79854679107666,0.5090194940567017,0.1662842333316803,10
VGGT,20,1.0605,0.087384,16.030118942260742,0.4482399523258209,0.1950506567955017,20
VGGT,30,0.7506,0.068725,16.636945724487305,0.41680651903152466,0.2121407836675644,30
VGGT,40,0.7065,0.072581,16.837194442749023,0.40848785638809204,0.2244861125946045,40
VGGT,50,0.8231,0.071475,17.12584686279297,0.41138193011283875,0.23516662418842316,50
VGGT,60,0.7342,0.065719,17.196531295776367,0.40759557485580444,0.2425255924463272,60
VGGT,70,0.8769,0.061125,17.303333282470703,0.4162306487560272,0.24821975827217102,70
VGGT,80,0.9233,0.065463,16.890607833862305,0.43058598041534424,0.24954284727573395,80
VGGT,90,0.7367,0.06455,17.289386749267578,0.4206547141075134,0.2599956691265106,90
VGGT,100,0.679,0.066492,17.131547927856445,0.42457109689712524,0.26422879099845886,100
