choice,dataset,num_images,num_points,rre,rte,psnr,lpips,ssim,num_GS
VGGT,bicycle,25,25000,1.0783,0.091856,15.644537925720215,0.5010181665420532,0.2147984504699707,1000000
VGGT,bicycle,25,100000,0.9039,0.090655,,,,
VGGT,bicycle,50,50000,0.9199,0.086453,16.593347549438477,0.45837247371673584,0.23123961687088013,1000000
VGGT,bicycle,50,100000,0.8722,0.087304,,,,
VGGT,bicycle,75,75000,0.8919,0.075478,16.91168212890625,0.44822928309440613,0.24732838571071625,1000000
VGGT,bicycle,75,100000,0.6268,0.074345,,,,
VGGT,bicycle,100,100000,0.7161,0.065623,17.17383575439453,0.44064733386039734,0.25722789764404297,1000000
VGGT,bonsai,25,25000,0.9517,0.109315,16.03333282470703,0.47500842809677124,0.5096633434295654,1000000
VGGT,bonsai,25,100000,0.8913,0.109411,15.984853744506836,0.48511022329330444,0.4963415563106537,1000000
VGGT,bonsai,50,50000,0.8013,0.103039,16.620929718017578,0.45816999673843384,0.5343571901321411,1000000
VGGT,bonsai,50,100000,0.8635,0.099994,16.56155014038086,0.45917990803718567,0.528039813041687,1000000
VGGT,bonsai,75,75000,0.9009,0.113361,17.104366302490234,0.4441588222980499,0.5539000034332275,1000000
VGGT,bonsai,75,100000,0.8831,0.110619,17.070791244506836,0.44415944814682007,0.5509544014930725,1000000
VGGT,bonsai,100,100000,0.7897,0.107121,17.731338500976562,0.4183982312679291,0.5749688744544983,1000000
VGGT,lego,25,25000,2.1388,0.131855,,,,
VGGT,lego,25,100000,2.0902,0.125194,,,,
VGGT,lego,50,50000,0.8706,0.041593,,,,
VGGT,lego,50,100000,0.901,0.041792,,,,
VGGT,lego,75,75000,0.3684,0.019217,,,,
VGGT,lego,75,100000,0.3556,0.019225,,,,
VGGT,lego,87,87000,0.3306,0.018825,20.619525909423828,0.0951065868139267,0.7748908996582031,1000000
VGGT,lego,87,100000,0.2976,0.018838,,,,
