choice,num_images,image_mode,eval_rre,eval_rte,num_aligned,psnr,lpips,ssim
COLMAP,10,farthestpose,2.324471950531006,0.030917618423700333,4,8.503281593322754,0.7939874529838562,0.3814893364906311
COLMAP,10,minfarthestpose,4.289182186126709,0.02717670425772667,5,11.731576919555664,0.7849702835083008,0.4465307593345642
COLMAP,20,farthestpose,3.1688013076782227,0.013678145594894886,3,9.180434226989746,0.8296937346458435,0.3853382170200348
COLMAP,20,minfarthestpose,0.42219364643096924,0.00565310288220644,13,15.710131645202637,0.5470780730247498,0.5253390073776245
COLMAP,30,farthestpose,0.7582684755325317,0.012265180237591267,16,15.262022972106934,0.5092620849609375,0.4885578751564026
COLMAP,30,minfarthestpose,0.06634712219238281,0.0010080591309815645,30,21.888214111328125,0.2984953820705414,0.7325990200042725
COLMAP,40,farthestpose,0.09282775968313217,0.001013078959658742,21,16.691198348999023,0.4448277950286865,0.5393339395523071
COLMAP,40,minfarthestpose,0.028198357671499252,0.0003482026804704219,40,24.603349685668945,0.22913803160190582,0.8271180987358093
COLMAP,50,farthestpose,0.08111449331045151,0.0011814370518550277,50,21.674362182617188,0.26255613565444946,0.7462775707244873
COLMAP,50,minfarthestpose,0.028411859646439552,0.00025813060346990824,50,24.986021041870117,0.20539075136184692,0.830534815788269
COLMAP,60,farthestpose,0.09829704463481903,0.0014049609890207648,60,22.458229064941406,0.24587373435497284,0.752843976020813
COLMAP,60,minfarthestpose,0.0201762393116951,0.0001977609790628776,60,26.181917190551758,0.18822935223579407,0.863492488861084
COLMAP,70,farthestpose,0.04009554907679558,0.0006022099405527115,70,23.834909439086914,0.21836262941360474,0.8213272094726562
COLMAP,70,minfarthestpose,0.02303597331047058,0.00022970866120886058,70,26.339242935180664,0.18342407047748566,0.865631103515625
COLMAP,80,farthestpose,0.03129981458187103,0.0004194413195364177,80,24.278818130493164,0.20455364882946014,0.8342589139938354
COLMAP,80,minfarthestpose,0.022676028311252594,0.0002596257836557925,80,27.183610916137695,0.1713743507862091,0.8791419267654419
COLMAP,90,farthestpose,0.02784809097647667,0.00030686846002936363,90,24.82149314880371,0.19619227945804596,0.8438746929168701
COLMAP,90,minfarthestpose,0.022765260189771652,0.0002114875242114067,90,27.337886810302734,0.1655639111995697,0.8813161849975586
COLMAP,100,farthestpose,0.025510873645544052,0.0002561314613558352,100,25.227703094482422,0.18847616016864777,0.8500107526779175
COLMAP,100,minfarthestpose,0.020605646073818207,0.00022327476472128183,100,27.591217041015625,0.1640363335609436,0.8841723799705505
VGGT,10,farthestpose,1.032991886138916,0.011409209109842777,10,14.630772590637207,0.529693603515625,0.4285721480846405
VGGT,10,minfarthestpose,0.6196081638336182,0.007702796719968319,10,15.312705993652344,0.46570608019828796,0.4637790620326996
VGGT,20,farthestpose,0.4224449694156647,0.0066604032181203365,20,16.50326156616211,0.4099852442741394,0.4949265122413635
VGGT,20,minfarthestpose,0.32010748982429504,0.008387953974306583,20,18.486108779907227,0.32745662331581116,0.5552088618278503
VGGT,30,farthestpose,0.3405108153820038,0.007026628591120243,30,17.623441696166992,0.35817795991897583,0.5414295196533203
VGGT,30,minfarthestpose,0.29721325635910034,0.0074224816635251045,30,19.33246421813965,0.26895180344581604,0.5794456005096436
VGGT,40,farthestpose,0.2980943024158478,0.007545196916908026,40,18.961111068725586,0.3114233613014221,0.5920451283454895
VGGT,40,minfarthestpose,0.22745473682880402,0.006366201676428318,40,21.021846771240234,0.2146087884902954,0.6408676505088806
VGGT,50,farthestpose,0.29935893416404724,0.007037539500743151,50,19.83986473083496,0.2860031723976135,0.6318663954734802
VGGT,50,minfarthestpose,0.2475298047065735,0.005967493634670973,50,20.259363174438477,0.22905497252941132,0.6079114079475403
VGGT,60,farthestpose,0.2951344847679138,0.006479553412646055,60,19.75446128845215,0.27860400080680847,0.6170884370803833
VGGT,60,minfarthestpose,0.24181009829044342,0.0059680575504899025,60,20.554582595825195,0.22223743796348572,0.6172617673873901
VGGT,70,farthestpose,0.3052857220172882,0.0065836249850690365,70,20.03561782836914,0.26330429315567017,0.6184042692184448
VGGT,70,minfarthestpose,0.25354209542274475,0.006092517636716366,70,20.85220718383789,0.21493147313594818,0.6281002759933472
VGGT,80,farthestpose,0.27369818091392517,0.006358656100928783,80,20.939157485961914,0.2434888333082199,0.6566348075866699
VGGT,80,minfarthestpose,0.25096529722213745,0.0059201959520578384,80,21.12226104736328,0.2113538235425949,0.6348922848701477
VGGT,90,farthestpose,0.26311761140823364,0.006113243289291859,90,20.079118728637695,0.2560035288333893,0.6203312277793884
VGGT,90,minfarthestpose,0.2732209265232086,0.005893162451684475,90,20.601428985595703,0.22335854172706604,0.6230571866035461
VGGT,100,farthestpose,0.25385963916778564,0.006176562514156103,100,20.807443618774414,0.23748624324798584,0.6405438780784607
VGGT,100,minfarthestpose,0.2777145802974701,0.006049837917089462,100,20.58078384399414,0.2260625958442688,0.622958779335022
