method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,failed_sfm_file_path,plot_series,num_images_jitter
colmap,20,42,,105,,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,drums,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,6.573758602142334,0.8610514402389526,0.0944964587688446,107549,0.04122573882341385,5.302027702331543,0.4831242561340332,0.2609376311302185,-0.4480831287680235,0.6775776716120308,105,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000,5.1198,0.003811,3,0.082359,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam,drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000_val_step14999.json,105,,colmap | farthestpose,20.0
colmap,30,42,,105,,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,drums,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,11.87600326538086,0.5139749050140381,0.40454837679862976,107549,0.010904939845204353,1.031067132949829,0.07396318763494492,0.07193657010793686,0.04566827317659853,0.45018439595077886,105,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000,0.5778,0.011678,4,0.193321,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam,drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000_val_step14999.json,105,,colmap | farthestpose,30.0
colmap,40,42,,287,,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,drums,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,12.676614761352539,0.40889972448349,0.5027180910110474,313729,0.004789901897311211,0.7317674160003662,0.06522585451602936,0.056620411574840546,0.18276482413851494,0.3893583461070665,287,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000,0.9174,0.005572,5,0.199581,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam,drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000_val_step14999.json,287,,colmap | farthestpose,40.0
colmap,87,42,,3866,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,drums,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,22.8007869720459,0.08921363204717636,0.906125545501709,1000000,0.0019269566982984543,0.09517744928598404,0.015581444837152958,0.016012171283364296,0.8034973809032024,0.13361671317880486,3866,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000,0.1528,0.009899,79,0.837402,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam,drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000_val_step14999.json,3866,,colmap | farthestpose,87.0
colmap,10,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,False,1.0,1.0,vggt,drums,pinhole,,,,default,MCMC,,,,,Shared Cam,,,,,,failed_sfm,,synthetic,,,,,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n10_s42_default_mpinhole_farthestpose_sharedcam/failed_eval.json,,drums_1_n10_s42_default_mpinhole_farthestpose_sharedcam,,,,,,,,,drums_1_n10_s42_default_mpinhole_farthestpose_sharedcam,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n10_s42_default_mpinhole_farthestpose_sharedcam/failed_eval.json,colmap | farthestpose,10.0
vggt,10,42,0.0,100000,random,,,,0,10,farthestpose,10,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,vggt,drums,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,12.552970886230469,0.41816696524620056,0.6033636331558228,1000000,0.020867060869932175,1.1331332921981812,0.2664596736431122,0.06933683156967163,0.23361164594796507,0.36783670290435333,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n10_s42_c0.0_p100000_random_farthestpose_i10_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n10_s42_c0.0_p100000_random_farthestpose_i10_gteval_poseopt_steps15000/stats/val_step14999.json,drums_1_n10_s42_c0.0_p100000_random_farthestpose_i10_gteval_poseopt_steps15000,1.1533,0.077913,10,3.951663,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n10_s42_c0.0_p100000_random_farthestpose/eval_results.json,drums_1_n10_s42_c0.0_p100000_random_farthestpose,drums_1_n10_s42_c0.0_p100000_random_farthestpose_i10_gteval_poseopt_steps15000_val_step14999.json,100000,,vggt | farthestpose,10.0
vggt,20,42,0.0,100000,random,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,vggt,drums,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,13.024746894836426,0.35147058963775635,0.6518818736076355,1000000,0.013671020977199078,0.8252199292182922,0.22249725461006165,0.06533606350421906,0.3118920809576618,0.3304399668677377,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n20_s42_c0.0_p100000_random_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n20_s42_c0.0_p100000_random_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,drums_1_n20_s42_c0.0_p100000_random_farthestpose_i20_gteval_poseopt_steps15000,0.8537,0.052643,20,3.984908,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n20_s42_c0.0_p100000_random_farthestpose/eval_results.json,drums_1_n20_s42_c0.0_p100000_random_farthestpose,drums_1_n20_s42_c0.0_p100000_random_farthestpose_i20_gteval_poseopt_steps15000_val_step14999.json,100000,,vggt | farthestpose,20.0
vggt,30,42,0.0,100000,random,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,vggt,drums,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,13.856667518615723,0.28722187876701355,0.6922610998153687,1000000,0.01179701741784811,0.6450808048248291,0.2050703465938568,0.06134996563196182,0.3905712990810377,0.2943702014557016,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n30_s42_c0.0_p100000_random_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n30_s42_c0.0_p100000_random_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,drums_1_n30_s42_c0.0_p100000_random_farthestpose_i30_gteval_poseopt_steps15000,0.6952,0.041396,30,4.001407,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n30_s42_c0.0_p100000_random_farthestpose/eval_results.json,drums_1_n30_s42_c0.0_p100000_random_farthestpose,drums_1_n30_s42_c0.0_p100000_random_farthestpose_i30_gteval_poseopt_steps15000_val_step14999.json,100000,,vggt | farthestpose,30.0
vggt,40,42,0.0,100000,random,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,vggt,drums,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,17.644712448120117,0.11200924217700958,0.7947654128074646,1000000,0.006328662391752005,0.24928505718708038,0.08195652067661285,0.024434417486190796,0.6288202704548294,0.19407916514678508,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n40_s42_c0.0_p100000_random_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n40_s42_c0.0_p100000_random_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,drums_1_n40_s42_c0.0_p100000_random_farthestpose_i40_gteval_poseopt_steps15000,0.3733,0.019382,40,4.013289,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n40_s42_c0.0_p100000_random_farthestpose/eval_results.json,drums_1_n40_s42_c0.0_p100000_random_farthestpose,drums_1_n40_s42_c0.0_p100000_random_farthestpose_i40_gteval_poseopt_steps15000_val_step14999.json,100000,,vggt | farthestpose,40.0
colmap,50,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,False,1.0,1.0,vggt,drums,pinhole,,,,default,MCMC,,,,,Shared Cam,,,,,,sfm,,synthetic,,,,,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,,drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam,0.3235,0.012924,18,0.525496,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam,,,,colmap | farthestpose,50.0
vggt,50,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,False,1.0,1.0,vggt,drums,,,,,,MCMC,,,,,,,,,,,sfm,,synthetic,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n50_s42_c0.0_p100000_random_farthestpose/eval_results.json,,drums_1_n50_s42_c0.0_p100000_random_farthestpose,0.3263,0.018171,50,4.030391,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n50_s42_c0.0_p100000_random_farthestpose/eval_results.json,drums_1_n50_s42_c0.0_p100000_random_farthestpose,,,,vggt | farthestpose,50.0
colmap,60,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,False,1.0,1.0,vggt,drums,pinhole,,,,default,MCMC,,,,,Shared Cam,,,,,,sfm,,synthetic,,,,,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n60_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,,drums_1_n60_s42_default_mpinhole_farthestpose_sharedcam,0.2955,0.012916,22,0.516215,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n60_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n60_s42_default_mpinhole_farthestpose_sharedcam,,,,colmap | farthestpose,60.0
vggt,60,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,False,1.0,1.0,vggt,drums,,,,,,MCMC,,,,,,,,,,,sfm,,synthetic,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n60_s42_c0.0_p100000_random_farthestpose/eval_results.json,,drums_1_n60_s42_c0.0_p100000_random_farthestpose,0.3668,0.018927,60,4.040182,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n60_s42_c0.0_p100000_random_farthestpose/eval_results.json,drums_1_n60_s42_c0.0_p100000_random_farthestpose,,,,vggt | farthestpose,60.0
colmap,70,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,False,1.0,1.0,vggt,drums,pinhole,,,,default,MCMC,,,,,Shared Cam,,,,,,sfm,,synthetic,,,,,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n70_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,,drums_1_n70_s42_default_mpinhole_farthestpose_sharedcam,0.2782,0.013316,25,0.54555,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n70_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n70_s42_default_mpinhole_farthestpose_sharedcam,,,,colmap | farthestpose,70.0
vggt,70,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,False,1.0,1.0,vggt,drums,,,,,,MCMC,,,,,,,,,,,sfm,,synthetic,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n70_s42_c0.0_p100000_random_farthestpose/eval_results.json,,drums_1_n70_s42_c0.0_p100000_random_farthestpose,0.1748,0.009322,70,3.908628,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n70_s42_c0.0_p100000_random_farthestpose/eval_results.json,drums_1_n70_s42_c0.0_p100000_random_farthestpose,,,,vggt | farthestpose,70.0
colmap,80,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,False,1.0,1.0,vggt,drums,pinhole,,,,default,MCMC,,,,,Shared Cam,,,,,,sfm,,synthetic,,,,,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n80_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,,drums_1_n80_s42_default_mpinhole_farthestpose_sharedcam,0.2266,0.012312,72,0.827262,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n80_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n80_s42_default_mpinhole_farthestpose_sharedcam,,,,colmap | farthestpose,80.0
vggt,80,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,False,1.0,1.0,vggt,drums,,,,,,MCMC,,,,,,,,,,,sfm,,synthetic,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n80_s42_c0.0_p100000_random_farthestpose/eval_results.json,,drums_1_n80_s42_c0.0_p100000_random_farthestpose,0.1823,0.009595,80,3.888211,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n80_s42_c0.0_p100000_random_farthestpose/eval_results.json,drums_1_n80_s42_c0.0_p100000_random_farthestpose,,,,vggt | farthestpose,80.0
