choice,dataset,num_images,image_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,bicycle,20,farthestpose,,,9.540895462036133,0.9753441214561462,0.02645329013466835,-0.5034785143561451
COLMAP,bicycle,30,farthestpose,1.604614496231079,0.015486866235733032,10.8599853515625,0.8103333711624146,0.15510886907577515,-0.3019552553064098
COLMAP,bicycle,40,farthestpose,0.5034468173980713,0.0031330257188528776,13.763751983642578,0.684519350528717,0.243632972240448,-0.11875034207411594
VGGT,bicycle,10,farthestpose,1.7695362567901611,0.03303282707929611,13.894234657287598,0.5660611391067505,0.15039774775505066,-0.09773516662714143
VGGT,bicycle,10,minfarthestpose,,,,,,
VGGT,bicycle,20,farthestpose,1.1133158206939697,0.02674267813563347,15.618000984191895,0.4717748165130615,0.19081109762191772,0.016021403652882737
VGGT,bicycle,20,minfarthestpose,,,,,,
VGGT,bicycle,30,farthestpose,0.8984349966049194,0.019486337900161743,16.09134292602539,0.4458269476890564,0.20969036221504211,0.05184470375611305
VGGT,bicycle,30,minfarthestpose,,,,,,
VGGT,bicycle,40,farthestpose,0.9950696229934692,0.018973028287291527,16.245380401611328,0.43395113945007324,0.21795745193958282,0.06686255082129813
VGGT,bicycle,40,minfarthestpose,,,,,,
COLMAP,bonsai,10,farthestpose,9.962593078613281,0.08342143893241882,10.370388984680176,0.8212783932685852,0.30286675691604614,-0.23136991963439196
COLMAP,bonsai,20,farthestpose,0.6712576150894165,0.010184313170611858,12.160051345825195,0.5963965654373169,0.3498920500278473,-0.03191190954150117
COLMAP,bonsai,30,farthestpose,3.0201199054718018,0.16796274483203888,12.844159126281738,0.6961448788642883,0.41023141145706177,-0.045530103645671595
COLMAP,bonsai,40,farthestpose,0.9805366396903992,0.026201430708169937,16.20013999938965,0.4658905267715454,0.5211585760116577,0.2236196932814352
VGGT,bonsai,10,farthestpose,1.2102712392807007,0.02442226931452751,14.487955093383789,0.56114661693573,0.4374145269393921,0.08413938162309778
VGGT,bonsai,10,minfarthestpose,,,,,,
VGGT,bonsai,20,farthestpose,0.9037681818008423,0.02400674857199192,16.24112892150879,0.46481478214263916,0.501432478427887,0.21350705770798672
VGGT,bonsai,20,minfarthestpose,,,,,,
VGGT,bonsai,30,farthestpose,0.9206830263137817,0.023799002170562744,16.324657440185547,0.4496622383594513,0.5129817128181458,0.2311612424562317
VGGT,bonsai,30,minfarthestpose,,,,,,
VGGT,bonsai,40,farthestpose,0.7884508371353149,0.02240687608718872,16.5290584564209,0.4392838478088379,0.5240887999534607,0.24784823297447317
VGGT,bonsai,40,minfarthestpose,,,,,,
COLMAP,lego,20,farthestpose,120.3613052368164,0.4246414601802826,10.803693771362305,0.5115751624107361,0.676060140132904,0.1860708215160754
COLMAP,lego,30,farthestpose,119.89866638183594,0.8647823333740234,10.755062103271484,0.5123323202133179,0.6748767495155334,0.18401081241362274
COLMAP,lego,40,farthestpose,108.58917999267578,0.9261929392814636,10.943881034851074,0.5200427174568176,0.6450473070144653,0.1653038364017529
VGGT,lego,10,farthestpose,2.4989686012268066,0.03498070314526558,13.160910606384277,0.3646426200866699,0.5981189608573914,0.27484244832441046
VGGT,lego,10,minfarthestpose,,,,,,
VGGT,lego,20,farthestpose,2.17228627204895,0.0314418189227581,13.527885437011719,0.3289046585559845,0.6177788972854614,0.3151957874487095
VGGT,lego,20,minfarthestpose,,,,,,
VGGT,lego,30,farthestpose,2.1169753074645996,0.02933218516409397,13.8456449508667,0.3083689212799072,0.6319642663002014,0.34205214136060447
VGGT,lego,30,minfarthestpose,,,,,,
VGGT,lego,40,farthestpose,1.1891047954559326,0.0141433235257864,14.320556640625,0.26488545536994934,0.6630575656890869,0.3958716639223774
VGGT,lego,40,minfarthestpose,,,,,,
