method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,failed_sfm_file_path,plot_series,num_images_jitter
colmap,10,42,,147,,,,,0,10,farthestpose,10,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,13.383953094482422,0.7249969244003296,0.3768191337585449,154749,0.015426966361701488,2.2528326511383057,,,-0.07288316738458325,0.5200976674615805,147,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_poseopt_steps15000,2.0241,0.026475,5,0.764887,,,,/home/ojab2/work/git/vggt/colmap_outputs/kitchen_2_n10_s42_default_farthestpose_sharedcam/eval_results.json,kitchen_2_n10_s42_default_farthestpose_sharedcam,kitchen_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_poseopt_steps15000_val_step14999.json,147,,colmap | farthestpose,10.0
colmap,20,42,,2092,,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,17.50998878479004,0.406898558139801,0.5586329698562622,1000000,0.0016500689089298248,0.10513249784708023,,,0.30620579792354846,0.3629983651519475,2092,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_poseopt_steps15000,0.239,0.009345,12,0.859654,,,,/home/ojab2/work/git/vggt/colmap_outputs/kitchen_2_n20_s42_default_farthestpose_sharedcam/eval_results.json,kitchen_2_n20_s42_default_farthestpose_sharedcam,kitchen_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_poseopt_steps15000_val_step14999.json,2092,,colmap | farthestpose,20.0
colmap,30,42,,12069,,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,19.522228240966797,0.22792096436023712,0.48186859488487244,1000000,0.0012758359080180526,0.11295972764492035,,,0.40905804036498605,0.3196324398696503,12069,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n30_s42_default_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n30_s42_default_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n30_s42_default_farthestpose_sharedcam_i30_gteval_poseopt_steps15000,0.1586,0.007942,28,1.053071,,,,/home/ojab2/work/git/vggt/colmap_outputs/kitchen_2_n30_s42_default_farthestpose_sharedcam/eval_results.json,kitchen_2_n30_s42_default_farthestpose_sharedcam,kitchen_2_n30_s42_default_farthestpose_sharedcam_i30_gteval_poseopt_steps15000_val_step14999.json,12069,,colmap | farthestpose,30.0
colmap,40,42,,25253,,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,21.044775009155273,0.1829119175672531,0.5391585230827332,1000000,0.0013362925965338945,0.09292979538440704,,,0.49853959509193935,0.28987559554800596,25253,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_poseopt_steps15000,0.1295,0.007284,40,1.110472,,,,/home/ojab2/work/git/vggt/colmap_outputs/kitchen_2_n40_s42_default_farthestpose_sharedcam/eval_results.json,kitchen_2_n40_s42_default_farthestpose_sharedcam,kitchen_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_poseopt_steps15000_val_step14999.json,25253,,colmap | farthestpose,40.0
colmap,50,42,,36295,,,,,0,10,farthestpose,50,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,21.541378021240234,0.1698632389307022,0.550456702709198,1000000,0.0011724994983524084,0.08972032368183136,,,0.5223978096552682,0.28245182242612266,36295,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000,0.1128,0.005929,50,1.094558,,,,/home/ojab2/work/git/vggt/colmap_outputs/kitchen_2_n50_s42_default_farthestpose_sharedcam/eval_results.json,kitchen_2_n50_s42_default_farthestpose_sharedcam,kitchen_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000_val_step14999.json,36295,,colmap | farthestpose,50.0
colmap,60,42,,52811,,,,,0,10,farthestpose,60,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,21.59369468688965,0.1621313840150833,0.5398227572441101,1000000,0.0010898562613874674,0.09770767390727997,,,0.521920705186306,0.2824744654008493,52811,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n60_s42_default_farthestpose_sharedcam_i60_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n60_s42_default_farthestpose_sharedcam_i60_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n60_s42_default_farthestpose_sharedcam_i60_gteval_poseopt_steps15000,0.1207,0.006034,60,1.087739,,,,/home/ojab2/work/git/vggt/colmap_outputs/kitchen_2_n60_s42_default_farthestpose_sharedcam/eval_results.json,kitchen_2_n60_s42_default_farthestpose_sharedcam,kitchen_2_n60_s42_default_farthestpose_sharedcam_i60_gteval_poseopt_steps15000_val_step14999.json,52811,,colmap | farthestpose,60.0
colmap,70,42,,62076,,,,,0,10,farthestpose,70,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,21.81053924560547,0.15282349288463593,0.5419934988021851,1000000,0.0010078954510390759,0.09562390297651291,,,0.5329513964790892,0.27872539640966343,62076,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n70_s42_default_farthestpose_sharedcam_i70_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n70_s42_default_farthestpose_sharedcam_i70_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n70_s42_default_farthestpose_sharedcam_i70_gteval_poseopt_steps15000,0.1154,0.005311,70,1.116945,,,,/home/ojab2/work/git/vggt/colmap_outputs/kitchen_2_n70_s42_default_farthestpose_sharedcam/eval_results.json,kitchen_2_n70_s42_default_farthestpose_sharedcam,kitchen_2_n70_s42_default_farthestpose_sharedcam_i70_gteval_poseopt_steps15000_val_step14999.json,62076,,colmap | farthestpose,70.0
colmap,80,42,,70192,,,,,0,10,farthestpose,80,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,21.417316436767578,0.1491650938987732,0.49240046739578247,1000000,0.0009513386758044362,0.09361527860164642,,,0.4989259908383662,0.28961360769777594,70192,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n80_s42_default_farthestpose_sharedcam_i80_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n80_s42_default_farthestpose_sharedcam_i80_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n80_s42_default_farthestpose_sharedcam_i80_gteval_poseopt_steps15000,0.1112,0.004732,80,1.034406,,,,/home/ojab2/work/git/vggt/colmap_outputs/kitchen_2_n80_s42_default_farthestpose_sharedcam/eval_results.json,kitchen_2_n80_s42_default_farthestpose_sharedcam,kitchen_2_n80_s42_default_farthestpose_sharedcam_i80_gteval_poseopt_steps15000_val_step14999.json,70192,,colmap | farthestpose,80.0
colmap,90,42,,81513,,,,,0,10,farthestpose,90,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,22.082307815551758,0.1423589438199997,0.5479262471199036,1000000,0.0009884581668302417,0.09637400507926941,,,0.547913189423092,0.2736381214965057,81513,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n90_s42_default_farthestpose_sharedcam_i90_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n90_s42_default_farthestpose_sharedcam_i90_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n90_s42_default_farthestpose_sharedcam_i90_gteval_poseopt_steps15000,0.1098,0.004686,90,1.075931,,,,/home/ojab2/work/git/vggt/colmap_outputs/kitchen_2_n90_s42_default_farthestpose_sharedcam/eval_results.json,kitchen_2_n90_s42_default_farthestpose_sharedcam,kitchen_2_n90_s42_default_farthestpose_sharedcam_i90_gteval_poseopt_steps15000_val_step14999.json,81513,,colmap | farthestpose,90.0
colmap,100,42,,92853,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,21.59664535522461,0.14201965928077698,0.49743717908859253,1000000,0.0009081275202333927,0.09359873086214066,,,0.5096031042799847,0.28595332267000567,92853,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1073,0.004456,100,1.070086,,,,/home/ojab2/work/git/vggt/colmap_outputs/kitchen_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,kitchen_2_n100_s42_default_farthestpose_sharedcam,kitchen_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,92853,,colmap | farthestpose,100.0
