choice,num_images,image_mode,eval_rre,eval_rte,num_aligned,psnr,lpips,ssim
COLMAP,20,farthestpose,1.0460034608840942,0.01790500618517399,5.0,16.434940338134766,0.37807974219322205,0.592390239238739
COLMAP,30,farthestpose,1.2884396314620972,0.003212561132386327,10.0,16.762636184692383,0.3510177433490753,0.5933229923248291
COLMAP,40,farthestpose,11.896838188171387,0.2103944718837738,17.0,17.69652557373047,0.325956255197525,0.5934579968452454
COLMAP,87,farthestpose,0.12901882827281952,0.0022772701922804117,80.0,22.677448272705078,0.14222858846187592,0.7592695951461792
VGGT,10,farthestpose,0.24968695640563965,0.003777428064495325,10.0,20.7423038482666,0.17377804219722748,0.6939605474472046
VGGT,10,minfarthestpose,,,10.0,,,
VGGT,20,farthestpose,0.27472779154777527,0.0047117359936237335,20.0,22.29784393310547,0.1319945603609085,0.7309792637825012
VGGT,20,minfarthestpose,,,11.5,,,
VGGT,30,farthestpose,0.21569392085075378,0.0038687291089445353,30.0,21.941848754882812,0.1384487748146057,0.7162020802497864
VGGT,30,minfarthestpose,,,18.0,,,
VGGT,40,farthestpose,0.23290853202342987,0.0033367816358804703,40.0,21.67275619506836,0.1381874829530716,0.7131345868110657
VGGT,40,minfarthestpose,,,24.5,,,
VGGT,50,farthestpose,,,36.0,,,
VGGT,60,farthestpose,,,56.0,,,
VGGT,70,farthestpose,,,64.5,,,
VGGT,80,farthestpose,,,76.5,,,
VGGT,87,farthestpose,0.3772093653678894,0.008311179466545582,87.0,22.858901977539062,0.1296185404062271,0.748465359210968
VGGT,87,minfarthestpose,,,84.0,,,
