choice,num_images,image_mode,eval_rre,eval_rte,num_aligned,psnr,lpips,ssim
COLMAP,20,farthestpose,2.5334455966949463,0.038304466754198074,6.0,12.789386749267578,0.9256043434143066,0.14929628372192383
COLMAP,40,farthestpose,0.6196070909500122,0.014289326034486294,11.0,14.787765502929688,0.6513059735298157,0.3428933024406433
COLMAP,100,farthestpose,0.03414143621921539,0.001068504061549902,100.0,24.832897186279297,0.3404231071472168,0.6964612603187561
VGGT,10,farthestpose,2.3631744384765625,0.11537380516529083,10.0,14.979829788208008,0.5985628366470337,0.2731395959854126
VGGT,10,minfarthestpose,,,10.0,,,
VGGT,20,farthestpose,3.0859811305999756,0.06916745752096176,20.0,15.881011962890625,0.5566140413284302,0.29004812240600586
VGGT,20,minfarthestpose,,,11.5,,,
VGGT,30,farthestpose,1.1974972486495972,0.033216629177331924,16.0,17.133214950561523,0.5170958042144775,0.3305170238018036
VGGT,30,minfarthestpose,,,16.0,,,
VGGT,40,farthestpose,0.794925332069397,0.027240118011832237,40.0,17.802413940429688,0.4980175495147705,0.359388530254364
VGGT,40,minfarthestpose,,,30.5,,,
VGGT,50,farthestpose,,,40.5,,,
VGGT,50,minfarthestpose,,,40.5,,,
VGGT,60,farthestpose,,,60.0,,,
VGGT,60,minfarthestpose,,,60.0,,,
VGGT,70,farthestpose,,,70.0,,,
VGGT,70,minfarthestpose,,,70.0,,,
VGGT,80,farthestpose,,,80.0,,,
VGGT,80,minfarthestpose,,,79.5,,,
VGGT,90,farthestpose,,,90.0,,,
VGGT,90,minfarthestpose,,,90.0,,,
VGGT,100,farthestpose,0.7774907946586609,0.03541010245680809,100.0,18.294498443603516,0.4924980700016022,0.39796870946884155
VGGT,100,minfarthestpose,,,100.0,,,
