method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,failed_sfm_file_path,plot_series,num_images_jitter
colmap,20,42,,105,,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,drums,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,6.573758602142334,0.8610514402389526,0.0944964587688446,107549,0.04122573882341385,5.302027702331543,0.4831242561340332,0.2609376311302185,-0.4480831287680235,0.6775776716120308,105,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000,5.1198,0.003811,3,0.082359,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam,drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000_val_step14999.json,105,,colmap | farthestpose,20.0
colmap,20,42,,162,,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,16.434940338134766,0.37807974219322205,0.592390239238739,170748,0.01790500618517399,1.0460034608840942,0.05379347503185272,0.06160662695765495,0.32382797912160166,0.3464160276495066,162,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,ship_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000,0.2791,0.010321,5,0.379611,,,,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n20_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,ship_1_n20_s42_default_mpinhole_farthestpose_sharedcam,ship_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000_val_step14999.json,162,,colmap | farthestpose,20.0
colmap,20,42,,468,,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,10.761724472045898,0.5157730579376221,0.6686438918113708,515672,0.9527592658996582,64.50972747802734,0.8077732920646667,0.9149457812309265,0.17836533141182645,0.3917737085288562,468,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000,62.9535,2.475707,10,0.802567,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000_val_step14999.json,468,,colmap | farthestpose,20.0
colmap,30,42,,105,,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,drums,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,11.87600326538086,0.5139749050140381,0.40454837679862976,107549,0.010904939845204353,1.031067132949829,0.07396318763494492,0.07193657010793686,0.04566827317659853,0.45018439595077886,105,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000,0.5778,0.011678,4,0.193321,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam,drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000_val_step14999.json,105,,colmap | farthestpose,30.0
colmap,30,42,,449,,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,16.762636184692383,0.3510177433490753,0.5933229923248291,493204,0.003212561132386327,1.2884396314620972,0.060691483318805695,0.05719128996133804,0.3471468279236241,0.3366011842929966,449,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,ship_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000,3.3966,0.044897,10,0.576448,,,,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n30_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,ship_1_n30_s42_default_mpinhole_farthestpose_sharedcam,ship_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000_val_step14999.json,449,,colmap | farthestpose,30.0
colmap,30,42,,1393,,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,10.754502296447754,0.5123348236083984,0.6750281453132629,1000000,0.8641526103019714,121.26136016845703,0.36197981238365173,0.48974984884262085,0.1840874358692132,0.38881672771545706,1393,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000,120.0686,3.745266,19,0.367209,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000_val_step14999.json,1393,,colmap | farthestpose,30.0
colmap,40,42,,287,,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,drums,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,12.676614761352539,0.40889972448349,0.5027180910110474,313729,0.004789901897311211,0.7317674160003662,0.06522585451602936,0.056620411574840546,0.18276482413851494,0.3893583461070665,287,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000,0.9174,0.005572,5,0.199581,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam,drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000_val_step14999.json,287,,colmap | farthestpose,40.0
colmap,40,42,,999,,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,17.69652557373047,0.325956255197525,0.5934579968452454,1000000,0.2103944718837738,11.896838188171387,0.07570488750934601,0.06493118405342102,0.3799900802952504,0.3268529158518036,999,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,ship_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000,12.248,0.482789,17,0.632324,,,,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n40_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,ship_1_n40_s42_default_mpinhole_farthestpose_sharedcam,ship_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000_val_step14999.json,999,,colmap | farthestpose,40.0
colmap,40,42,,2899,,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,10.712749481201172,0.5282808542251587,0.645667552947998,1000000,0.8892179727554321,100.3918228149414,1.2800248861312866,1.2380921840667725,0.15630106975538072,0.40280115355116336,2899,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000,103.4804,3.760529,39,0.221617,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000_val_step14999.json,2899,,colmap | farthestpose,40.0
colmap,50,42,,728,,,,,0,10,farthestpose,50,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,drums,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,17.492612838745117,0.15142028033733368,0.7898155450820923,811062,0.003281601471826434,0.17799027264118195,0.02627686783671379,0.026093389838933945,0.5987811501999036,0.20923071002571564,728,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_poseopt_steps15000,0.3235,0.012924,18,0.525496,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam,drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_poseopt_steps15000_val_step14999.json,728,,colmap | farthestpose,50.0
colmap,50,42,,1101,,,,,0,10,farthestpose,50,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,19.130786895751953,0.24004529416561127,0.6575614213943481,1000000,0.13198299705982208,8.420963287353516,0.04028689116239548,0.042393188923597336,0.49706931535186044,0.2791478648467708,1101,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,ship_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_poseopt_steps15000,8.8761,0.363171,22,0.624449,,,,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n50_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,ship_1_n50_s42_default_mpinhole_farthestpose_sharedcam,ship_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_poseopt_steps15000_val_step14999.json,1101,,colmap | farthestpose,50.0
