choice,dataset,num_images,rre,rte,psnr,lpips,ssim,num_aligned
COLMAP,bonsai,10,,,,,,
COLMAP,bonsai,20,9.1207,2.010802,10.349443435668945,0.7991341948509216,0.3016880452632904,13
COLMAP,bonsai,30,0.8961,0.102826,17.49349594116211,0.40983304381370544,0.5660527348518372,29
COLMAP,bonsai,40,0.5092,0.2305,20.848365783691406,0.23119306564331055,0.6328006386756897,40
COLMAP,bonsai,50,0.2183,0.013971,21.696945190429688,0.20300589501857758,0.6328594088554382,50
COLMAP,bonsai,60,0.2191,0.015311,22.168672561645508,0.18957126140594482,0.6651806831359863,60
COLMAP,bonsai,70,0.0529,0.005207,28.404136657714844,0.1480536311864853,0.8946173787117004,70
COLMAP,bonsai,80,0.0516,0.004219,28.026302337646484,0.14591750502586365,0.8840844631195068,80
COLMAP,bonsai,90,0.0692,0.003892,26.790843963623047,0.14415143430233002,0.8368752002716064,90
COLMAP,bonsai,100,0.0595,0.002889,27.826139450073242,0.13981762528419495,0.8659626841545105,100
VGGT,bonsai,10,1.2921,0.111946,14.680450439453125,0.5291067957878113,0.4628664553165436,10
VGGT,bonsai,20,0.9837,0.09479,16.707454681396484,0.4371567368507385,0.5229406952857971,20
VGGT,bonsai,30,0.8884,0.089827,17.34124183654785,0.41418278217315674,0.5407585501670837,30
VGGT,bonsai,40,0.7294,0.097202,17.72458267211914,0.38921311497688293,0.5569648146629333,40
VGGT,bonsai,50,0.8014,0.095395,17.975473403930664,0.39067938923835754,0.5657995343208313,50
VGGT,bonsai,60,0.8878,0.10213,17.90055274963379,0.3913314938545227,0.5682401657104492,60
VGGT,bonsai,70,0.806,0.10116,18.378971099853516,0.37480518221855164,0.5808663368225098,70
VGGT,bonsai,80,0.8208,0.096051,18.27854347229004,0.3789374530315399,0.5839003324508667,80
VGGT,bonsai,90,0.7344,0.095629,18.62593650817871,0.3721984624862671,0.5920172333717346,90
VGGT,bonsai,100,0.7308,0.098078,18.664011001586914,0.373970091342926,0.595427930355072,100
COLMAP,kitchen,10,,,,,,
COLMAP,kitchen,20,0.1673,0.007541,16.582124710083008,0.4183812439441681,0.3789697289466858,11
COLMAP,kitchen,30,0.1297,0.005747,20.038036346435547,0.2136961668729782,0.4459270238876343,29
COLMAP,kitchen,40,0.1137,0.004454,20.505159378051758,0.18374058604240417,0.4611559212207794,40
COLMAP,kitchen,50,0.0994,0.003876,20.856433868408203,0.1820361316204071,0.4923512041568756,50
COLMAP,kitchen,60,0.0963,0.004149,21.690927505493164,0.14895617961883545,0.5146335363388062,60
COLMAP,kitchen,70,0.0981,0.003943,21.534276962280273,0.14751364290714264,0.5068987011909485,70
COLMAP,kitchen,80,0.0992,0.003674,21.851726531982422,0.14010663330554962,0.5111910700798035,80
COLMAP,kitchen,90,0.1013,0.003631,21.455270767211914,0.14180134236812592,0.4825378954410553,90
COLMAP,kitchen,100,0.1013,0.003655,21.721317291259766,0.13745442032814026,0.497666597366333,100
VGGT,kitchen,10,0.2957,0.028769,16.42799949645996,0.3717544972896576,0.38446950912475586,10
VGGT,kitchen,20,0.2698,0.028021,18.177200317382812,0.29197126626968384,0.4228987395763397,20
VGGT,kitchen,30,0.2781,0.026317,18.52764129638672,0.27109357714653015,0.4426935613155365,30
VGGT,kitchen,40,0.2611,0.026452,18.898000717163086,0.25969570875167847,0.435649037361145,40
VGGT,kitchen,50,0.296,0.027378,19.448810577392578,0.24405501782894135,0.46214696764945984,50
VGGT,kitchen,60,0.3242,0.027163,19.61069679260254,0.23884430527687073,0.45499521493911743,60
VGGT,kitchen,70,0.3231,0.028126,19.38790512084961,0.24714186787605286,0.4488857388496399,70
VGGT,kitchen,80,0.2843,0.026957,20.374483108520508,0.2323937565088272,0.48634642362594604,80
VGGT,kitchen,90,0.3203,0.026849,20.00470542907715,0.23796045780181885,0.4700312614440918,90
VGGT,kitchen,100,0.2827,0.025851,20.49005699157715,0.22959475219249725,0.4848734140396118,100
COLMAP,counter,10,0.1484,0.006143,12.353164672851562,0.7327916622161865,0.44888290762901306,5
COLMAP,counter,20,0.1213,0.004206,16.78005599975586,0.5113248825073242,0.5714883208274841,13
COLMAP,counter,30,0.0278,0.001854,22.41564178466797,0.29226407408714294,0.7693297266960144,30
COLMAP,counter,40,0.0233,0.001168,24.299144744873047,0.23028264939785004,0.8186064958572388,40
COLMAP,counter,50,0.0263,0.001254,25.204635620117188,0.2012728750705719,0.8427934646606445,50
COLMAP,counter,60,0.0199,0.000942,26.158340454101562,0.1889503002166748,0.8658013939857483,60
COLMAP,counter,70,0.0189,0.000872,26.725461959838867,0.18234191834926605,0.8777703046798706,70
COLMAP,counter,80,0.0163,0.000772,27.375858306884766,0.1690811663866043,0.8878010511398315,80
COLMAP,counter,90,0.0186,0.00076,27.590927124023438,0.16619718074798584,0.8896318674087524,90
COLMAP,counter,100,0.0156,0.000691,27.93535614013672,0.16450491547584534,0.8961127400398254,100
VGGT,counter,10,0.6747,0.046283,15.224120140075684,0.46982941031455994,0.4588468670845032,10
VGGT,counter,20,0.3814,0.043451,17.897125244140625,0.3656599223613739,0.5332370400428772,20
VGGT,counter,30,0.3487,0.036323,18.8387508392334,0.3141652047634125,0.5609233975410461,30
