method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
colmap,20,42,,91,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,10.803786277770996,0.5119118690490723,0.6756448745727539,90557,0.39187929034233093,111.38931274414062,3.9033923149108887,1.0372014045715332,0.1856218456369937,0.38817920066592554,91,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000,111.3893,0.022876,3,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,91,colmap,20.0
colmap,20,42,,105,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,colmap,drums,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,4.959490776062012,0.8838170766830444,0.08192630112171173,107549,0.022719034925103188,5.1198201179504395,0.8588937520980835,0.4628390669822693,-0.49938080878595464,0.7203899702612451,105,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000,5.1198,0.003811,3,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam,drums_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,105,colmap,20.0
colmap,20,42,,162,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,15.90024471282959,0.41260114312171936,0.5273544192314148,170748,0.006675051059573889,0.38233309984207153,0.07600249350070953,0.08481364697217941,0.25458405825749403,0.3752652977196834,162,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,ship_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000,0.2791,0.010321,5,,,,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n20_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,ship_1_n20_s42_default_mpinhole_farthestpose_sharedcam,ship_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,162,colmap,20.0
colmap,30,42,,105,,,,,0,10,farthestpose,30,GT Eval,,,,,,,,,0.0,,colmap,drums,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,11.783252716064453,0.5304309725761414,0.38390734791755676,107549,0.015926619991660118,0.577904224395752,0.07554739713668823,0.0734143927693367,0.02172182689168537,0.4605570945317048,105,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000,0.5778,0.011678,4,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam,drums_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,105,colmap,30.0
colmap,30,42,,449,,,,,0,10,farthestpose,30,GT Eval,,,,,,,,,0.0,,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,16.67865753173828,0.38849979639053345,0.5737844109535217,493204,0.019517000764608383,2.9327239990234375,0.07188963145017624,0.06844286620616913,0.31102852692768274,0.3542788768255333,449,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,ship_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000,3.3966,0.044897,10,,,,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n30_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,ship_1_n30_s42_default_mpinhole_farthestpose_sharedcam,ship_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,449,colmap,30.0
colmap,30,42,,1326,,,,,0,10,farthestpose,30,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,10.754471778869629,0.5123341083526611,0.6750344038009644,1000000,0.8643708229064941,119.95310974121094,0.47186753153800964,1.1231975555419922,0.18409097217909304,0.3888148564005959,1326,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000,132.5397,3.729538,19,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,1326,colmap,30.0
colmap,40,42,,287,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,drums,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,12.097342491149902,0.46339869499206543,0.46187615394592285,313729,0.008393906056880951,0.9175052642822266,0.07745616137981415,0.06707144528627396,0.11451204633309986,0.41955506268854714,287,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000,0.9174,0.005572,5,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam,drums_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,287,colmap,40.0
colmap,40,42,,999,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,17.629131317138672,0.3424363136291504,0.5930382013320923,1000000,0.2203916609287262,12.38299560546875,0.08033815771341324,0.07005080580711365,0.36832366847929976,0.3325445735279477,999,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,ship_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000,12.248,0.482789,17,,,,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n40_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,ship_1_n40_s42_default_mpinhole_farthestpose_sharedcam,ship_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,999,colmap,40.0
colmap,40,42,,2721,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,10.87772274017334,0.5230934023857117,0.6327624917030334,1000000,0.9271525144577026,106.32589721679688,1.28168785572052,0.4776190221309662,0.15501144143030812,0.4035985711348787,2721,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000,173.622,3.771985,36,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,2721,colmap,40.0
colmap,50,42,,728,,,,,0,10,farthestpose,50,GT Eval,,,,,,,,,0.0,,colmap,drums,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,17.201332092285156,0.1622934341430664,0.7802598476409912,811062,0.006422265432775021,0.32356035709381104,0.026911849156022072,0.026806944981217384,0.5810871118070864,0.2167022311029692,728,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_steps15000,0.3235,0.012924,18,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam,drums_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,728,colmap,50.0
