choice,num_images,rre,rte,psnr,lpips,ssim,num_aligned
COLMAP,20,111.3893,0.022876,10.803786277770996,0.5119118690490723,0.6756448745727539,3
COLMAP,30,132.5397,3.729538,10.754471778869629,0.5123341083526611,0.6750344038009644,19
COLMAP,40,173.622,3.771985,10.87772274017334,0.5230934023857117,0.6327624917030334,36
COLMAP,50,144.652,3.618531,10.931468963623047,0.5264056324958801,0.5981243252754211,42
COLMAP,60,147.8803,3.623879,10.869637489318848,0.5229114890098572,0.6601412296295166,51
COLMAP,70,0.2026,0.01069,21.826129913330078,0.06788375228643417,0.8252301812171936,70
COLMAP,80,15.3915,0.895301,10.938504219055176,0.47431427240371704,0.5621680617332458,80
COLMAP,87,10.4269,0.396164,24.951248168945312,0.057750023901462555,0.8941664099693298,87
VGGT,10,2.5925,0.160213,13.456558227539062,0.35998040437698364,0.5981285572052002,10
VGGT,20,2.282,0.136623,13.463916778564453,0.33523693680763245,0.6119966506958008,20
VGGT,30,2.2232,0.131161,13.847811698913574,0.31544408202171326,0.6259650588035583,30
VGGT,40,1.3375,0.068919,14.36103343963623,0.27538979053497314,0.6559076309204102,40
VGGT,50,0.8706,0.041593,15.186017036437988,0.23334167897701263,0.6859356164932251,50
VGGT,60,0.6267,0.028956,16.21982765197754,0.18966057896614075,0.7094641327857971,60
VGGT,70,0.4264,0.02124,18.449748992919922,0.12587308883666992,0.7532593011856079,70
VGGT,80,0.3472,0.018759,19.917001724243164,0.10308168828487396,0.7655918002128601,80
VGGT,87,0.3306,0.018825,20.619525909423828,0.0951065868139267,0.7748908996582031,87
