choice,dataset,num_images,rre,rte,psnr,lpips,ssim,num_aligned
COLMAP,bicycle,20,19.4863,0.240427,9.327774047851562,0.9867873787879944,0.011039652861654758,2
COLMAP,bicycle,30,0.5111,0.00955,12.060203552246094,0.7754727005958557,0.1813303530216217,8
COLMAP,bicycle,40,0.2627,0.018073,14.498021125793457,0.6936643719673157,0.2647492289543152,18
COLMAP,bicycle,50,0.2327,0.008995,16.598623275756836,0.5833204984664917,0.29286250472068787,29
COLMAP,bicycle,60,0.1219,0.009703,17.236000061035156,0.5451602935791016,0.3305085003376007,35
COLMAP,bicycle,70,0.1045,0.008959,17.67551040649414,0.5228040814399719,0.34432029724121094,40
COLMAP,bicycle,80,0.1595,0.005965,17.76422882080078,0.4812810719013214,0.3296169936656952,48
COLMAP,bicycle,90,0.1166,0.008212,20.889169692993164,0.395292729139328,0.447834849357605,90
COLMAP,bicycle,100,0.0986,0.006893,21.33245086669922,0.36376556754112244,0.4795043170452118,100
VGGT,bicycle,10,1.7481,0.149304,13.886941909790039,0.564899742603302,0.14940664172172546,10
VGGT,bicycle,20,1.1489,0.123985,15.57375717163086,0.4779299795627594,0.19145579636096954,20
VGGT,bicycle,30,0.9302,0.091567,15.898926734924316,0.46737852692604065,0.19984975457191467,30
VGGT,bicycle,40,0.9969,0.089406,15.945895195007324,0.4716128408908844,0.20698022842407227,40
VGGT,bicycle,50,0.8722,0.087304,16.468069076538086,0.4436219036579132,0.21807128190994263,50
VGGT,bicycle,60,0.6713,0.070966,16.939054489135742,0.42465606331825256,0.2356017380952835,60
VGGT,bicycle,70,0.6322,0.07656,17.376220703125,0.4238673448562622,0.2502083480358124,70
VGGT,bicycle,80,0.6603,0.070258,17.034706115722656,0.4331849217414856,0.24800460040569305,80
VGGT,bicycle,90,0.6674,0.07043,17.57514190673828,0.4260188937187195,0.25921404361724854,90
VGGT,bicycle,100,0.7161,0.065623,17.17383575439453,0.44064733386039734,0.25722789764404297,100
COLMAP,garden,10,0.1553,0.00235,12.088115692138672,0.8129224181175232,0.3121573328971863,3
COLMAP,garden,20,0.0713,0.004651,20.02493667602539,0.41124892234802246,0.42755913734436035,20
COLMAP,garden,30,0.06,0.003487,21.341663360595703,0.35292357206344604,0.4843105971813202,30
