method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_images_jitter
colmap,20,42,,42,,farthestpose,20,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,9.281769752502441,0.8951457142829895,0.1444433331489563,37114,,,42,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,,,colmap |  | ,20.0
colmap,20,42,,42,,farthestpose,20,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,9.602885246276855,0.878975510597229,0.1242070198059082,37114,,,42,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,,,colmap |  | Pose Opt,20.0
colmap,20,43,,86,,farthestpose,20,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,9.256817817687988,0.9719151258468628,0.016231026500463486,86174,0.2724049985408783,133.92601013183594,86,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s43_default_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,133.926,0.379972,colmap |  | ,20.0
colmap,20,43,,86,,farthestpose,20,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,9.335036277770996,0.971524178981781,0.0268691573292017,86174,0.2610569894313812,131.7183074951172,86,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s43_default_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,133.926,0.379972,colmap |  | Pose Opt,20.0
colmap,20,44,,87,,farthestpose,20,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,9.386456489562988,0.9782355427742004,0.028666138648986816,86245,0.3568369746208191,136.28399658203125,87,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s44_default_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,136.284,0.449229,colmap |  | ,20.0
colmap,20,44,,87,,farthestpose,20,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,9.296420097351074,0.9752647876739502,0.018023651093244553,86245,0.3375290334224701,134.29849243164062,87,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s44_default_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,136.284,0.449229,colmap |  | Pose Opt,20.0
colmap,30,42,,721,,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,12.421894073486328,0.7531695365905762,0.19865600764751434,799971,0.01412699930369854,1.9728000164031982,721,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,1.9728,0.022973,colmap |  | ,30.0
colmap,30,42,,721,,farthestpose,30,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,11.21329402923584,0.772387683391571,0.1676795482635498,799971,0.012911999598145485,2.0032999515533447,721,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,1.9728,0.022973,colmap |  | Pose Opt,30.0
colmap,30,43,,707,,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,13.293967247009277,0.7875801920890808,0.244761124253273,783821,0.013897000811994076,1.9494998455047607,707,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s43_default_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,1.9495,0.022617,colmap |  | ,30.0
colmap,30,43,,707,,farthestpose,30,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,12.381488800048828,0.7901642918586731,0.24013584852218628,783821,0.014521999284625053,1.6109999418258667,707,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s43_default_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,1.9495,0.022617,colmap |  | Pose Opt,30.0
colmap,30,44,,722,,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,12.267769813537598,0.7542599439620972,0.2060515284538269,801358,0.01325099915266037,1.7928999662399292,722,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s44_default_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,1.7929,0.021531,colmap |  | ,30.0
colmap,30,44,,722,,farthestpose,30,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,11.786896705627441,0.7748080492019653,0.1659875512123108,801358,0.01916399784386158,1.9814999103546143,722,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s44_default_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,1.7929,0.021531,colmap |  | Pose Opt,30.0
