Choice,Num Images,Pose Opt,RRE ↓ ↓,RTE ↓ ↓,PSNR ↑ ↑,LPIPS ↓ ↓,SSIM ↑ ↑,Final Gaussian Count ↓
VGGT,10,,1.53525,0.13905,13.581908226013184,0.5989530980587006,0.1785157546401024,1000000.0
VGGT,10,Pose Opt,1.53525,0.13905,13.60453462600708,0.5958287417888641,0.178744874894619,1000000.0
COLMAP,20,,0.948,0.004987,10.961657047271729,0.8913715183734894,0.12788394512608647,186396.0
VGGT,20,,1.2645,0.1073095,15.291130542755127,0.5407842099666595,0.21114299446344376,1000000.0
COLMAP,20,Pose Opt,0.948,0.004987,10.771706104278564,0.8917276561260223,0.12922760285437107,186396.0
VGGT,20,Pose Opt,1.2645,0.1073095,15.460340023040771,0.5188969075679779,0.21633289009332657,1000000.0
COLMAP,30,,0.5954999999999999,0.009853,12.18787670135498,0.7517082095146179,0.19069049507379532,813309.0
VGGT,30,,0.98925,0.0926855,15.902787208557129,0.5197073519229889,0.22321225702762604,1000000.0
COLMAP,30,Pose Opt,0.5954999999999999,0.009853,12.197638988494873,0.7728949189186096,0.18655119091272354,813309.0
VGGT,30,Pose Opt,0.98925,0.0926855,16.101171493530273,0.48272253572940826,0.227523073554039,1000000.0
COLMAP,40,,0.5709500000000001,0.0184215,13.808000564575195,0.6652582585811615,0.21869201958179474,1000000.0
VGGT,40,,0.89585,0.08714949999999999,16.34328842163086,0.5091875195503235,0.23653709143400192,1000000.0
COLMAP,40,Pose Opt,0.5709500000000001,0.0184215,14.246339321136475,0.6829729080200195,0.24379779398441315,1000000.0
VGGT,40,Pose Opt,0.89585,0.08714949999999999,16.733121871948242,0.45569750666618347,0.2417016699910164,1000000.0
COLMAP,50,,0.29979999999999996,0.008871,16.32070255279541,0.5920346677303314,0.2831013649702072,1000000.0
VGGT,50,,0.84425,0.082952,16.799400329589844,0.4841705709695816,0.2431662678718567,1000000.0
COLMAP,50,Pose Opt,0.29979999999999996,0.008871,15.644450664520264,0.5939560532569885,0.25482938438653946,1000000.0
VGGT,50,Pose Opt,0.84425,0.082952,17.31442165374756,0.41937699913978577,0.2529826760292053,1000000.0
COLMAP,60,,0.13345,0.0116705,16.941134452819824,0.5646148920059204,0.3141797333955765,1000000.0
VGGT,60,,0.83995,0.07214000000000001,16.892685890197754,0.4876255691051483,0.2510038763284683,1000000.0
COLMAP,60,Pose Opt,0.13345,0.0116705,16.308836936950684,0.5598717033863068,0.2622740566730499,1000000.0
VGGT,60,Pose Opt,0.83995,0.07214000000000001,17.19193172454834,0.4171575754880905,0.25398921966552734,1000000.0
COLMAP,70,,0.12,0.0087495,17.965760231018066,0.5130299925804138,0.34919023513793945,1000000.0
VGGT,70,,0.8624499999999999,0.07261000000000001,16.946510314941406,0.4876897782087326,0.25514478981494904,1000000.0
COLMAP,70,Pose Opt,0.12,0.0087495,16.96092414855957,0.50765660405159,0.27545586228370667,1000000.0
VGGT,70,Pose Opt,0.8624499999999999,0.07261000000000001,17.135053634643555,0.40949729084968567,0.2552989572286606,1000000.0
COLMAP,80,,0.1261,0.005896500000000001,18.423312187194824,0.47877494990825653,0.36869245767593384,1000000.0
VGGT,80,,0.88505,0.0736765,17.092211723327637,0.48450611531734467,0.26028911769390106,1000000.0
COLMAP,80,Pose Opt,0.1261,0.005896500000000001,17.395795822143555,0.47883741557598114,0.295703262090683,1000000.0
VGGT,80,Pose Opt,0.88505,0.0736765,17.26303195953369,0.39525438845157623,0.2611256539821625,1000000.0
COLMAP,90,,0.11829999999999999,0.008917,20.70476531982422,0.3973276913166046,0.4373947083950043,1000000.0
VGGT,90,,0.8909,0.071214,17.16218376159668,0.48515765368938446,0.2648797184228897,1000000.0
COLMAP,90,Pose Opt,0.11829999999999999,0.008917,21.89361000061035,0.37506207823753357,0.5376387238502502,1000000.0
VGGT,90,Pose Opt,0.8909,0.071214,17.232592582702637,0.3882240802049637,0.2612342983484268,1000000.0
COLMAP,100,,0.10435,0.0081735,21.216418266296387,0.3751271218061447,0.47270500659942627,1000000.0
VGGT,100,,0.8587,0.0673415,17.303001403808594,0.48550814390182495,0.27152058482170105,1000000.0
COLMAP,100,Pose Opt,0.10435,0.0081735,22.511308670043945,0.3531869500875473,0.5759698748588562,1000000.0
VGGT,100,Pose Opt,0.8587,0.0673415,17.449559211730957,0.37444403767585754,0.2662700265645981,1000000.0
