method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
colmap,10,42,,135,,,,,0,10,farthestpose,10,GT Eval,,,,,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,10.203524589538574,0.835077702999115,0.2639256715774536,140477,0.06167753040790558,10.937788963317871,,,-0.26575065797764874,0.596149077088616,135,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_steps15000/stats/val_step14999.json,bonsai_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_steps15000,10.9378,0.183862,4,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n10_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n10_s42_default_farthestpose_sharedcam,bonsai_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_steps15000_val_step14999.json,135,colmap | ,10.0
colmap,20,42,,44,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,9.327774047851562,0.9867873787879944,0.011039652861654758,38969,,,,,-0.523502769271823,0.6993310048837558,44,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n20_s42_default_farthestpose_sharedcam,bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,44,colmap | ,20.0
colmap,20,42,,91,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,10.803786277770996,0.5119118690490723,0.6756448745727539,90557,0.39187929034233093,111.38931274414062,3.9033923149108887,1.0372014045715332,0.1856218456369937,0.38817920066592554,91,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000,111.3893,0.022876,3,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,91,colmap | ,20.0
colmap,20,42,,2440,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,12.78054141998291,0.5810893177986145,0.37014880776405334,1000000,0.00300606875680387,0.4538618326187134,,,0.0008736228385167744,0.4758124597534901,2440,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,bonsai_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000,0.4539,0.008021,9,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n20_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n20_s42_default_farthestpose_sharedcam,bonsai_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,2440,colmap | ,20.0
colmap,30,42,,726,,,,,0,10,farthestpose,30,GT Eval,,,,,,,,,0.0,,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,12.060203552246094,0.7754727005958557,0.1813303530216217,808627,0.0060735344886779785,0.6528089046478271,,,-0.24287585874437267,0.5808344878486963,726,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000,0.5111,0.00955,8,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n30_s42_default_farthestpose_sharedcam,bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,726,colmap | ,30.0
colmap,30,42,,1326,,,,,0,10,farthestpose,30,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,10.754471778869629,0.5123341083526611,0.6750344038009644,1000000,0.8643708229064941,119.95310974121094,0.47186753153800964,1.1231975555419922,0.18409097217909304,0.3888148564005959,1326,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000,132.5397,3.729538,19,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,1326,colmap | ,30.0
colmap,30,42,,6620,,,,,0,10,farthestpose,30,GT Eval,,,,,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,12.956140518188477,0.6936205625534058,0.40043017268180847,1000000,0.17258191108703613,3.0684964656829834,,,-0.04762987280294746,0.5061889814888019,6620,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,bonsai_2_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000,5.0799,0.503901,14,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n30_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n30_s42_default_farthestpose_sharedcam,bonsai_2_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,6620,colmap | ,30.0
colmap,40,42,,1993,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,14.498021125793457,0.6936643719673157,0.2647492289543152,1000000,0.0052596041932702065,0.3217424154281616,,,-0.09844915219295165,0.5288765106283476,1993,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000,0.2627,0.018073,18,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n40_s42_default_farthestpose_sharedcam,bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,1993,colmap | ,40.0
colmap,40,42,,2721,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,10.87772274017334,0.5230934023857117,0.6327624917030334,1000000,0.9271525144577026,106.32589721679688,1.28168785572052,0.4776190221309662,0.15501144143030812,0.4035985711348787,2721,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000,173.622,3.771985,36,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,2721,colmap | ,40.0
colmap,40,42,,22059,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,16.021272659301758,0.47918105125427246,0.5187664031982422,1000000,0.027446651831269264,1.0800848007202148,,,0.2107043762033523,0.39929573416233055,22059,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bonsai_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000,1.264,0.122388,34,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n40_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n40_s42_default_farthestpose_sharedcam,bonsai_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,22059,colmap | ,40.0
colmap,50,42,,3073,,,,,0,10,farthestpose,50,GT Eval,,,,,,,,,0.0,,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,16.598623275756836,0.5833204984664917,0.29286250472068787,1000000,0.00288584316149354,0.20111431181430817,,,0.025004901926265068,0.48203990960933485,3073,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000,0.2327,0.008995,29,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n50_s42_default_farthestpose_sharedcam,bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,3073,colmap | ,50.0
