choice,dataset,num_images,pose_opt,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,bicycle,20,,,,9.327774047851562,0.9867873787879944,0.011039652861654758,-0.523502769271823
COLMAP,bicycle,20,Pose Opt,,,9.540895462036133,0.9753441214561462,0.02645329013466835,-0.5034785143561451
COLMAP,bicycle,30,,0.6528089046478271,0.0060735344886779785,12.060203552246094,0.7754727005958557,0.1813303530216217,-0.24287585874437267
COLMAP,bicycle,30,Pose Opt,1.604614496231079,0.015486866235733032,10.8599853515625,0.8103333711624146,0.15510886907577515,-0.3019552553064098
COLMAP,bicycle,40,,0.3217424154281616,0.0052596041932702065,14.498021125793457,0.6936643719673157,0.2647492289543152,-0.09844915219295165
COLMAP,bicycle,40,Pose Opt,0.5034468173980713,0.0031330257188528776,13.763751983642578,0.684519350528717,0.243632972240448,-0.11875034207411594
COLMAP,bicycle,50,,0.20111431181430817,0.00288584316149354,16.598623275756836,0.5833204984664917,0.29286250472068787,0.025004901926265068
COLMAP,bicycle,50,Pose Opt,0.38692545890808105,0.003411441808566451,15.719438552856445,0.585709810256958,0.2518213987350464,-0.01675182724246882
COLMAP,bicycle,60,,0.12974558770656586,0.0031893858686089516,17.236000061035156,0.5451602935791016,0.3305085003376007,0.08237905987212224
COLMAP,bicycle,60,Pose Opt,0.25514620542526245,0.0035350508987903595,15.947785377502441,0.547142505645752,0.2447337806224823,0.007138989899668213
COLMAP,bicycle,70,,0.13516424596309662,0.002762554446235299,17.67551040649414,0.5228040814399719,0.34432029724121094,0.11239534550630255
COLMAP,bicycle,70,Pose Opt,0.23522379994392395,0.00346929207444191,16.537628173828125,0.5214819312095642,0.26178714632987976,0.043874593893377146
COLMAP,bicycle,80,,0.14882302284240723,0.0018538631265982985,17.76422882080078,0.4812810719013214,0.3296169936656952,0.13107134333053452
COLMAP,bicycle,80,Pose Opt,0.20063269138336182,0.0025564010720700026,17.295671463012695,0.47364091873168945,0.2938806712627411,0.106212065001445
COLMAP,bicycle,90,,0.11796092987060547,0.0020110192708671093,20.889169692993164,0.395292729139328,0.447834849357605,0.31115309161129834
COLMAP,bicycle,90,Pose Opt,0.12587085366249084,0.0023152194917201996,21.84345245361328,0.37501060962677,0.5299972295761108,0.3893929970117263
COLMAP,bicycle,100,,0.09855562448501587,0.0017129764892160892,21.33245086669922,0.36376556754112244,0.4795043170452118,0.3573433696410345
COLMAP,bicycle,100,Pose Opt,0.1106053814291954,0.002470657927915454,22.163246154785156,0.3494715690612793,0.5586552619934082,0.42783902572919363
VGGT,bicycle,10,,1.569100022315979,0.030797002837061882,14.1177978515625,0.582433819770813,0.18400134146213531,-0.08405047608630223
VGGT,bicycle,10,Pose Opt,1.7843000888824463,0.03406200557947159,13.94688606262207,0.5825746059417725,0.17737144231796265,-0.09117954826107103
VGGT,bicycle,20,,1.3446000814437866,0.025717996060848236,15.447319030761719,0.506489634513855,0.2102356106042862,0.002791091054193913
VGGT,bicycle,20,Pose Opt,1.3639999628067017,0.026023002341389656,15.592379570007324,0.48983314633369446,0.21785423159599304,0.020214514077058356
VGGT,bicycle,30,,0.9797000288963318,0.019523000344634056,15.909794807434082,0.483803391456604,0.21887671947479248,0.030412591069142847
VGGT,bicycle,30,Pose Opt,0.9347000122070312,0.019108999520540237,16.154842376708984,0.4501441717147827,0.22425037622451782,0.05887029448292953
VGGT,bicycle,40,,0.8855998516082764,0.0186419989913702,16.239471435546875,0.47751808166503906,0.22693517804145813,0.04511008354035813
VGGT,bicycle,40,Pose Opt,0.8118999004364014,0.017886998131871223,16.54815673828125,0.42724740505218506,0.23380540311336517,0.08587543537587297
VGGT,bicycle,50,,0.9197998642921448,0.01934400014579296,16.593347549438477,0.45837247371673584,0.23123961687088013,0.06599883710973989
VGGT,bicycle,50,Pose Opt,0.8300999402999878,0.018344001844525337,16.94716453552246,0.3975410759449005,0.23904143273830414,0.11466371447641872
VGGT,bicycle,60,,0.836899995803833,0.01655600033700466,16.704614639282227,0.4475344717502594,0.23841258883476257,0.07894418389089237
VGGT,bicycle,60,Pose Opt,0.725600004196167,0.015382001176476479,17.008508682250977,0.38160187005996704,0.24429938197135925,0.12871355728486522
VGGT,bicycle,70,,0.9155000448226929,0.01743599958717823,16.78994369506836,0.45191246271133423,0.2412833422422409,0.0795006911966846
VGGT,bicycle,70,Pose Opt,0.7904999256134033,0.01669600047171116,16.90428924560547,0.38290220499038696,0.24700000882148743,0.12756020578182392
VGGT,bicycle,80,,0.8730999827384949,0.01695599965751171,17.001585006713867,0.44336363673210144,0.24793365597724915,0.0925861001789299
VGGT,bicycle,80,Pose Opt,0.7452999949455261,0.01597600057721138,17.274003982543945,0.36039844155311584,0.2581929862499237,0.15484358781804664
VGGT,bicycle,90,,0.8906999826431274,0.01613599993288517,17.06501007080078,0.44399958848953247,0.25104543566703796,0.09518782979408749
VGGT,bicycle,90,Pose Opt,0.7545000314712524,0.015474999323487282,17.167457580566406,0.3584168255329132,0.257950097322464,0.15395168575704524
VGGT,bicycle,100,,0.8569999933242798,0.015425998717546463,17.17383575439453,0.44064733386039734,0.25722789764404297,0.10288788805231015
VGGT,bicycle,100,Pose Opt,0.4889967441558838,0.013628819026052952,17.384122848510742,0.337806761264801,0.26788055896759033,0.17649355493945842
COLMAP,bonsai,10,,10.937788963317871,0.06167753040790558,10.203524589538574,0.835077702999115,0.2639256715774536,-0.26575065797764874
COLMAP,bonsai,10,Pose Opt,9.962593078613281,0.08342143893241882,10.370388984680176,0.8212783932685852,0.30286675691604614,-0.23136991963439196
COLMAP,bonsai,20,,0.4538618326187134,0.00300606875680387,12.78054141998291,0.5810893177986145,0.37014880776405334,0.0008736228385167744
COLMAP,bonsai,20,Pose Opt,0.6712576150894165,0.010184313170611858,12.160051345825195,0.5963965654373169,0.3498920500278473,-0.03191190954150117
COLMAP,bonsai,30,,3.0684964656829834,0.17258191108703613,12.956140518188477,0.6936205625534058,0.40043017268180847,-0.04762987280294746
COLMAP,bonsai,30,Pose Opt,3.0201199054718018,0.16796274483203888,12.844159126281738,0.6961448788642883,0.41023141145706177,-0.045530103645671595
COLMAP,bonsai,40,,1.0800848007202148,0.027446651831269264,16.021272659301758,0.47918105125427246,0.5187664031982422,0.2107043762033523
COLMAP,bonsai,40,Pose Opt,0.9805366396903992,0.026201430708169937,16.20013999938965,0.4658905267715454,0.5211585760116577,0.2236196932814352
COLMAP,bonsai,50,,0.23929256200790405,0.008876856416463852,19.56189727783203,0.3011001944541931,0.6085438132286072,0.43869936295807405
COLMAP,bonsai,50,Pose Opt,0.1934441328048706,0.006443613674491644,20.38746452331543,0.2715824842453003,0.6417256593704224,0.4916130424397885
COLMAP,bonsai,60,,0.21371124684810638,0.0029332858975976706,20.666831970214844,0.2531079649925232,0.6391506195068359,0.5066846666435206
COLMAP,bonsai,60,Pose Opt,0.11787588149309158,0.001503425883129239,22.68277931213379,0.222024068236351,0.7402629256248474,0.622334618995219
COLMAP,bonsai,70,,0.26104092597961426,0.0028445583302527666,20.396320343017578,0.2565770745277405,0.6297097206115723,0.4940127729207684
COLMAP,bonsai,70,Pose Opt,0.11856911331415176,0.0017005279660224915,22.954282760620117,0.2121027112007141,0.7451338768005371,0.6363352645597649
COLMAP,bonsai,80,,0.24107587337493896,0.0033832485787570477,20.760934829711914,0.2436372935771942,0.6288368701934814,0.5082419733090242
COLMAP,bonsai,80,Pose Opt,0.10009374469518661,0.0019349874928593636,24.627426147460938,0.191421240568161,0.795950710773468,0.709803188017547
COLMAP,bonsai,90,,0.19432476162910461,0.013798060826957226,21.677244186401367,0.22065772116184235,0.6703037619590759,0.5636452306509792
COLMAP,bonsai,90,Pose Opt,0.12307452410459518,0.012293576262891293,23.155616760253906,0.19692406058311462,0.719988226890564,0.6347281509517771
COLMAP,bonsai,100,,0.1581190675497055,0.003077009692788124,22.422779083251953,0.20355287194252014,0.6968405842781067,0.6035285908886177
COLMAP,bonsai,100,Pose Opt,0.09680686891078949,0.0010529047576710582,24.653011322021484,0.17453931272029877,0.7761514782905579,0.7091194321343928
VGGT,bonsai,10,,,,,,,
VGGT,bonsai,20,,,,,,,
VGGT,bonsai,30,,,,,,,
VGGT,bonsai,40,,,,,,,
VGGT,bonsai,50,,0.8634902238845825,0.022979047149419785,16.620929718017578,0.45816999673843384,0.5343571901321411,0.2438963425477036
VGGT,bonsai,60,,,,,,,
VGGT,bonsai,70,,,,,,,
VGGT,bonsai,80,,,,,,,
VGGT,bonsai,90,,,,,,,
VGGT,bonsai,100,,0.7215033769607544,0.024335382506251335,17.731338500976562,0.4183982312679291,0.5749688744544983,0.31275946366624285
VGGT,bonsai,100,Pose Opt,0.8112999200820923,0.0220319963991642,17.40581512451172,0.3973557949066162,0.559679388999939,0.31077919167462226
COLMAP,lego,20,,111.38931274414062,0.39187929034233093,10.803786277770996,0.5119118690490723,0.6756448745727539,0.1856218456369937
COLMAP,lego,20,Pose Opt,120.3613052368164,0.4246414601802826,10.803693771362305,0.5115751624107361,0.676060140132904,0.1860708215160754
COLMAP,lego,30,,119.95310974121094,0.8643708229064941,10.754471778869629,0.5123341083526611,0.6750344038009644,0.18409097217909304
COLMAP,lego,30,Pose Opt,119.89866638183594,0.8647823333740234,10.755062103271484,0.5123323202133179,0.6748767495155334,0.18401081241362274
COLMAP,lego,40,,106.32589721679688,0.9271525144577026,10.87772274017334,0.5230934023857117,0.6327624917030334,0.15501144143030812
COLMAP,lego,40,Pose Opt,108.58917999267578,0.9261929392814636,10.943881034851074,0.5200427174568176,0.6450473070144653,0.1653038364017529
COLMAP,lego,50,,132.1361846923828,0.9520024061203003,10.931468963623047,0.5264056324958801,0.5981243252754211,0.13370591769983736
COLMAP,lego,50,Pose Opt,129.96786499023438,0.9518187642097473,10.967422485351562,0.517281711101532,0.6424274444580078,0.1659120307331197
COLMAP,lego,60,,94.8447494506836,1.0063287019729614,10.869637489318848,0.5229114890098572,0.6601412296295166,0.17098496462169446
COLMAP,lego,60,Pose Opt,95.0254898071289,1.0051743984222412,10.87811279296875,0.5207507014274597,0.6635403633117676,0.17446353165959289
COLMAP,lego,70,,0.20353177189826965,0.002785268472507596,21.826129913330078,0.06788375228643417,0.8252301812171936,0.7513075379813313
COLMAP,lego,70,Pose Opt,0.15313544869422913,0.002075882162898779,22.728504180908203,0.058363739401102066,0.8538640141487122,0.7906396552687964
COLMAP,lego,80,,12.792558670043945,0.2106112241744995,10.938504219055176,0.47431427240371704,0.5621680617332458,0.14496430605553123
COLMAP,lego,80,Pose Opt,12.851283073425293,0.21328282356262207,10.882725715637207,0.4760783016681671,0.5597950220108032,0.1414547213259419
COLMAP,lego,87,,10.430866241455078,0.11273074895143509,24.951248168945312,0.057750023901462555,0.8941664099693298,0.8557490702280368
COLMAP,lego,87,Pose Opt,10.380709648132324,0.11235309392213821,25.237646102905273,0.05288347229361534,0.9056525826454163,0.8707738399186097
VGGT,lego,10,Pose Opt,2.4612040519714355,0.033232420682907104,13.628019332885742,0.3547708988189697,0.5990500450134277,0.2901307586883089
VGGT,lego,20,Pose Opt,2.0122835636138916,0.029718836769461632,13.953129768371582,0.32779231667518616,0.6189408302307129,0.32443680621494786
