method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
colmap,20,42,,91,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,10.803786277770996,0.5119118690490723,0.6756448745727539,90557,0.39187929034233093,111.38931274414062,3.9033923149108887,1.0372014045715332,0.1856218456369937,0.38817920066592554,91,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000,111.3893,0.022876,3,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,91,colmap | ,20.0
colmap,30,42,,1326,,,,,0,10,farthestpose,30,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,10.754471778869629,0.5123341083526611,0.6750344038009644,1000000,0.8643708229064941,119.95310974121094,0.47186753153800964,1.1231975555419922,0.18409097217909304,0.3888148564005959,1326,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000,132.5397,3.729538,19,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,1326,colmap | ,30.0
colmap,40,42,,2721,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,10.87772274017334,0.5230934023857117,0.6327624917030334,1000000,0.9271525144577026,106.32589721679688,1.28168785572052,0.4776190221309662,0.15501144143030812,0.4035985711348787,2721,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000,173.622,3.771985,36,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,2721,colmap | ,40.0
colmap,50,42,,3611,,,,,0,10,farthestpose,50,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,10.931468963623047,0.5264056324958801,0.5981243252754211,1000000,0.9520024061203003,132.1361846923828,0.8175212144851685,0.7882755398750305,0.13370591769983736,0.41367949497840373,3611,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_steps15000,144.652,3.618531,42,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,3611,colmap | ,50.0
colmap,60,42,,4942,,,,,0,10,farthestpose,60,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,10.869637489318848,0.5229114890098572,0.6601412296295166,1000000,1.0063287019729614,94.8447494506836,1.4211879968643188,1.2769876718521118,0.17098496462169446,0.3959129578091424,4942,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n60_s42_default_mpinhole_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n60_s42_default_mpinhole_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,lego_1_n60_s42_default_mpinhole_farthestpose_sharedcam_i60_gteval_steps15000,147.8803,3.623879,51,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n60_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n60_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n60_s42_default_mpinhole_farthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,4942,colmap | ,60.0
colmap,70,42,,7210,,,,,0,10,farthestpose,70,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,21.826129913330078,0.06788375228643417,0.8252301812171936,1000000,0.002785268472507596,0.20353177189826965,0.022965850308537483,0.023467782884836197,0.7513075379813313,0.1641686193878445,7210,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n70_s42_default_mpinhole_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n70_s42_default_mpinhole_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,lego_1_n70_s42_default_mpinhole_farthestpose_sharedcam_i70_gteval_steps15000,0.2026,0.01069,70,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n70_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n70_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n70_s42_default_mpinhole_farthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,7210,colmap | ,70.0
colmap,80,42,,9324,,,,,0,10,farthestpose,80,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,10.938504219055176,0.47431427240371704,0.5621680617332458,1000000,0.2106112241744995,12.792558670043945,0.32420769333839417,0.34270384907722473,0.14496430605553123,0.4055228539267457,9324,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n80_s42_default_mpinhole_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n80_s42_default_mpinhole_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,lego_1_n80_s42_default_mpinhole_farthestpose_sharedcam_i80_gteval_steps15000,15.3915,0.895301,80,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n80_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n80_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n80_s42_default_mpinhole_farthestpose_sharedcam_i80_gteval_steps15000_val_step14999.json,9324,colmap | ,80.0
colmap,87,42,,10069,,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,24.951248168945312,0.057750023901462555,0.8941664099693298,1000000,0.11273074895143509,10.430866241455078,0.018897393718361855,0.01987577974796295,0.8557490702280368,0.12875624974605693,10069,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000,10.4284,0.396113,87,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000_val_step14999.json,10069,colmap | ,87.0
vggt,10,42,0.0,11000,voxels,,,,0,10,farthestpose,10,GT Eval,,,,,,,,,0.0,,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,13.555880546569824,0.3526148498058319,0.6066633462905884,1000000,0.03559907525777817,2.5483977794647217,0.20826661586761475,0.059022851288318634,0.29457797265966806,0.34129257184878165,2674,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps15000/stats/val_step14999.json,lego_1_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps15000,2.5925,0.160213,10,0.13,0.0365,0.1676,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n10_s42_c0.0_p11000_voxels_farthestpose/eval_results.json,lego_1_n10_s42_c0.0_p11000_voxels_farthestpose,lego_1_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps15000_val_step14999.json,2674,vggt | ,10.0
vggt,20,42,0.0,22000,voxels,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,13.4330472946167,0.33392438292503357,0.6114479899406433,1000000,0.03264262527227402,2.281944513320923,0.15765486657619476,0.04201776906847954,0.3066386452659994,0.33420870207433034,17983,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,lego_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000,2.2981,0.141203,20,0.0926,0.0261,0.13,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n20_s42_c0.0_p22000_voxels_farthestpose/eval_results.json,lego_1_n20_s42_c0.0_p22000_voxels_farthestpose,lego_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000_val_step14999.json,17983,vggt | ,20.0
