choice,dataset,num_images,rre,rte,psnr,lpips,ssim,num_aligned
COLMAP,lego,20,62.9535,2.475707,10.773907661437988,0.5167577266693115,0.6638930439949036,10
COLMAP,lego,30,120.0686,3.745266,10.754509925842285,0.5123342275619507,0.6750348210334778,19
COLMAP,lego,40,103.4804,3.760529,10.76143741607666,0.5221196413040161,0.6439384818077087,39
COLMAP,lego,50,116.2462,3.627222,11.005355834960938,0.5069382190704346,0.6777759194374084,45
COLMAP,lego,60,80.0117,3.149185,10.637319564819336,0.5330854058265686,0.6439226865768433,56
COLMAP,lego,70,72.7904,2.974166,10.487804412841797,0.5472506880760193,0.6356407999992371,70
COLMAP,lego,80,11.4943,0.669444,10.900209426879883,0.47297534346580505,0.5661367177963257,80
COLMAP,lego,87,10.4784,0.403756,22.786890029907227,0.06574113667011261,0.8507940173149109,87
VGGT,lego,10,2.5484,0.158437,13.423620223999023,0.3575372099876404,0.6043076515197754,10
VGGT,lego,20,2.282,0.136623,13.51085090637207,0.33849838376045227,0.6098172664642334,20
VGGT,lego,30,2.2232,0.131161,13.875818252563477,0.31835925579071045,0.6239250302314758,30
VGGT,lego,40,1.3375,0.068919,14.37865161895752,0.27628257870674133,0.6544467806816101,40
VGGT,lego,50,0.901,0.041792,15.187575340270996,0.2324674129486084,0.6850805878639221,50
VGGT,lego,60,0.6029,0.028582,16.231658935546875,0.18868233263492584,0.7087209820747375,60
VGGT,lego,70,0.4393,0.021293,18.4581356048584,0.12580247223377228,0.7528975605964661,70
VGGT,lego,80,0.347,0.019011,19.914697647094727,0.10276784002780914,0.7650076150894165,80
VGGT,lego,87,0.2976,0.018838,20.5725154876709,0.09495189040899277,0.7736919522285461,87
COLMAP,ship,20,0.2791,0.010321,15.90024471282959,0.41260114312171936,0.5273544192314148,5
COLMAP,ship,30,3.3966,0.044897,16.67865753173828,0.38849979639053345,0.5737844109535217,10
COLMAP,ship,40,12.248,0.482789,17.629131317138672,0.3424363136291504,0.5930382013320923,17
COLMAP,ship,50,8.8761,0.363171,18.536895751953125,0.26487278938293457,0.6343960762023926,22
COLMAP,ship,60,0.7058,0.025505,20.76923179626465,0.17714475095272064,0.7102228403091431,52
COLMAP,ship,70,0.341,0.020319,22.828609466552734,0.15065373480319977,0.7532257437705994,59
COLMAP,ship,80,0.214,0.012049,22.77485466003418,0.14556436240673065,0.7598674893379211,73
COLMAP,ship,87,0.2458,0.011214,22.400592803955078,0.14908459782600403,0.7505561709403992,80
VGGT,ship,10,0.3226,0.021268,20.607446670532227,0.19643963873386383,0.6846309900283813,10
VGGT,ship,20,0.3689,0.022972,21.624435424804688,0.1641979068517685,0.7086312770843506,20
VGGT,ship,30,0.274,0.019493,21.371971130371094,0.17001982033252716,0.6948965191841125,30
VGGT,ship,40,0.2698,0.018068,21.399463653564453,0.16216853260993958,0.6979602575302124,40
VGGT,ship,50,0.3107,0.019548,21.622787475585938,0.15009436011314392,0.7148851156234741,50
VGGT,ship,60,0.3788,0.020531,22.636770248413086,0.14375072717666626,0.72690349817276,60
VGGT,ship,70,0.4193,0.023856,22.405467987060547,0.1502559930086136,0.7231002449989319,70
VGGT,ship,80,0.4568,0.026057,21.48303985595703,0.16385158896446228,0.7119224071502686,80
VGGT,ship,87,0.4869,0.027807,20.870609283447266,0.17614904046058655,0.701298177242279,87
COLMAP,drums,20,5.1198,0.003811,4.959490776062012,0.8838170766830444,0.08192630112171173,3
COLMAP,drums,30,0.5778,0.011678,11.783252716064453,0.5304309725761414,0.38390734791755676,4
COLMAP,drums,40,0.9174,0.005572,12.097342491149902,0.46339869499206543,0.46187615394592285,5
COLMAP,drums,50,0.3235,0.012924,17.201332092285156,0.1622934341430664,0.7802598476409912,18
COLMAP,drums,60,0.2955,0.012916,18.548789978027344,0.14999891817569733,0.8038333654403687,22
COLMAP,drums,70,0.2782,0.013316,16.645692825317383,0.1717003434896469,0.7655212879180908,25
COLMAP,drums,80,0.2266,0.012312,20.440351486206055,0.10085885226726532,0.8527451157569885,72
COLMAP,drums,87,0.1528,0.009899,22.46944808959961,0.09344673901796341,0.898908793926239,79
VGGT,drums,10,1.1533,0.077913,12.48563003540039,0.4220162630081177,0.5990762114524841,10
VGGT,drums,20,0.8537,0.052643,13.110735893249512,0.3594720661640167,0.6423953771591187,20
VGGT,drums,30,0.6952,0.041396,13.974458694458008,0.2956872880458832,0.680051863193512,30
VGGT,drums,40,0.3733,0.019382,17.82033348083496,0.12377259880304337,0.7901908755302429,40
VGGT,drums,50,0.3263,0.018171,19.440813064575195,0.10209283977746964,0.8310389518737793,50
VGGT,drums,60,0.3668,0.018927,19.182491302490234,0.10479867458343506,0.8285782933235168,60
VGGT,drums,70,0.1748,0.009322,19.235431671142578,0.10437760502099991,0.8269690275192261,70
VGGT,drums,80,0.1823,0.009595,19.59811019897461,0.10386714339256287,0.8325299620628357,80
VGGT,drums,87,0.173,0.01002,19.667821884155273,0.10607661306858063,0.8355606198310852,87
