choice,dataset,num_images,inference_time,peak_memory_mb
COLMAP,bonsai,10,,
COLMAP,bonsai,20,8.479376554489136,6712.0
COLMAP,bonsai,30,47.781490325927734,6776.0
COLMAP,bonsai,40,25.5097496509552,6836.0
COLMAP,bonsai,50,46.97960114479065,7418.0
COLMAP,bonsai,60,65.64310216903687,7482.0
COLMAP,bonsai,70,75.30614638328552,7542.0
COLMAP,bonsai,80,97.05003786087036,7602.0
COLMAP,bonsai,90,137.66103339195251,7666.0
COLMAP,bonsai,100,187.39341807365417,7726.0
VGGT,bonsai,10,0.5429914792378744,9829.32373046875
VGGT,bonsai,20,1.3405016263326008,12677.69287109375
VGGT,bonsai,30,2.25586732228597,15754.2490234375
VGGT,bonsai,40,3.406620502471924,18836.04638671875
VGGT,bonsai,50,4.550992012023926,21894.99072265625
VGGT,bonsai,60,6.09878134727478,24970.4130859375
VGGT,bonsai,70,7.783740202585856,28059.81298828125
VGGT,bonsai,80,9.581416765848795,31121.44091796875
VGGT,bonsai,90,11.614909489949545,34199.01318359375
VGGT,bonsai,100,13.761577924092611,37285.01025390625
COLMAP,kitchen,10,,
COLMAP,kitchen,20,3.45123553276062,8822.0
COLMAP,kitchen,30,6.868884086608887,8886.0
COLMAP,kitchen,40,13.838386297225952,8946.0
COLMAP,kitchen,50,21.937641859054565,9432.0
COLMAP,kitchen,60,32.78321099281311,9496.0
COLMAP,kitchen,70,53.182297468185425,9946.0
COLMAP,kitchen,80,73.82726502418518,10006.0
COLMAP,kitchen,90,93.5088107585907,10070.0
COLMAP,kitchen,100,127.14479780197144,10130.0
VGGT,kitchen,10,0.5438543160756429,9829.32373046875
VGGT,kitchen,20,1.343805472056071,12677.69287109375
VGGT,kitchen,30,2.2636771996816,15754.2490234375
VGGT,kitchen,40,3.3461454709370932,18836.04638671875
VGGT,kitchen,50,4.618879477183024,21895.35009765625
VGGT,kitchen,60,6.110435326894124,24973.3662109375
VGGT,kitchen,70,7.766534010569255,28060.35400390625
VGGT,kitchen,80,9.594533522923788,31121.44091796875
VGGT,kitchen,90,11.581616401672363,34199.01318359375
VGGT,kitchen,100,13.740333080291748,37285.01025390625
COLMAP,counter,10,2.018458604812622,7172.0
COLMAP,counter,20,11.622976779937744,7234.0
COLMAP,counter,30,23.2292320728302,7298.0
COLMAP,counter,40,46.28237509727478,7358.0
COLMAP,counter,50,69.99852871894836,7418.0
COLMAP,counter,60,97.29622483253479,7482.0
COLMAP,counter,70,136.9727382659912,7542.0
COLMAP,counter,80,183.8114914894104,7602.0
COLMAP,counter,90,231.36329460144043,7666.0
COLMAP,counter,100,292.9965500831604,7726.0
VGGT,counter,10,0.5433941682179769,9829.32373046875
VGGT,counter,20,1.3432203928629558,12677.69287109375
VGGT,counter,30,2.253292957941691,15754.2490234375
VGGT,counter,40,3.345441977183024,18836.04638671875
VGGT,counter,50,4.628480593363444,21895.35009765625
VGGT,counter,60,6.115433772404988,24973.3662109375
VGGT,counter,70,7.787083069483439,28060.35400390625
VGGT,counter,80,9.59746511777242,31121.44091796875
VGGT,counter,90,11.6162322362264,34199.01318359375
VGGT,counter,100,13.782190799713135,37285.01025390625
