method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
vggt,20,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bicycle,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,outdoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n20_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,bicycle_4_n20_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,1.342,0.084784,20,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n20_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bicycle_4_n20_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,20.0
vggt,20,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bonsai,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n20_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,bonsai_2_n20_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,0.7219,0.03498,20,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n20_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n20_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,20.0
vggt,20,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,lego,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,synthetic,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n20_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,lego_1_n20_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,0.7987,0.044902,20,0.0603,0.017,0.099,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n20_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,lego_1_n20_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,20.0
vggt,40,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bicycle,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,outdoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n40_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,bicycle_4_n40_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,0.6602,0.049003,40,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n40_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bicycle_4_n40_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,40.0
vggt,40,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bonsai,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n40_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,bonsai_2_n40_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,0.7227,0.040118,40,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n40_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n40_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,40.0
vggt,40,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,lego,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,synthetic,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n40_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,lego_1_n40_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,0.5183,0.020374,40,0.0546,0.0151,0.0987,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n40_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,lego_1_n40_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,40.0
vggt,60,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bicycle,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,outdoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n60_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,bicycle_4_n60_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,0.6308,0.040847,60,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n60_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bicycle_4_n60_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,60.0
vggt,60,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bonsai,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n60_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,bonsai_2_n60_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,0.6577,0.040459,60,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n60_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n60_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,60.0
vggt,60,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,lego,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,synthetic,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n60_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,lego_1_n60_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,0.3406,0.01554,60,0.0447,0.0125,0.0995,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n60_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,lego_1_n60_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,60.0
vggt,80,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bicycle,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,outdoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n80_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,bicycle_4_n80_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,0.5863,0.039686,80,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n80_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bicycle_4_n80_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,80.0
vggt,80,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bonsai,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n80_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,bonsai_2_n80_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,0.7554,0.041192,80,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n80_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n80_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,80.0
