choice,dataset_collection,num_points,sampling_mode,processing_time
VGGT,indoor,1000,confidence,3.0459656715393066
VGGT,indoor,1000,imagefps,4.874969244003296
VGGT,indoor,1000,random,3.3481626510620117
VGGT,indoor,1000,voxels,17.048250913619995
VGGT,indoor,5000,confidence,3.4833011627197266
VGGT,indoor,5000,imagefps,5.329086065292358
VGGT,indoor,5000,random,3.6531834602355957
VGGT,indoor,5000,voxels,16.44715452194214
VGGT,indoor,10000,confidence,3.1539688110351562
VGGT,indoor,10000,imagefps,10.439265012741089
VGGT,indoor,10000,random,3.3706467151641846
VGGT,indoor,10000,voxels,17.289427280426025
VGGT,indoor,50000,confidence,4.022932529449463
VGGT,indoor,50000,imagefps,17.58794856071472
VGGT,indoor,50000,random,4.084459066390991
VGGT,indoor,50000,voxels,17.29759931564331
VGGT,indoor,100000,confidence,4.062390327453613
VGGT,indoor,100000,imagefps,62.81589913368225
VGGT,indoor,100000,random,4.478395223617554
VGGT,indoor,100000,voxels,17.68774700164795
VGGT,indoor,,ba,
