choice,num_points,pose_opt,psnr,lpips,ssim
COLMAP,80962,,21.817991256713867,0.21005652844905853,0.6816845536231995
COLMAP,80962,Pose Opt,23.78042221069336,0.17764073610305786,0.7430458068847656
VGGT,1000,,17.852130889892578,0.5483142733573914,0.6085590720176697
VGGT,1000,Pose Opt,17.640214920043945,0.49687880277633667,0.5938438177108765
VGGT,5000,,17.742000579833984,0.4857986271381378,0.5943694710731506
VGGT,5000,Pose Opt,17.475608825683594,0.43468567728996277,0.575585663318634
VGGT,10000,,17.67850685119629,0.47237133979797363,0.5889174342155457
VGGT,10000,Pose Opt,17.456371307373047,0.4235987365245819,0.5724332928657532
VGGT,20000,,17.632787704467773,0.46031931042671204,0.584369957447052
VGGT,20000,Pose Opt,17.46586799621582,0.4114932119846344,0.5689254999160767
VGGT,30000,,17.605466842651367,0.4515428841114044,0.5810579657554626
VGGT,30000,Pose Opt,17.425289154052734,0.4077024757862091,0.5656492710113525
VGGT,50000,,17.579814910888672,0.44705164432525635,0.5787550210952759
VGGT,50000,Pose Opt,17.412185668945312,0.4070036709308624,0.5642397403717041
VGGT,75000,,17.56283187866211,0.441468209028244,0.576424777507782
VGGT,75000,Pose Opt,17.373823165893555,0.40514227747917175,0.5615097284317017
VGGT,100000,,17.540729522705078,0.4390751123428345,0.5749732255935669
VGGT,100000,Pose Opt,17.39032745361328,0.4035985469818115,0.5606101751327515
VGGT,250000,,17.479915618896484,0.43137800693511963,0.5693787336349487
VGGT,250000,Pose Opt,17.365665435791016,0.4013783633708954,0.5580353140830994
VGGT,500000,,17.446266174316406,0.4288439452648163,0.5649056434631348
VGGT,500000,Pose Opt,17.34063720703125,0.4019813537597656,0.5564673542976379
VGGT,1000000,,17.5111083984375,0.42439278960227966,0.5648491382598877
VGGT,1000000,Pose Opt,17.358226776123047,0.39889752864837646,0.5556691288948059
