choice,dataset,num_points,sampling_mode,psnr,lpips,ssim,quality,avge
COLMAP,bicycle,17352,,22.997255325317383,0.34948840737342834,0.6103905439376831,0.4735277968230691,0.3262301614196912
VGGT,bicycle,1000,random,21.656288146972656,0.5766024589538574,0.48278936743736267,0.2338806412450829,0.4342017521137489
VGGT,bicycle,5000,random,22.492956161499023,0.42037561535835266,0.5662214756011963,0.3946015231016009,0.3615422684443668
VGGT,bicycle,10000,random,22.74217414855957,0.36722230911254883,0.5959244966506958,0.449397541626155,0.33607002115504914
VGGT,bicycle,50000,random,22.829973220825195,0.2726561725139618,0.6339620351791382,0.5316417833440408,0.29429295546525874
VGGT,bicycle,100000,random,22.770076751708984,0.2482174187898636,0.6338316798210144,0.5455420087149113,0.2862067375847416
VGGT,bicycle,500000,random,22.33084487915039,0.23270238935947418,0.6052718758583069,0.5302836240654722,0.288941025701891
VGGT,bicycle,1000000,random,22.0590763092041,0.24282602965831757,0.5852311849594116,0.5072820098118165,0.2976919444062545
COLMAP,kitchen,92853,,27.95215606689453,0.12160562723875046,0.9019156098365784,0.8764360954402869,0.14546411732701187
VGGT,kitchen,1000,random,24.84990119934082,0.23393380641937256,0.8129796981811523,0.6976392439544161,0.2232219090834079
VGGT,kitchen,5000,random,26.08895492553711,0.16061392426490784,0.8721027374267578,0.8004187465953392,0.17356738388516146
VGGT,kitchen,10000,random,26.189146041870117,0.1440441906452179,0.8844283223152161,0.8197103126471967,0.16213579108309617
VGGT,kitchen,50000,random,25.981637954711914,0.132106751203537,0.8898636102676392,0.8264148910375599,0.15549910367138176
VGGT,kitchen,100000,random,25.88842010498047,0.12953218817710876,0.8895320296287537,0.8260839641907525,0.15482555629902706
VGGT,kitchen,500000,random,25.448097229003906,0.13281364738941193,0.8816481232643127,0.8112937731933407,0.159896330307238
VGGT,kitchen,1000000,random,25.1993408203125,0.1356804221868515,0.878853976726532,0.8032835551366315,0.16225373511503094
COLMAP,ship,5138,,29.361148834228516,0.11183419823646545,0.8924800157546997,0.9030424091163743,0.14696502319678656
VGGT,ship,870,random,29.38414192199707,0.1351514607667923,0.8929300904273987,0.8893380366686956,0.15450640053759718
VGGT,ship,4350,random,29.94475555419922,0.10832598805427551,0.899613618850708,0.9201872005255056,0.1420589630260622
VGGT,ship,8700,random,29.939783096313477,0.1039947047829628,0.8986688852310181,0.9222162738200361,0.1411113841291592
VGGT,ship,43500,random,29.911413192749023,0.09657686948776245,0.8959100842475891,0.9246564820031209,0.14007572169364663
VGGT,ship,87000,random,29.873943328857422,0.09419579058885574,0.8938523530960083,0.9242290458735744,0.14034277383578098
VGGT,ship,435000,random,29.73029899597168,0.08928075432777405,0.8889577984809875,0.9217406259952542,0.1411915923333528
VGGT,ship,870000,random,29.6955623626709,0.0873001366853714,0.8873028755187988,0.921352167285209,0.1413588917573583
