choice,dataset,num_points,sampling_mode,psnr,lpips,ssim,quality,avge
COLMAP,bonsai,66763,,31.41236686706543,0.12954774498939514,0.94107586145401,0.9585122633398624,0.12433768948872681
VGGT,bonsai,1000,random,26.151723861694336,0.32213205099105835,0.8211326003074646,0.6720714892095524,0.2491616260678149
VGGT,bonsai,5000,random,28.152000427246094,0.21575768291950226,0.8779919743537903,0.8080279339320323,0.18886151257425898
VGGT,bonsai,10000,random,28.64240074157715,0.19525392353534698,0.8877913355827332,0.8354966834313379,0.1771988380491244
VGGT,bonsai,50000,random,28.905363082885742,0.16897983849048615,0.8885138630867004,0.8570074581379545,0.16805396544393916
VGGT,bonsai,100000,random,28.487241744995117,0.1647702306509018,0.8804551362991333,0.847150288033284,0.17064650955577054
VGGT,bonsai,500000,random,27.571191787719727,0.17526203393936157,0.8564770221710205,0.8096876891887832,0.18528522214448878
VGGT,bonsai,1000000,random,26.852340698242188,0.18924443423748016,0.843449592590332,0.7801261408093534,0.19565773841151857
COLMAP,kitchen,70681,,29.30306625366211,0.11349157243967056,0.9151408672332764,0.9141956952057387,0.1353238500093359
COLMAP,kitchen,,,,,,,
VGGT,kitchen,1000,random,25.732067108154297,0.2188856452703476,0.8386542797088623,0.7382790131991835,0.20774533594545322
VGGT,kitchen,5000,random,27.398378372192383,0.14674226939678192,0.8912397623062134,0.8444213214789682,0.15945027359656752
VGGT,kitchen,10000,random,27.445539474487305,0.13482539355754852,0.9010235667228699,0.8583722944729045,0.1504104384121041
VGGT,kitchen,50000,random,27.068721771240234,0.12140662223100662,0.9067940711975098,0.863051945054353,0.14288900698975304
VGGT,kitchen,100000,random,26.902482986450195,0.12214373052120209,0.9047079682350159,0.8582985006693975,0.1442927920651846
VGGT,kitchen,500000,random,25.972476959228516,0.1271563470363617,0.8932751417160034,0.831296095645141,0.15212397015403173
VGGT,kitchen,1000000,random,25.70386505126953,0.12988941371440887,0.891582727432251,0.8236450069015718,0.15394877889517306
COLMAP,counter,41914,,28.30894660949707,0.16158327460289001,0.9065025448799133,0.8610481857633806,0.15627762493060074
COLMAP,counter,,,,,,,
VGGT,counter,1000,random,25.36220359802246,0.31219813227653503,0.8237674236297607,0.665123624527431,0.24496933723974745
VGGT,counter,5000,random,27.33568000793457,0.20388086140155792,0.8824469447135925,0.8028475062617858,0.1828626077910951
VGGT,counter,10000,random,27.768634796142578,0.17924197018146515,0.8963567614555359,0.8342087753915879,0.16761676192592825
VGGT,counter,50000,random,28.09678840637207,0.15370230376720428,0.9068578481674194,0.8621919066624024,0.15348141930384812
VGGT,counter,100000,random,28.083406448364258,0.14783841371536255,0.90664142370224,0.8654372138276822,0.15164650547271283
VGGT,counter,500000,random,27.72613525390625,0.14346709847450256,0.9014544486999512,0.8584861046234611,0.15302493680412455
VGGT,counter,1000000,random,27.528261184692383,0.14184626936912537,0.8981474041938782,0.8538883376462341,0.1542521830715548
