method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_points_jitter
vggt,100,42,0.0,1000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,21.656288146972656,0.5766024589538574,0.48278936743736267,1000000,0.0,0.0,,,0.2338806412450829,0.4342017521137489,1000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p1000_random_farthestpose,bicycle_4_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,1000,vggt | random,975.0
vggt,100,42,0.0,1000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,garden,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,22.3284969329834,0.49191588163375854,0.5660077929496765,1000000,2.140685059423214e-16,1.1232075394218555e-06,,,0.3472703630231742,0.385515551926647,1000,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,garden_2_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_steps15000,0.3733,0.026869,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/garden_2_n100_s42_c0.0_p1000_random_farthestpose/eval_results.json,garden_2_n100_s42_c0.0_p1000_random_farthestpose,garden_2_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,1000,vggt | random,975.0
vggt,100,42,0.0,1000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,stump,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,23.28730583190918,0.5615071654319763,0.629551351070404,1000000,2.4327278583044097e-16,2.346671863051597e-06,,,0.3592284762913567,0.3916143789716516,1000,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,stump_2_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_steps15000,0.8558,0.162829,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/stump_2_n100_s42_c0.0_p1000_random_farthestpose/eval_results.json,stump_2_n100_s42_c0.0_p1000_random_farthestpose,stump_2_n100_s42_c0.0_p1000_random_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,1000,vggt | random,975.0
vggt,100,42,0.0,5000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,22.492956161499023,0.42037561535835266,0.5662214756011963,1000000,0.0,0.0,,,0.3946015231016009,0.3615422684443668,5000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p5000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p5000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p5000_random_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p5000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p5000_random_farthestpose,bicycle_4_n100_s42_c0.0_p5000_random_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,5000,vggt | random,4875.0
vggt,100,42,0.0,5000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,garden,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,23.349838256835938,0.36721527576446533,0.6362857818603516,1000000,1.432490606042346e-16,5.325454139892827e-07,,,0.4842580130070816,0.32497549914320156,5000,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p5000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p5000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,garden_2_n100_s42_c0.0_p5000_random_farthestpose_i100_gteval_gtext_gtint_steps15000,0.3733,0.026869,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/garden_2_n100_s42_c0.0_p5000_random_farthestpose/eval_results.json,garden_2_n100_s42_c0.0_p5000_random_farthestpose,garden_2_n100_s42_c0.0_p5000_random_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,5000,vggt | random,4875.0
vggt,100,42,0.0,5000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,stump,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,24.78335189819336,0.41495051980018616,0.6986602544784546,1000000,1.7802323063015145e-16,1.0185539167650859e-06,,,0.5178146616757264,0.3224062528970826,5000,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p5000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p5000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,stump_2_n100_s42_c0.0_p5000_random_farthestpose_i100_gteval_gtext_gtint_steps15000,0.8558,0.162829,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/stump_2_n100_s42_c0.0_p5000_random_farthestpose/eval_results.json,stump_2_n100_s42_c0.0_p5000_random_farthestpose,stump_2_n100_s42_c0.0_p5000_random_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,5000,vggt | random,4875.0
vggt,100,42,0.0,10000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,22.74217414855957,0.36722230911254883,0.5959244966506958,1000000,0.0,0.0,,,0.449397541626155,0.33607002115504914,10000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p10000_random_farthestpose,bicycle_4_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,10000,vggt | random,9750.0
vggt,100,42,0.0,10000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,garden,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,23.596782684326172,0.33171525597572327,0.6595603227615356,1000000,8.697260848768761e-17,8.905628874344984e-07,,,0.5243554930550622,0.30651857902174096,10000,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,garden_2_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_steps15000,0.3733,0.026869,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/garden_2_n100_s42_c0.0_p10000_random_farthestpose/eval_results.json,garden_2_n100_s42_c0.0_p10000_random_farthestpose,garden_2_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,10000,vggt | random,9750.0
vggt,100,42,0.0,10000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,stump,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,25.3549747467041,0.36834046244621277,0.7232985496520996,1000000,1.9158359284098236e-16,2.6051668555737706e-06,,,0.5715802700741094,0.2990929137717755,10000,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,stump_2_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_steps15000,0.8558,0.162829,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/stump_2_n100_s42_c0.0_p10000_random_farthestpose/eval_results.json,stump_2_n100_s42_c0.0_p10000_random_farthestpose,stump_2_n100_s42_c0.0_p10000_random_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,10000,vggt | random,9750.0
vggt,100,42,0.0,50000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,22.829973220825195,0.2726561725139618,0.6339620351791382,1000000,0.0,0.0,,,0.5316417833440408,0.29429295546525874,50000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p50000_random_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p50000_random_farthestpose,bicycle_4_n100_s42_c0.0_p50000_random_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,50000,vggt | random,48750.0
vggt,100,42,0.0,50000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,garden,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,23.905128479003906,0.2669948935508728,0.7004148960113525,1000000,1.8506288175011254e-16,1.938065906870179e-06,,,0.5939080046708898,0.27280252282311335,50000,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p50000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p50000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,garden_2_n100_s42_c0.0_p50000_random_farthestpose_i100_gteval_gtext_gtint_steps15000,0.3733,0.026869,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/garden_2_n100_s42_c0.0_p50000_random_farthestpose/eval_results.json,garden_2_n100_s42_c0.0_p50000_random_farthestpose,garden_2_n100_s42_c0.0_p50000_random_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,50000,vggt | random,48750.0
