method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_points_jitter
vggt,87,42,0.0,870,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,synthetic,31.903640747070312,0.048321064561605453,0.9695778489112854,968555,0,0,0.08337714523077011,0.019661802798509598,1.0344176828967742,0.07446188217829207,870,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p870_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p870_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p870_random_farthestpose_i87_gteval_gtext_gtint_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p870_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p870_random_farthestpose,lego_1_n87_s42_c0.0_p870_random_farthestpose_i87_gteval_gtext_gtint_steps15000_val_step14999.json,870,vggt | random,848.25
vggt,87,42,0.0,870,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,False,1.0,1.0,vggt,ship,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,synthetic,29.38414192199707,0.1351514607667923,0.8929300904273987,968555,0,0,0.1370130032300949,0.02591518871486187,0.8893380366686956,0.15450640053759718,870,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p870_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p870_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p870_random_farthestpose_i87_gteval_gtext_gtint_steps15000,0.4869,0.027807,87,4.301907,0.1056,0.0284,0.2389,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p870_random_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p870_random_farthestpose,ship_1_n87_s42_c0.0_p870_random_farthestpose_i87_gteval_gtext_gtint_steps15000_val_step14999.json,870,vggt | random,848.25
vggt,87,42,0.0,870,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,False,1.0,1.0,vggt,drums,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,synthetic,24.633785247802734,0.08881182223558426,0.9374544024467468,968555,0,0,0.07041595131158829,0.015909751877188683,0.8560107931388206,0.11411450000871273,870,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_c0.0_p870_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_c0.0_p870_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,drums_1_n87_s42_c0.0_p870_random_farthestpose_i87_gteval_gtext_gtint_steps15000,0.173,0.01002,87,3.881439,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n87_s42_c0.0_p870_random_farthestpose/eval_results.json,drums_1_n87_s42_c0.0_p870_random_farthestpose,drums_1_n87_s42_c0.0_p870_random_farthestpose_i87_gteval_gtext_gtint_steps15000_val_step14999.json,870,vggt | random,848.25
vggt,87,42,0.0,4350,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,synthetic,32.965110778808594,0.03510301932692528,0.978685200214386,1000000,0,0,0.07825867086648941,0.01848785951733589,1.067559758952835,0.06053471290110663,4350,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p4350_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p4350_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p4350_random_farthestpose_i87_gteval_gtext_gtint_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p4350_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p4350_random_farthestpose,lego_1_n87_s42_c0.0_p4350_random_farthestpose_i87_gteval_gtext_gtint_steps15000_val_step14999.json,4350,vggt | random,4241.25
vggt,87,42,0.0,4350,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,False,1.0,1.0,vggt,ship,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,synthetic,29.94475555419922,0.10832598805427551,0.899613618850708,1000000,0,0,0.13275635242462158,0.025219086557626724,0.9201872005255056,0.1420589630260622,4350,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p4350_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p4350_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p4350_random_farthestpose_i87_gteval_gtext_gtint_steps15000,0.4869,0.027807,87,4.301907,0.1056,0.0284,0.2389,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p4350_random_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p4350_random_farthestpose,ship_1_n87_s42_c0.0_p4350_random_farthestpose_i87_gteval_gtext_gtint_steps15000_val_step14999.json,4350,vggt | random,4241.25
vggt,87,42,0.0,4350,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,False,1.0,1.0,vggt,drums,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,synthetic,24.961044311523438,0.07677652686834335,0.9420332312583923,1000000,0,0,0.07131440192461014,0.016126081347465515,0.8721780185094508,0.10691006213967016,4350,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_c0.0_p4350_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_c0.0_p4350_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,drums_1_n87_s42_c0.0_p4350_random_farthestpose_i87_gteval_gtext_gtint_steps15000,0.173,0.01002,87,3.881439,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n87_s42_c0.0_p4350_random_farthestpose/eval_results.json,drums_1_n87_s42_c0.0_p4350_random_farthestpose,drums_1_n87_s42_c0.0_p4350_random_farthestpose_i87_gteval_gtext_gtint_steps15000_val_step14999.json,4350,vggt | random,4241.25
vggt,87,42,0.0,8700,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,synthetic,33.12651824951172,0.03340897709131241,0.9797794818878174,1000000,0,0,0.07687895745038986,0.018171897158026695,1.072234422074966,0.05869821419637003,8700,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p8700_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p8700_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p8700_random_farthestpose_i87_gteval_gtext_gtint_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p8700_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p8700_random_farthestpose,lego_1_n87_s42_c0.0_p8700_random_farthestpose_i87_gteval_gtext_gtint_steps15000_val_step14999.json,8700,vggt | random,8482.5
vggt,87,42,0.0,8700,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,False,1.0,1.0,vggt,ship,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,synthetic,29.939783096313477,0.1039947047829628,0.8986688852310181,1000000,0,0,0.13214273750782013,0.02512316219508648,0.9222162738200361,0.1411113841291592,8700,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p8700_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p8700_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p8700_random_farthestpose_i87_gteval_gtext_gtint_steps15000,0.4869,0.027807,87,4.301907,0.1056,0.0284,0.2389,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p8700_random_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p8700_random_farthestpose,ship_1_n87_s42_c0.0_p8700_random_farthestpose_i87_gteval_gtext_gtint_steps15000_val_step14999.json,8700,vggt | random,8482.5
vggt,87,42,0.0,8700,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,False,1.0,1.0,vggt,drums,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,synthetic,25.00409507751465,0.07478340715169907,0.942339301109314,1000000,0,0,0.07144299149513245,0.016152670606970787,0.8743845639463521,0.10602304238232103,8700,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_c0.0_p8700_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_c0.0_p8700_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,drums_1_n87_s42_c0.0_p8700_random_farthestpose_i87_gteval_gtext_gtint_steps15000,0.173,0.01002,87,3.881439,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n87_s42_c0.0_p8700_random_farthestpose/eval_results.json,drums_1_n87_s42_c0.0_p8700_random_farthestpose,drums_1_n87_s42_c0.0_p8700_random_farthestpose_i87_gteval_gtext_gtint_steps15000_val_step14999.json,8700,vggt | random,8482.5
vggt,87,42,0.0,43500,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,synthetic,33.272743225097656,0.03208961337804794,0.9807319045066833,1000000,0,0,0.0744442343711853,0.017599966377019882,1.0763136863301836,0.05712328629120739,43500,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p43500_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p43500_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p43500_random_farthestpose_i87_gteval_gtext_gtint_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p43500_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p43500_random_farthestpose,lego_1_n87_s42_c0.0_p43500_random_farthestpose_i87_gteval_gtext_gtint_steps15000_val_step14999.json,43500,vggt | random,42412.5
vggt,87,42,0.0,43500,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,False,1.0,1.0,vggt,ship,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,synthetic,29.911413192749023,0.09657686948776245,0.8959100842475891,1000000,0,0,0.1295730471611023,0.02460254728794098,0.9246564820031209,0.14007572169364663,43500,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p43500_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p43500_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p43500_random_farthestpose_i87_gteval_gtext_gtint_steps15000,0.4869,0.027807,87,4.301907,0.1056,0.0284,0.2389,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p43500_random_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p43500_random_farthestpose,ship_1_n87_s42_c0.0_p43500_random_farthestpose_i87_gteval_gtext_gtint_steps15000_val_step14999.json,43500,vggt | random,42412.5
