choice,dataset,num_points,sampling_mode,psnr,lpips,ssim,quality,avge
COLMAP,lego,10313,,33.116729736328125,0.033978622406721115,0.9795733690261841,1.0715809865643484,0.059129427789242434
VGGT,lego,870,random,31.903640747070312,0.048321064561605453,0.9695778489112854,1.0344176828967742,0.07446188217829207
VGGT,lego,4350,random,32.965110778808594,0.03510301932692528,0.978685200214386,1.067559758952835,0.06053471290110663
VGGT,lego,8700,random,33.12651824951172,0.03340897709131241,0.9797794818878174,1.072234422074966,0.05869821419637003
VGGT,lego,43500,random,33.272743225097656,0.03208961337804794,0.9807319045066833,1.0763136863301836,0.05712328629120739
VGGT,lego,87000,random,33.3016471862793,0.031935568898916245,0.980751633644104,1.076955571562497,0.0570472028524651
VGGT,lego,435000,random,33.25148010253906,0.03145164996385574,0.9800426959991455,1.0759106834671417,0.057731654144095285
VGGT,lego,870000,random,33.19268798828125,0.031011605635285378,0.9796987771987915,1.074892450806632,0.057991133955815906
COLMAP,ship,5146,,29.063879013061523,0.11321047693490982,0.8914411664009094,0.8960803434339879,0.1479778988143626
VGGT,ship,870,random,29.38414192199707,0.1351514607667923,0.8929300904273987,0.8893380366686956,0.15450640053759718
VGGT,ship,4350,random,29.94475555419922,0.10832598805427551,0.899613618850708,0.9201872005255056,0.1420589630260622
VGGT,ship,8700,random,29.939783096313477,0.1039947047829628,0.8986688852310181,0.9222162738200361,0.1411113841291592
VGGT,ship,43500,random,29.911413192749023,0.09657686948776245,0.8959100842475891,0.9246564820031209,0.14007572169364663
VGGT,ship,87000,random,29.873943328857422,0.09419579058885574,0.8938523530960083,0.9242290458735744,0.14034277383578098
VGGT,ship,435000,random,29.73029899597168,0.08928075432777405,0.8889577984809875,0.9217406259952542,0.1411915923333528
VGGT,ship,870000,random,29.6955623626709,0.0873001366853714,0.8873028755187988,0.921352167285209,0.1413588917573583
COLMAP,drums,3866,,24.16399574279785,0.08432012051343918,0.9295817017555237,0.8454797243417432,0.1178393757729424
VGGT,drums,870,random,24.633785247802734,0.08881182223558426,0.9374544024467468,0.8560107931388206,0.11411450000871273
VGGT,drums,4350,random,24.961044311523438,0.07677652686834335,0.9420332312583923,0.8721780185094508,0.10691006213967016
VGGT,drums,8700,random,25.00409507751465,0.07478340715169907,0.942339301109314,0.8743845639463521,0.10602304238232103
VGGT,drums,43500,random,25.053571701049805,0.07140715420246124,0.9422001838684082,0.8773035493626695,0.10498219563351376
VGGT,drums,87000,random,25.028247833251953,0.07046022266149521,0.9415132403373718,0.8770173931272872,0.10514745284150662
VGGT,drums,435000,random,24.978498458862305,0.06765804439783096,0.9403981566429138,0.8771737523575429,0.10499030155568537
VGGT,drums,870000,random,24.971820831298828,0.06734982877969742,0.9401167631149292,0.8770757915235479,0.10508106935575356
