choice,dataset,num_points,sampling_mode,rre,rte,psnr,lpips,ssim,quality
COLMAP,bicycle,17352,,0.0986,0.006893,21.33245086669922,0.36376556754112244,0.4795043170452118,0.3573433696410345
VGGT,bicycle,1000,confidence,0.857,0.067143,18.248929977416992,0.6796619892120361,0.3301962912082672,0.017928704803372643
VGGT,bicycle,1000,imagefps,0.7161,0.065623,18.239673614501953,0.6945605278015137,0.3313649594783783,0.009244093653286637
VGGT,bicycle,1000,random,0.857,0.067143,18.250102996826172,0.6826565265655518,0.3305303752422333,0.016297318317272175
VGGT,bicycle,1000,voxels,0.7161,0.065623,18.17292022705078,0.6976091861724854,0.33221903443336487,0.006625490966286321
VGGT,bicycle,5000,confidence,0.857,0.067143,17.83434295654297,0.5569833517074585,0.30621522665023804,0.07195470703353046
VGGT,bicycle,5000,imagefps,0.7161,0.065623,17.939878463745117,0.5742349624633789,0.30846455693244934,0.06457532366194307
VGGT,bicycle,5000,random,0.857,0.067143,17.85049819946289,0.5575035810470581,0.30527377128601074,0.07138219028420847
VGGT,bicycle,5000,voxels,0.7161,0.065623,17.95667839050293,0.5852620005607605,0.31117650866508484,0.059665556462110136
VGGT,bicycle,10000,confidence,0.857,0.067143,17.82270050048828,0.520179033279419,0.2980472445487976,0.08968122335437681
VGGT,bicycle,10000,imagefps,0.7161,0.065623,17.84850311279297,0.536382794380188,0.30037569999694824,0.08151839769374558
VGGT,bicycle,10000,random,0.857,0.067143,17.79636001586914,0.5176759958267212,0.29754316806793213,0.0904437398817572
VGGT,bicycle,10000,voxels,0.7161,0.065623,17.848243713378906,0.548616349697113,0.3017392158508301,0.07475939433709458
VGGT,bicycle,23814,ba,0.5899,0.03799,17.808753967285156,0.5057863593101501,0.30061763525009155,0.09981047332557946
VGGT,bicycle,50000,confidence,0.857,0.067143,17.645341873168945,0.48337990045547485,0.2811870276927948,0.09925254247961612
VGGT,bicycle,50000,imagefps,0.7161,0.065623,17.63716697692871,0.4633345603942871,0.276795357465744,0.10890659401368755
VGGT,bicycle,50000,random,0.857,0.067143,17.59831428527832,0.44869765639305115,0.27449196577072144,0.1158752129634067
VGGT,bicycle,50000,voxels,0.7161,0.065623,17.71558952331543,0.49058446288108826,0.2859232723712921,0.09887589786330009
VGGT,bicycle,100000,confidence,0.857,0.067143,17.63112449645996,0.47884395718574524,0.2726677358150482,0.09680718067329071
VGGT,bicycle,100000,imagefps,0.7161,0.065623,17.572731018066406,0.43997159600257874,0.26474905014038086,0.11509029430720315
VGGT,bicycle,100000,random,0.7161,0.065623,17.17383575439453,0.44064733386039734,0.25722789764404297,0.10288788805231015
VGGT,bicycle,100000,voxels,0.7161,0.065623,17.701284408569336,0.4775100648403168,0.27940016984939575,0.10286692456814901
VGGT,bicycle,500000,confidence,0.857,0.067143,17.478744506835938,0.48836278915405273,0.2627239525318146,0.08229442886751615
VGGT,bicycle,500000,imagefps,0.7161,0.065623,17.416305541992188,0.4346194267272949,0.24428988993167877,0.10353291325169467
VGGT,bicycle,500000,random,0.857,0.067143,17.479581832885742,0.40770307183265686,0.24472229182720184,0.12157259690753822
VGGT,bicycle,500000,voxels,0.7161,0.065623,17.65646743774414,0.4586644172668457,0.2626705467700958,0.1038866911405399
VGGT,bicycle,1000000,confidence,0.857,0.067143,17.415529251098633,0.49945589900016785,0.264018177986145,0.07503303430388708
VGGT,bicycle,1000000,imagefps,0.7161,0.065623,17.42530059814453,0.45269572734832764,0.24213017523288727,0.09127828705380539
VGGT,bicycle,1000000,random,0.857,0.067143,17.43742561340332,0.4110182821750641,0.23839884996414185,0.11504758082093014
VGGT,bicycle,1000000,voxels,0.7161,0.065623,17.626007080078125,0.4595857858657837,0.255382776260376,0.09849201029504251
COLMAP,garden,70656,,0.0628,0.002621,21.593313217163086,0.27146899700164795,0.4668513238430023,0.41174793437055524
VGGT,garden,1000,confidence,0.3733,0.026869,19.119855880737305,0.6995779275894165,0.39822810888290405,0.06154786184904563
VGGT,garden,1000,imagefps,0.3733,0.026869,19.148347854614258,0.6969513297080994,0.39829525351524353,0.0637361135786428
VGGT,garden,1000,random,0.3733,0.026869,19.148113250732422,0.6952097415924072,0.39783164858818054,0.06453570946228056
VGGT,garden,1000,voxels,0.3733,0.026869,19.14467430114746,0.6979984045028687,0.39822304248809814,0.06297951367398694
VGGT,garden,5000,confidence,0.3733,0.026869,18.9310302734375,0.588935136795044,0.3803024888038635,0.11586629159269282
VGGT,garden,5000,imagefps,0.3733,0.026869,18.930255889892578,0.586919903755188,0.3810514807701111,0.1175339291667381
VGGT,garden,5000,random,0.3733,0.026869,18.920791625976562,0.5836509466171265,0.3806995749473572,0.11917074691792298
VGGT,garden,5000,voxels,0.3733,0.026869,18.929426193237305,0.5895435214042664,0.38158726692199707,0.11621237258155137
VGGT,garden,10000,confidence,0.3733,0.026869,18.900447845458984,0.5618516206741333,0.37539228796958923,0.1291467076853702
VGGT,garden,10000,imagefps,0.3733,0.026869,18.863365173339844,0.5572059154510498,0.3764967918395996,0.13197361950443656
VGGT,garden,10000,random,0.3733,0.026869,18.84283447265625,0.5539188981056213,0.3751271665096283,0.13282149391099962
VGGT,garden,10000,voxels,0.3733,0.026869,18.880634307861328,0.5599662065505981,0.3768087327480316,0.1307719564809669
VGGT,garden,21147,ba,0.3292,0.014488,18.608190536499023,0.4627842605113983,0.3600336015224457,0.17590553877491547
VGGT,garden,50000,confidence,0.3733,0.026869,18.806325912475586,0.5237365961074829,0.36581891775131226,0.14533303975284373
VGGT,garden,50000,imagefps,0.3733,0.026869,18.42621612548828,0.5167618989944458,0.3638206422328949,0.14143075603723065
VGGT,garden,50000,random,0.3733,0.026869,18.701072692871094,0.5007842183113098,0.3636414706707001,0.1562786796326913
VGGT,garden,50000,voxels,0.3733,0.026869,18.393484115600586,0.5216222405433655,0.36591213941574097,0.13904749464105684
VGGT,garden,100000,confidence,0.3733,0.026869,18.731151580810547,0.5131998062133789,0.36053428053855896,0.14735468267387503
VGGT,garden,100000,imagefps,0.3733,0.026869,18.49895668029785,0.48876917362213135,0.3583969473838806,0.15688551208119333
VGGT,garden,100000,random,0.3733,0.026869,18.581771850585938,0.4816316068172455,0.357485294342041,0.16229190134707794
VGGT,garden,100000,voxels,0.3733,0.026869,18.371824264526367,0.5091984272003174,0.3620922267436981,0.14408153981028482
VGGT,garden,500000,confidence,0.3733,0.026869,18.604413986206055,0.4967137277126312,0.3518092632293701,0.15008193254470828
VGGT,garden,500000,imagefps,0.3733,0.026869,18.419315338134766,0.46441078186035156,0.3473992347717285,0.16401530582460205
VGGT,garden,500000,random,0.3733,0.026869,18.394943237304688,0.4397044777870178,0.34378689527511597,0.17670229636979928
VGGT,garden,500000,voxels,0.3733,0.026869,18.463512420654297,0.4926074743270874,0.35478338599205017,0.15174662168340453
VGGT,garden,1000000,confidence,0.3733,0.026869,18.53057098388672,0.5021331310272217,0.3503827750682831,0.14453495524780097
VGGT,garden,1000000,imagefps,0.3733,0.026869,18.4139404296875,0.46265119314193726,0.34536585211753845,0.16381282369528133
VGGT,garden,1000000,random,0.3733,0.026869,18.41216468811035,0.43215084075927734,0.341250479221344,0.18020066678950045
VGGT,garden,1000000,voxels,0.3733,0.026869,18.393796920776367,0.4902939796447754,0.3517160415649414,0.15008990837429315
COLMAP,stump,19683,,0.0219,0.002013,25.253517150878906,0.34493592381477356,0.7209020853042603,0.5827472306366783
VGGT,stump,1000,confidence,0.8558,0.162829,19.30663299560547,0.7521436810493469,0.4832588732242584,0.08228429452872572
VGGT,stump,1000,imagefps,0.8558,0.162829,19.285568237304688,0.746749758720398,0.48169636726379395,0.0843100419208708
VGGT,stump,1000,random,0.8558,0.162829,19.35417938232422,0.7526564002037048,0.48264211416244507,0.08248761205258037
VGGT,stump,1000,voxels,0.8558,0.162829,19.386688232421875,0.7711299657821655,0.486320823431015,0.07383748422279393
VGGT,stump,5000,confidence,0.8558,0.162829,19.033166885375977,0.6334003210067749,0.45673853158950806,0.13500950598267472
VGGT,stump,5000,imagefps,0.8558,0.162829,18.985061645507812,0.6274547576904297,0.4556766450405121,0.13716778273393465
VGGT,stump,5000,random,0.8558,0.162829,18.991783142089844,0.6273719072341919,0.4550851583480835,0.13699749849925502
VGGT,stump,5000,voxels,0.8558,0.162829,19.077674865722656,0.6356606483459473,0.45812076330184937,0.13524678669013013
VGGT,stump,10000,confidence,0.8558,0.162829,18.72205352783203,0.6080173254013062,0.4445118308067322,0.13776654589865567
VGGT,stump,10000,imagefps,0.8558,0.162829,18.862329483032227,0.6015456914901733,0.44561198353767395,0.14500244869048765
VGGT,stump,10000,random,0.8558,0.162829,18.88530731201172,0.5942234396934509,0.44379615783691406,0.14888598618374163
VGGT,stump,10000,voxels,0.8558,0.162829,18.97116470336914,0.6065915822982788,0.44898882508277893,0.14587792945884126
VGGT,stump,21431,ba,0.695,0.043247,19.07137107849121,0.5528304576873779,0.43802934885025024,0.17451043203327857
VGGT,stump,50000,confidence,0.8558,0.162829,18.731998443603516,0.5610343217849731,0.42118361592292786,0.15331033416348988
VGGT,stump,50000,imagefps,0.8558,0.162829,18.705453872680664,0.5519928932189941,0.4245028495788574,0.16034096909312948
VGGT,stump,50000,random,0.8558,0.162829,18.667102813720703,0.5469796657562256,0.4214898347854614,0.16096335219593316
VGGT,stump,50000,voxels,0.8558,0.162829,18.759132385253906,0.5601733922958374,0.43057024478912354,0.15983350916757771
VGGT,stump,100000,confidence,0.8558,0.162829,18.674068450927734,0.5564473867416382,0.41202977299690247,0.14971587338797687
VGGT,stump,100000,imagefps,0.8558,0.162829,18.571094512939453,0.5409163236618042,0.415998637676239,0.15971699808231027
VGGT,stump,100000,random,0.8558,0.162829,18.643842697143555,0.5296376943588257,0.4123508930206299,0.16589311952324493
VGGT,stump,100000,voxels,0.8558,0.162829,18.70649528503418,0.5455853343009949,0.4238132834434509,0.1639122827398537
VGGT,stump,500000,confidence,0.8558,0.162829,18.56013298034668,0.5542895793914795,0.3987616300582886,0.14117878919456434
VGGT,stump,500000,imagefps,0.8558,0.162829,18.436391830444336,0.5342749357223511,0.4036845564842224,0.15412090907552325
VGGT,stump,500000,random,0.8558,0.162829,18.591777801513672,0.5136299729347229,0.3991163372993469,0.16707075804065313
VGGT,stump,500000,voxels,0.8558,0.162829,18.596797943115234,0.5301169753074646,0.4073759913444519,0.16181676871130574
VGGT,stump,1000000,confidence,0.8558,0.162829,18.561182022094727,0.5619053840637207,0.39897996187210083,0.1366247813216737
