choice,dataset,num_points,sampling_mode,rre,rte,psnr,lpips,ssim,quality
COLMAP,bonsai,66763,SfM,0.0595,0.002889,27.826139450073242,0.13981762528419495,0.8659626841545105,0.8418353775478633
VGGT,bonsai,1000,confidence,0.7308,0.098078,18.876129150390625,0.5203519463539124,0.6276289224624634,0.30182024819111963
VGGT,bonsai,1000,imagefps,0.7308,0.098078,18.935312271118164,0.5219901204109192,0.6271079182624817,0.30160033253588564
VGGT,bonsai,1000,random,0.7308,0.098078,18.893980026245117,0.5161561369895935,0.6270450949668884,0.30439940615859107
VGGT,bonsai,1000,voxels,0.7308,0.098078,18.921648025512695,0.5306356549263,0.6288805603981018,0.29704717407759473
VGGT,bonsai,5000,confidence,0.7308,0.098078,18.782283782958984,0.4409349858760834,0.6141523718833923,0.34122416239577974
VGGT,bonsai,5000,imagefps,0.7308,0.098078,18.773334503173828,0.4516836702823639,0.6151878237724304,0.3350289720385938
VGGT,bonsai,5000,random,0.7308,0.098078,18.781780242919922,0.44203418493270874,0.614663302898407,0.340835109711313
VGGT,bonsai,5000,voxels,0.7308,0.098078,18.771345138549805,0.45035240054130554,0.6150991916656494,0.335762071756669
VGGT,bonsai,10000,confidence,0.7308,0.098078,18.746261596679688,0.4177006185054779,0.6098120808601379,0.3523611050677656
VGGT,bonsai,10000,imagefps,0.7308,0.098078,18.74159812927246,0.4294964671134949,0.6105761528015137,0.3454401822272953
VGGT,bonsai,10000,random,0.7308,0.098078,18.74721908569336,0.42076340317726135,0.6099975109100342,0.3505966671493783
VGGT,bonsai,10000,voxels,0.7308,0.098078,18.747312545776367,0.4305923283100128,0.6109285354614258,0.34507561895737326
VGGT,bonsai,23313,ba,0.4978,0.026013,19.836795806884766,0.31888073682785034,0.6203422546386719,0.43971410635774055
VGGT,bonsai,50000,confidence,0.7308,0.098078,18.65011215209961,0.38171955943107605,0.5984364151954651,0.36613865402939255
VGGT,bonsai,50000,imagefps,0.7308,0.098078,18.615671157836914,0.3981151282787323,0.5980117917060852,0.35513181849839703
VGGT,bonsai,50000,random,0.7308,0.098078,18.67145347595215,0.3810364007949829,0.5987895131111145,0.3671620566013032
VGGT,bonsai,50000,voxels,0.7308,0.098078,18.660747528076172,0.39734700322151184,0.601768434047699,0.3586375842317504
VGGT,bonsai,100000,confidence,0.7308,0.098078,18.66271209716797,0.37440311908721924,0.5955115556716919,0.3691778633794357
VGGT,bonsai,100000,imagefps,0.7308,0.098078,18.59635353088379,0.3913305103778839,0.5943297743797302,0.3568088939005559
VGGT,bonsai,100000,random,0.7308,0.098078,18.664011001586914,0.373970091342926,0.595427930355072,0.3694203145477662
VGGT,bonsai,100000,voxels,0.7308,0.098078,18.647470474243164,0.387416809797287,0.5992074012756348,0.3630237819081084
VGGT,bonsai,500000,confidence,0.7308,0.098078,18.674161911010742,0.3715610206127167,0.5911532044410706,0.3685955353337809
