method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_points_jitter
vggt,100,42,,23814,ba,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,radial,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,gsplat,17.808753967285156,0.5057863593101501,0.30061763525009155,1000000,0.008761336095631123,0.5899117588996887,,,0.09981047332557946,0.45287988253611067,23814,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mradial_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mradial_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mradial_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam_i100_gteval_steps15000,0.5899,0.03799,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_mradial_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam/eval_results.json,bicycle_4_n100_s42_mradial_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam,bicycle_4_n100_s42_mradial_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam_i100_gteval_steps15000_val_step14999.json,23814,vggt | ba,20837.25
vggt,100,42,0.0,1000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,18.248929977416992,0.6796619892120361,0.3301962912082672,1000000,0.015081527642905712,0.7160590291023254,,,0.017928704803372643,0.5043477990480585,1000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,1000,vggt | confidence,925.0
vggt,100,42,0.0,5000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.83434295654297,0.5569833517074585,0.30621522665023804,1000000,0.015081527642905712,0.7160590887069702,,,0.07195470703353046,0.4687953129428075,5000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p5000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p5000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p5000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p5000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p5000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p5000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,5000,vggt | confidence,4625.0
vggt,100,42,0.0,10000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.82270050048828,0.520179033279419,0.2980472445487976,1000000,0.015081527642905712,0.7160583734512329,,,0.08968122335437681,0.4581715302398622,10000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,10000,vggt | confidence,9250.0
vggt,100,42,0.0,20000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.686187744140625,0.5012032985687256,0.28853654861450195,1000000,0.015081527642905712,0.7160581946372986,,,0.09330481534812884,0.4539075869191782,20000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p20000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p20000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p20000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p20000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p20000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p20000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,20000,vggt | confidence,18500.0
vggt,100,42,0.0,30000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.685256958007812,0.4898262917995453,0.28608405590057373,1000000,0.015081527642905712,0.7160582542419434,,,0.09887621598711567,0.45060064805578337,30000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p30000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p30000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p30000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p30000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p30000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p30000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,30000,vggt | confidence,27750.0
vggt,100,42,0.0,50000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.645341873168945,0.48337990045547485,0.2811870276927948,1000000,0.015081527642905712,0.7160581946372986,,,0.09925254247961612,0.4494686020524449,50000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,50000,vggt | confidence,46250.0
vggt,100,42,0.0,75000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.61536979675293,0.4818606376647949,0.2755573093891144,1000000,0.015081527642905712,0.7160580158233643,,,0.09634308763879554,0.4501064151526313,75000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p75000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p75000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p75000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p75000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p75000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p75000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,75000,vggt | confidence,69375.0
vggt,100,42,0.0,100000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.63112449645996,0.47884395718574524,0.2726677358150482,1000000,0.015081527642905712,0.7160580158233643,,,0.09680718067329071,0.4496452131258174,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,100000,vggt | confidence,92500.0
vggt,100,42,0.0,250000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.560136795043945,0.48522788286209106,0.2649173438549042,1000000,0.015081527642905712,0.7160580158233643,,,0.08701950578894069,0.45337858336989545,250000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p250000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p250000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p250000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p250000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p250000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p250000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,250000,vggt | confidence,231250.0
vggt,100,42,0.0,500000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.478744506835938,0.48836278915405273,0.2627239525318146,1000000,0.015081527642905712,0.7160580158233643,,,0.08229442886751615,0.4549602106435314,500000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p500000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p500000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,500000,vggt | confidence,462500.0
vggt,100,42,0.0,1000000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.415529251098633,0.49945589900016785,0.264018177986145,1000000,0.015081527642905712,0.7160581946372986,,,0.07503303430388708,0.4584939283574723,1000000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p1000000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p1000000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p1000000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,1000000,vggt | confidence,925000.0
