method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,shared_camera,keep_backup_cams,random_init,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,raw_metrics,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_points_jitter
vggt,100,43,,23165,ba,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,,,gsplat,22.69464874267578,0.40860435366630554,0.5787424445152283,1000000,0.0,0.0,"{'psnr': [19.790699005126953, 18.37045669555664, 18.69532585144043, 19.60148048400879, 20.379758834838867, 21.658639907836914, 22.263782501220703, 22.506912231445312, 23.736225128173828, 23.26759910583496, 21.890926361083984, 22.834569931030273, 23.327415466308594, 23.81393051147461, 24.66773223876953, 24.222332000732422, 24.341712951660156, 22.507320404052734, 25.08531379699707, 25.051034927368164, 24.94890594482422, 24.916444778442383, 23.73213005065918, 23.204856872558594, 22.550729751586914], 'ssim': [0.4865318238735199, 0.42038077116012573, 0.42123427987098694, 0.5128315687179565, 0.5659089684486389, 0.5830131769180298, 0.5608913898468018, 0.5664700269699097, 0.5643441081047058, 0.6031133532524109, 0.5839693546295166, 0.6054401993751526, 0.6027064919471741, 0.6103001236915588, 0.6136182546615601, 0.6472811102867126, 0.640505313873291, 0.5512551665306091, 0.6469372510910034, 0.6416226625442505, 0.6654177308082581, 0.6323046684265137, 0.608684241771698, 0.5762640237808228, 0.5575349926948547], 'lpips': [0.440788596868515, 0.4355800747871399, 0.5133276581764221, 0.3886050879955292, 0.3950097858905792, 0.4241371154785156, 0.3703663945198059, 0.3660469353199005, 0.45658499002456665, 0.36523813009262085, 0.3380057215690613, 0.4216540455818176, 0.37965506315231323, 0.3850412368774414, 0.47302138805389404, 0.3495941758155823, 0.42084890604019165, 0.345086008310318, 0.38420194387435913, 0.4875684976577759, 0.34614676237106323, 0.4526645541191101, 0.40445753931999207, 0.38767749071121216, 0.48379987478256226], 'depth_factor': [4071.99560546875, 93.60700988769531, 265.0569763183594, 2293.021728515625, 115.28010559082031, 19.897035598754883, 182.86849975585938, 23.513877868652344, 77.65821838378906, 89.6977310180664, 140.7745361328125, 26.753435134887695, 10.996352195739746, 17.127870559692383, 55.488311767578125, 22.561227798461914, 14.37458324432373, 12.854449272155762, 28.170305252075195, 48.26457977294922, 9.020509719848633, 20.162263870239258, 56.51667404174805, 15.29777717590332, 16.73716163635254], 'eval_rre': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'eval_rte': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.41292498586548076,23165,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_mpinhole_ba_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_mpinhole_ba_farthestpose_i100_gteval_gtext_gtint_steps15000,0.8191,0.084697,100,vggt | ba,20848.5
vggt,100,42,,23316,ba,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,,,gsplat,22.77233123779297,0.40349388122558594,0.58380526304245,1000000,0.0,0.0,"{'psnr': [20.377925872802734, 18.190309524536133, 18.572811126708984, 19.188037872314453, 20.0526180267334, 21.661495208740234, 22.01182746887207, 22.502845764160156, 23.736324310302734, 23.345355987548828, 21.83142852783203, 23.04901123046875, 23.38651466369629, 23.77751350402832, 24.779329299926758, 24.372900009155273, 24.305557250976562, 23.1209659576416, 25.29206085205078, 25.155757904052734, 25.116575241088867, 24.853313446044922, 24.27174186706543, 23.24671745300293, 23.10932159423828], 'ssim': [0.491559237241745, 0.4157865345478058, 0.423534095287323, 0.5115287899971008, 0.5623855590820312, 0.5863199830055237, 0.5491337776184082, 0.5673416256904602, 0.5664654970169067, 0.6151131987571716, 0.5875545740127563, 0.6032823324203491, 0.6080293655395508, 0.6129133701324463, 0.6252992153167725, 0.6577441692352295, 0.6365814208984375, 0.5796962976455688, 0.6563763618469238, 0.6562424898147583, 0.6771718859672546, 0.6265897154808044, 0.6208390593528748, 0.5883614420890808, 0.5692816376686096], 'lpips': [0.4288429021835327, 0.4511466324329376, 0.5054252743721008, 0.3841188848018646, 0.4043360948562622, 0.42097973823547363, 0.37672656774520874, 0.3711879849433899, 0.4407040774822235, 0.35322344303131104, 0.33954644203186035, 0.4212520122528076, 0.3801277279853821, 0.38968244194984436, 0.4443141222000122, 0.3396042585372925, 0.43050289154052734, 0.3275367021560669, 0.38794705271720886, 0.4552966356277466, 0.32494238018989563, 0.4640619158744812, 0.3968031704425812, 0.3687905967235565, 0.48024672269821167], 'depth_factor': [101.39888000488281, 87.85708618164062, 99.76490783691406, 39.04754638671875, 27.937265396118164, 12.051834106445312, 43.8585090637207, 20.87696647644043, 75.64153289794922, 138.766357421875, 15.73963451385498, 27.2533016204834, 29.856605529785156, 18.169870376586914, 16.32607650756836, 5.4286041259765625, 11.297771453857422, 7.934549331665039, 5.208970069885254, 8.788290023803711, 5.85052490234375, 6.350535869598389, 5.050206184387207, 5.120686054229736, 2.6086068153381348], 'eval_rre': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'eval_rte': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.42047887579661986,23316,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mpinhole_ba_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mpinhole_ba_farthestpose_i100_gteval_gtext_gtint_steps15000,0.822,0.083952,100,vggt | ba,20984.4
vggt,100,44,,23316,ba,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,,,gsplat,22.74730682373047,0.4061562716960907,0.5818808674812317,1000000,0.0,0.0,"{'psnr': [20.287857055664062, 18.14784049987793, 18.62938117980957, 19.435808181762695, 20.05405044555664, 21.331748962402344, 22.09185028076172, 22.588075637817383, 23.650541305541992, 23.27507781982422, 21.655046463012695, 23.043672561645508, 23.46059226989746, 23.862401962280273, 24.75482749938965, 24.241491317749023, 24.248577117919922, 23.150876998901367, 25.290197372436523, 25.194517135620117, 25.089540481567383, 24.81328010559082, 24.172121047973633, 23.186344146728516, 23.02696418762207], 'ssim': [0.48632577061653137, 0.41740962862968445, 0.4241366982460022, 0.5128219723701477, 0.5564820766448975, 0.5817734599113464, 0.5515424609184265, 0.5716684460639954, 0.5629942417144775, 0.6104869842529297, 0.585341215133667, 0.5999777317047119, 0.6128625869750977, 0.6183042526245117, 0.6229360699653625, 0.653886079788208, 0.6338151693344116, 0.5796132683753967, 0.6543496251106262, 0.6508510112762451, 0.6701738238334656, 0.6223053932189941, 0.6201642155647278, 0.5809995532035828, 0.5657998323440552], 'lpips': [0.43803882598876953, 0.4400225281715393, 0.5119297504425049, 0.384356826543808, 0.4085925817489624, 0.4262431263923645, 0.37392890453338623, 0.36113619804382324, 0.4456583261489868, 0.3573889434337616, 0.3374711871147156, 0.4267893433570862, 0.3728230595588684, 0.3889036774635315, 0.45227253437042236, 0.34219127893447876, 0.4327711760997772, 0.3231518268585205, 0.3917001485824585, 0.4651118814945221, 0.33170086145401, 0.4720745384693146, 0.4024777412414551, 0.3779798746109009, 0.4891917407512665], 'depth_factor': [12.107725143432617, 58.65217971801758, 76.27897644042969, 93.83406829833984, 28.12614631652832, 12.368522644042969, 30.572467803955078, 71.44670867919922, 70.47723388671875, 1992.791259765625, 52.753631591796875, 27.306215286254883, 93.70318603515625, 49.121490478515625, 23.201608657836914, 12.112957000732422, 19.641904830932617, 385.8504333496094, 244.7263946533203, 12.141376495361328, 8.15938663482666, 6.357995510101318, 190.67111206054688, 8.491620063781738, 44.08808135986328], 'eval_rre': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'eval_rte': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.4172466322924891,23316,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s44_mpinhole_ba_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_mpinhole_ba_farthestpose_i100_gteval_gtext_gtint_steps15000,0.822,0.083952,100,vggt | ba,20984.4
vggt,100,42,0.0,1000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,21.560304641723633,0.5726260542869568,0.48618635535240173,1000000,0.0,0.0,,0.23654428234806774,1000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,950.0
vggt,100,43,0.0,1000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,21.656904220581055,0.5783820748329163,0.4829469919204712,1000000,0.0,0.0,,0.2328856997554995,1000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p1000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p1000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.8604,0.06754,100,vggt | confidence,950.0
vggt,100,44,0.0,1000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,21.7788028717041,0.5744079947471619,0.4867684543132782,1000000,0.0,0.0,,0.23983099136823496,1000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s44_c0.0_p1000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_c0.0_p1000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,950.0
vggt,100,42,0.0,5000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.662302017211914,0.41931387782096863,0.5746358633041382,1000000,0.0,0.0,,0.4033136455713735,5000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p5000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p5000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,4750.0
vggt,100,43,0.0,5000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.58964729309082,0.4252448081970215,0.5702084302902222,1000000,0.0,0.0,,0.39571797747051196,5000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p5000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p5000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.8604,0.06754,100,vggt | confidence,4750.0
vggt,100,44,0.0,5000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.6724853515625,0.4203546941280365,0.5745927095413208,1000000,0.0,0.0,,0.40283451051662456,5000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s44_c0.0_p5000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_c0.0_p5000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,4750.0
vggt,100,42,0.0,10000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.80124855041504,0.3771035671234131,0.5984290242195129,1000000,0.0,0.0,,0.4458566060540271,10000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,9500.0
vggt,100,43,0.0,10000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.791704177856445,0.3766746520996094,0.5975120663642883,1000000,0.0,0.0,,0.44540838811055183,10000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p10000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p10000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.8604,0.06754,100,vggt | confidence,9500.0
