method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,inference_time,peak_memory_mb,peak_memory_reserved_mb,processing_time,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_points_jitter
vggt,100,42,,23220,ba,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,radial,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,gsplat,,indoor,26.778026580810547,0.21374230086803436,0.8574769496917725,1000000,0,0,,,0.7718309463619644,0.19778814870917608,23220,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_mradial_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam_i100_gteval_gtext_gtint_steps15000,0.5792,0.034349,100,8.473125,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n100_s42_mradial_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam,bonsai_2_n100_s42_mradial_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam_i100_gteval_gtext_gtint_steps15000_val_step14999.json,23220,vggt | ba,20317.5
vggt,100,42,0.0,1000,confidence,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,24.657079696655273,0.3457357585430145,0.7960964441299438,1000000,0,0,,,0.6151816767093963,0.26690488895100795,1000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.7897,0.107121,100,7.792566,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p1000_confidence_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p1000_confidence_farthestpose,bonsai_2_n100_s42_c0.0_p1000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,1000,vggt | confidence,925.0
vggt,100,42,0.0,5000,confidence,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,25.92361831665039,0.2563040256500244,0.8382114171981812,1000000,0,0,,,0.7184695082101209,0.22036333194129057,5000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p5000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p5000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p5000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.7897,0.107121,100,7.792566,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p5000_confidence_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p5000_confidence_farthestpose,bonsai_2_n100_s42_c0.0_p5000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,5000,vggt | confidence,4625.0
vggt,100,42,0.0,10000,confidence,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,26.208702087402344,0.23617228865623474,0.8455073237419128,1000000,0,0,,,0.7404424474563127,0.2105406278684611,10000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.7897,0.107121,100,7.792566,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p10000_confidence_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p10000_confidence_farthestpose,bonsai_2_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,10000,vggt | confidence,9250.0
vggt,100,42,0.0,50000,confidence,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,26.259605407714844,0.2173285186290741,0.8426769971847534,1000000,0,0,,,0.7513618966137301,0.20544476392724997,50000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.7897,0.107121,100,7.792566,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p50000_confidence_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p50000_confidence_farthestpose,bonsai_2_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,50000,vggt | confidence,46250.0
vggt,100,42,0.0,100000,confidence,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,26.00676155090332,0.21237458288669586,0.8379637002944946,1000000,0,0,,,0.7469812740243201,0.20580662956308182,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.7897,0.107121,100,7.792566,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_confidence_farthestpose,bonsai_2_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,100000,vggt | confidence,92500.0
vggt,100,42,0.0,500000,confidence,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,24.966115951538086,0.23043519258499146,0.8137606978416443,1000000,0,0,,,0.7024077321121334,0.22172558576558124,500000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.7897,0.107121,100,7.792566,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p500000_confidence_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p500000_confidence_farthestpose,bonsai_2_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,500000,vggt | confidence,462500.0
vggt,100,42,0.0,1000000,confidence,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,24.227252960205078,0.24572362005710602,0.8013780117034912,1000000,0,0,,,0.6720464462928757,0.2317239998523041,1000000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p1000000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p1000000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p1000000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.7897,0.107121,100,7.792566,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p1000000_confidence_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p1000000_confidence_farthestpose,bonsai_2_n100_s42_c0.0_p1000000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,1000000,vggt | confidence,925000.0
vggt,100,42,0.0,1000,imagefps,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,24.861467361450195,0.35281914472579956,0.7930788993835449,1000000,0,0,,,0.6128295268076747,0.2703232434359959,1000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p1000_imagefps_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p1000_imagefps_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p1000_imagefps_farthestpose_i100_gteval_gtext_gtint_steps15000,0.7215,0.105749,100,7.778965,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p1000_imagefps_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p1000_imagefps_farthestpose,bonsai_2_n100_s42_c0.0_p1000_imagefps_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,1000,vggt | imagefps,975.0
vggt,100,42,0.0,5000,imagefps,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,25.907018661499023,0.2639005482196808,0.8318648934364319,1000000,0,0,,,0.7097614783215167,0.2255032013237467,5000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p5000_imagefps_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p5000_imagefps_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p5000_imagefps_farthestpose_i100_gteval_gtext_gtint_steps15000,0.7215,0.105749,100,7.778965,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p5000_imagefps_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p5000_imagefps_farthestpose,bonsai_2_n100_s42_c0.0_p5000_imagefps_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,5000,vggt | imagefps,4875.0
