choice,dataset_collection,num_points,sampling_mode,psnr,lpips,ssim,quality,avge
COLMAP,indoor,80892,,28.943090438842773,0.1583382934331894,0.9078155755996704,0.8755625190287151,0.15441090147636588
COLMAP,indoor,92853,,27.95215606689453,0.12160562723875046,0.9019156098365784,0.8764360954402869,0.14546411732701187
VGGT,indoor,50000,random,25.83322270711263,0.1781338850657145,0.8641826113065084,0.7802365214529816,0.18278393839428206
COLMAP,outdoor,19683,,25.439922332763672,0.34192585945129395,0.7329229712486267,0.5950870007334629,0.28719281974388694
COLMAP,outdoor,70656,,24.718013763427734,0.24862007796764374,0.7222579717636108,0.6330776431290959,0.259668951531331
VGGT,outdoor,21431,ba,25.71573257446289,0.33870476484298706,0.7381196022033691,0.6052218932777043,0.2843763594229112
VGGT,outdoor,100000,random,24.140891393025715,0.2579156756401062,0.6987847288449606,0.6029251259282629,0.2696394920990604
VGGT,outdoor,500000,random,23.767709096272785,0.24916672706604004,0.6765604019165039,0.5884182457803052,0.2735288500314151
COLMAP,synthetic,10313,,33.116729736328125,0.033978622406721115,0.9795733690261841,1.0715809865643484,0.059129427789242434
VGGT,synthetic,27774,ba,33.29441452026367,0.032145991921424866,0.9806444048881531,1.0766290356734884,0.05724623873297536
