choice,dataset,num_points,sampling_mode,psnr,lpips,ssim,quality,avge
COLMAP,bonsai,66763,,31.41236686706543,0.12954774498939514,0.94107586145401,0.9585122633398624,0.12433768948872681
VGGT,bonsai,23313,ba,29.298311233520508,0.17961890995502472,0.903824508190155,0.8666705413055233,0.16363866718053213
VGGT,bonsai,100000,random,28.487241744995117,0.1647702306509018,0.8804551362991333,0.847150288033284,0.17064650955577054
COLMAP,kitchen,70681,,29.30306625366211,0.11349157243967056,0.9151408672332764,0.9141956952057387,0.1353238500093359
VGGT,kitchen,10000,imagefps,27.64516830444336,0.1355389952659607,0.8982847332954407,0.860026972800435,0.1520623752066266
VGGT,kitchen,50000,random,27.068721771240234,0.12140662223100662,0.9067940711975098,0.863051945054353,0.14288900698975304
COLMAP,counter,41914,,28.30894660949707,0.16158327460289001,0.9065025448799133,0.8610481857633806,0.15627762493060074
VGGT,counter,50000,random,28.09678840637207,0.15370230376720428,0.9068578481674194,0.8621919066624024,0.15348141930384812
VGGT,counter,50000,voxels,27.83021354675293,0.1610146015882492,0.9031451344490051,0.8505703934878014,0.15795927548390798
VGGT,counter,100000,confidence,27.766035079956055,0.16030235588550568,0.9030972123146057,0.8497935365631333,0.15775569959691255
VGGT,counter,100000,random,28.083406448364258,0.14783841371536255,0.90664142370224,0.8654372138276822,0.15164650547271283
VGGT,counter,500000,random,27.72613525390625,0.14346709847450256,0.9014544486999512,0.8584861046234611,0.15302493680412455
VGGT,counter,1000000,random,27.528261184692383,0.14184626936912537,0.8981474041938782,0.8538883376462341,0.1542521830715548
