method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_points_jitter
vggt,87,42,,27774,ba,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,vggt,lego,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,gsplat,,synthetic,22.96965217590332,0.07458535581827164,0.8368433117866516,1000000,0.004421375226229429,0.2679818570613861,0.08708606660366058,0.020471181720495224,0.7751383883001123,0.16118632021467533,27774,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_mpinhole_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_mpinhole_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam_i87_gteval_steps15000/stats/val_step14999.json,lego_1_n87_s42_mpinhole_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam_i87_gteval_steps15000,0.2685,0.015949,87,4.038841,0.0438,0.0124,0.1148,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mpinhole_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam/eval_results.json,lego_1_n87_s42_mpinhole_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam,lego_1_n87_s42_mpinhole_aliked-sp_ba_farthestpose_useba_maxba250_sharedcam_i87_gteval_steps15000_val_step14999.json,27774,vggt | ba,24302.25
vggt,87,42,0.0,870,confidence,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,20.773061752319336,0.1276174783706665,0.7849150896072388,968555,0.00519891083240509,0.2969588041305542,0.09126260131597519,0.02145877480506897,0.6713575283531401,0.1999197819016338,870,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p870_confidence_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p870_confidence_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p870_confidence_farthestpose_i87_gteval_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p870_confidence_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p870_confidence_farthestpose,lego_1_n87_s42_c0.0_p870_confidence_farthestpose_i87_gteval_steps15000_val_step14999.json,870,vggt | confidence,804.75
vggt,87,42,0.0,4350,confidence,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,20.55731201171875,0.10766437649726868,0.7761982083320618,1000000,0.00519891083240509,0.2969509959220886,0.08573004603385925,0.02016516961157322,0.6745813009489505,0.19651232814662195,4350,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p4350_confidence_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p4350_confidence_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p4350_confidence_farthestpose_i87_gteval_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p4350_confidence_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p4350_confidence_farthestpose,lego_1_n87_s42_c0.0_p4350_confidence_farthestpose_i87_gteval_steps15000_val_step14999.json,4350,vggt | confidence,4023.75
vggt,87,42,0.0,8700,confidence,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,20.55201530456543,0.10328426957130432,0.7754263877868652,1000000,0.00519891083240509,0.29695188999176025,0.08486873656511307,0.019968364387750626,0.6767356264428552,0.19532755150650663,8700,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p8700_confidence_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p8700_confidence_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p8700_confidence_farthestpose_i87_gteval_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p8700_confidence_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p8700_confidence_farthestpose,lego_1_n87_s42_c0.0_p8700_confidence_farthestpose_i87_gteval_steps15000_val_step14999.json,8700,vggt | confidence,8047.5
vggt,87,42,0.0,43500,confidence,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,20.575944900512695,0.09686783701181412,0.7743822336196899,1000000,0.00519891083240509,0.296952486038208,0.08385778963565826,0.019725318998098373,0.6805289114757045,0.19353941136354003,43500,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p43500_confidence_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p43500_confidence_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p43500_confidence_farthestpose_i87_gteval_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p43500_confidence_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p43500_confidence_farthestpose,lego_1_n87_s42_c0.0_p43500_confidence_farthestpose_i87_gteval_steps15000_val_step14999.json,43500,vggt | confidence,40237.5
vggt,87,42,0.0,87000,confidence,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,20.61480140686035,0.09459185600280762,0.7748991250991821,1000000,0.00519891083240509,0.29695290327072144,0.0836058184504509,0.01965654455125332,0.6829556786758394,0.19257327575848898,87000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p87000_confidence_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p87000_confidence_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p87000_confidence_farthestpose_i87_gteval_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p87000_confidence_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p87000_confidence_farthestpose,lego_1_n87_s42_c0.0_p87000_confidence_farthestpose_i87_gteval_steps15000_val_step14999.json,87000,vggt | confidence,80475.0
vggt,87,42,0.0,435000,confidence,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,20.576032638549805,0.09324343502521515,0.7731208801269531,1000000,0.00519891083240509,0.2969530522823334,0.08422116190195084,0.019799895584583282,0.6820301878095989,0.1927731887923886,435000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p435000_confidence_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p435000_confidence_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p435000_confidence_farthestpose_i87_gteval_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p435000_confidence_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p435000_confidence_farthestpose,lego_1_n87_s42_c0.0_p435000_confidence_farthestpose_i87_gteval_steps15000_val_step14999.json,435000,vggt | confidence,402375.0
vggt,87,42,0.0,870000,confidence,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,20.59653091430664,0.09229299426078796,0.7734269499778748,1000000,0.00519891083240509,0.29695308208465576,0.0843353271484375,0.01982460729777813,0.683175465555606,0.192335497117654,870000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p870000_confidence_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p870000_confidence_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p870000_confidence_farthestpose_i87_gteval_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p870000_confidence_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p870000_confidence_farthestpose,lego_1_n87_s42_c0.0_p870000_confidence_farthestpose_i87_gteval_steps15000_val_step14999.json,870000,vggt | confidence,804750.0
vggt,87,42,0.0,870,imagefps,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,20.732013702392578,0.1312786191701889,0.7838835716247559,920002,0.00519891083240509,0.29696762561798096,0.09078209847211838,0.02134539559483528,0.6677341889335862,0.20153691028895976,827,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p870_imagefps_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p870_imagefps_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p870_imagefps_farthestpose_i87_gteval_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p870_imagefps_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p870_imagefps_farthestpose,lego_1_n87_s42_c0.0_p870_imagefps_farthestpose_i87_gteval_steps15000_val_step14999.json,827,vggt | imagefps,848.25
vggt,87,42,0.0,4350,imagefps,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,20.58719825744629,0.10751638561487198,0.7772645950317383,1000000,0.00519891083240509,0.2969661056995392,0.0862385556101799,0.020291239023208618,0.6758497202934732,0.19606675075916902,4307,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p4350_imagefps_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p4350_imagefps_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p4350_imagefps_farthestpose_i87_gteval_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p4350_imagefps_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p4350_imagefps_farthestpose,lego_1_n87_s42_c0.0_p4350_imagefps_farthestpose_i87_gteval_steps15000_val_step14999.json,4307,vggt | imagefps,4241.25
