choice,num_points,sampling_mode,psnr,lpips,ssim,quality
COLMAP,10069,,24.951248168945312,0.057750023901462555,0.8941664099693298,0.8557490702280368
VGGT,870,confidence,20.780302047729492,0.12734241783618927,0.7848520278930664,0.6716245201557314
VGGT,870,imagefps,20.732013702392578,0.1312786191701889,0.7838835716247559,0.6677341889335862
VGGT,870,random,20.786884307861328,0.12797991931438446,0.784991979598999,0.6714347375337761
VGGT,870,voxels,20.66238784790039,0.12895366549491882,0.7830423712730408,0.6673880478172352
VGGT,4350,confidence,20.556303024291992,0.10778746008872986,0.7760626077651978,0.6744073398938962
VGGT,4350,imagefps,20.58719825744629,0.10751638561487198,0.7772645950317383,0.6758497202934732
VGGT,4350,random,20.566364288330078,0.10723959654569626,0.7763004302978516,0.675070924475024
VGGT,4350,voxels,20.553871154785156,0.10797790437936783,0.7756953239440918,0.6740299612090059
VGGT,8700,confidence,20.55951499938965,0.10312128812074661,0.7754286527633667,0.67697644006168
VGGT,8700,imagefps,20.51663589477539,0.10324668139219284,0.77437424659729,0.6754883675218171
VGGT,8700,random,20.553205490112305,0.10303780436515808,0.7753878831863403,0.6768872886218367
VGGT,8700,voxels,20.601343154907227,0.10275178402662277,0.7772859930992126,0.679065288420309
VGGT,17400,confidence,20.572647094726562,0.09940683841705322,0.7750058174133301,0.6792652250653044
VGGT,17400,imagefps,20.56129264831543,0.1004195362329483,0.7750515341758728,0.6784565703794505
VGGT,17400,random,20.56607437133789,0.09993284195661545,0.7748802304267883,0.6787453717403863
VGGT,17400,voxels,20.58060073852539,0.0994957908987999,0.7752681374549866,0.6795110093590654
VGGT,26100,confidence,20.593427658081055,0.09806253761053085,0.7748075127601624,0.6803638979918466
VGGT,26100,imagefps,20.543729782104492,0.0984129011631012,0.7738483548164368,0.6786663820791584
VGGT,26100,random,20.600393295288086,0.09798990190029144,0.7748597264289856,0.680568262440884
VGGT,26100,voxels,20.503889083862305,0.0981697216629982,0.7732874155044556,0.6777506674881334
VGGT,27774,ba,22.96965217590332,0.07458535581827164,0.8368433117866516,0.7751383883001123
VGGT,43500,confidence,20.570556640625,0.09688160568475723,0.7743114829063416,0.680379255018194
VGGT,43500,imagefps,20.61343765258789,0.09669386595487595,0.7750223875045776,0.6817049702376493
VGGT,43500,random,20.576627731323242,0.09749816358089447,0.7743308544158936,0.680122419697964
VGGT,43500,voxels,20.54008674621582,0.09730445593595505,0.7736892104148865,0.6791900769989547
VGGT,65250,confidence,20.526926040649414,0.09613573551177979,0.7733032703399658,0.6794420966395625
VGGT,65250,imagefps,20.629531860351562,0.09603768587112427,0.7750570774078369,0.6824283470497107
VGGT,65250,random,20.534372329711914,0.09588713943958282,0.7734276056289673,0.6798061559423367
VGGT,65250,voxels,20.584272384643555,0.09516170620918274,0.7738458514213562,0.6814226175067174
VGGT,87000,confidence,20.61271095275879,0.09457694739103317,0.7749558687210083,0.6829593528141984
VGGT,87000,imagefps,20.58357048034668,0.09591566771268845,0.7741469144821167,0.6811202712129508
VGGT,87000,random,20.619525909423828,0.0951065868139267,0.7748908996582031,0.6827206241960568
VGGT,87000,voxels,20.561214447021484,0.09585598111152649,0.7731336951255798,0.6801505882372867
VGGT,217500,confidence,20.57243537902832,0.09445471316576004,0.7730950117111206,0.6812007416080854
VGGT,217500,imagefps,20.61112403869629,0.09431952983140945,0.7741431593894958,0.682613596629988
VGGT,217500,random,20.5678768157959,0.09471122175455093,0.7729755640029907,0.6808881326744972
VGGT,217500,voxels,20.530048370361328,0.09463634341955185,0.7728222608566284,0.6801441761388493
VGGT,435000,confidence,20.577228546142578,0.09318794310092926,0.7730429768562317,0.6820410310524947
VGGT,435000,imagefps,20.610553741455078,0.09459139406681061,0.7736690640449524,0.6821579694012065
VGGT,435000,random,20.58102798461914,0.09375450015068054,0.7730345129966736,0.6817567148248896
VGGT,435000,voxels,20.573318481445312,0.09295640140771866,0.7737110257148743,0.6825022212652666
VGGT,870000,confidence,20.598743438720703,0.09230045229196548,0.7735089063644409,0.6832597622184338
VGGT,870000,imagefps,20.605642318725586,0.09272468090057373,0.7730685472488403,0.6828681297934309
VGGT,870000,random,20.606740951538086,0.09257781505584717,0.7733564376831055,0.6831474897534604
VGGT,870000,voxels,20.55267333984375,0.09211361408233643,0.7727274298667908,0.6820649406676016
