method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_points_jitter
vggt,87,42,0.0,8700,imagefreqnovis,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,lego,,,7000,7000,,MCMC,,,,,,,,,,,gsplat,,synthetic,31.44190216064453,0.05872517451643944,0.9652901887893677,197303,0,0,0.08022824674844742,0.018928585574030876,1.0169372746576884,0.08191611580022137,8700,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p8700_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p8700_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000/stats/val_step6999.json,lego_1_n87_s42_c0.0_p8700_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p8700_imagefreqnovis_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p8700_imagefreqnovis_farthestpose,lego_1_n87_s42_c0.0_p8700_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000_val_step6999.json,8700,vggt | imagefreqnovis | ,8047.5
vggt,100,42,0.0,10000,imagefreqnovis,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,7000,7000,,MCMC,,,,,,,,,,,gsplat,,outdoor,21.49455451965332,0.6237800717353821,0.465155690908432,226837,0,0,,,0.1914514993366443,0.45406630597066205,10000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000/stats/val_step6999.json,bicycle_4_n100_s42_c0.0_p10000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000,0.7161,0.065623,100,5.788567,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_imagefreqnovis_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p10000_imagefreqnovis_farthestpose,bicycle_4_n100_s42_c0.0_p10000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000_val_step6999.json,10000,vggt | imagefreqnovis | ,9250.0
vggt,100,42,0.0,10000,imagefreqnovis,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,7000,7000,,MCMC,,,,,,,,,,,gsplat,,indoor,23.2061767578125,0.4293850064277649,0.755486249923706,226837,0,0,,,0.5129291139848051,0.3095492737150186,10000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p10000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p10000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000/stats/val_step6999.json,bonsai_2_n100_s42_c0.0_p10000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000,0.7215,0.105749,100,7.778965,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p10000_imagefreqnovis_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p10000_imagefreqnovis_farthestpose,bonsai_2_n100_s42_c0.0_p10000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000_val_step6999.json,10000,vggt | imagefreqnovis | ,9250.0
vggt,87,42,0.0,43500,imagefreqnovis,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,lego,,,7000,7000,,MCMC,,,,,,,,,,,gsplat,,synthetic,32.78618240356445,0.03691594675183296,0.9781138896942139,987425,0,0,0.07522629201412201,0.017790190875530243,1.0627930797999599,0.06179399203566477,43500,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p43500_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p43500_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000/stats/val_step6999.json,lego_1_n87_s42_c0.0_p43500_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p43500_imagefreqnovis_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p43500_imagefreqnovis_farthestpose,lego_1_n87_s42_c0.0_p43500_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000_val_step6999.json,43500,vggt | imagefreqnovis | ,40237.5
vggt,100,42,0.0,50000,imagefreqnovis,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,7000,7000,,MCMC,,,,,,,,,,,gsplat,,outdoor,22.18896484375,0.4453634023666382,0.5540399551391602,1000000,0,0,,,0.36642379819610965,0.37306890930897946,50000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000/stats/val_step6999.json,bicycle_4_n100_s42_c0.0_p50000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000,0.7161,0.065623,100,5.788567,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_imagefreqnovis_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p50000_imagefreqnovis_farthestpose,bicycle_4_n100_s42_c0.0_p50000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000_val_step6999.json,50000,vggt | imagefreqnovis | ,46250.0
vggt,100,42,0.0,50000,imagefreqnovis,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,7000,7000,,MCMC,,,,,,,,,,,gsplat,,indoor,24.04017448425293,0.3164033889770508,0.799765944480896,1000000,0,0,,,0.6240098137139809,0.25594100151069854,50000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p50000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p50000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000/stats/val_step6999.json,bonsai_2_n100_s42_c0.0_p50000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000,0.7215,0.105749,100,7.778965,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p50000_imagefreqnovis_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p50000_imagefreqnovis_farthestpose,bonsai_2_n100_s42_c0.0_p50000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000_val_step6999.json,50000,vggt | imagefreqnovis | ,46250.0
vggt,87,42,0.0,87000,imagefreqnovis,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,lego,,,7000,7000,,MCMC,,,,,,,,,,,gsplat,,synthetic,33.034568786621094,0.033624470233917236,0.9798346757888794,1000000,0,0,0.07458940148353577,0.01764269359409809,1.070430910920384,0.05870878220416022,87000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p87000_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p87000_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000/stats/val_step6999.json,lego_1_n87_s42_c0.0_p87000_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p87000_imagefreqnovis_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p87000_imagefreqnovis_farthestpose,lego_1_n87_s42_c0.0_p87000_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000_val_step6999.json,87000,vggt | imagefreqnovis | ,80475.0
vggt,100,42,0.0,100000,imagefreqnovis,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,7000,7000,,MCMC,,,,,,,,,,,gsplat,,outdoor,22.41463279724121,0.37144771218299866,0.5835511088371277,1000000,0,0,,,0.4334877882397275,0.3408370899584681,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000/stats/val_step6999.json,bicycle_4_n100_s42_c0.0_p100000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000,0.7161,0.065623,100,5.788567,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_imagefreqnovis_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_imagefreqnovis_farthestpose,bicycle_4_n100_s42_c0.0_p100000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000_val_step6999.json,100000,vggt | imagefreqnovis | ,92500.0
vggt,100,42,0.0,100000,imagefreqnovis,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,7000,7000,,MCMC,,,,,,,,,,,gsplat,,indoor,24.327857971191406,0.2830921411514282,0.807253897190094,1000000,0,0,,,0.654278704065096,0.2419374424757817,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000/stats/val_step6999.json,bonsai_2_n100_s42_c0.0_p100000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000,0.7215,0.105749,100,7.778965,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_imagefreqnovis_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_imagefreqnovis_farthestpose,bonsai_2_n100_s42_c0.0_p100000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000_val_step6999.json,100000,vggt | imagefreqnovis | ,92500.0
vggt,87,42,0.0,435000,imagefreqnovis,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,lego,,,7000,7000,,MCMC,,,,,,,,,,,gsplat,,synthetic,33.058624267578125,0.03180941194295883,0.9798387885093689,1000000,0,0,0.07287686318159103,0.017229050397872925,1.0719991942421037,0.05809802006837526,435000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p435000_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p435000_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000/stats/val_step6999.json,lego_1_n87_s42_c0.0_p435000_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p435000_imagefreqnovis_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p435000_imagefreqnovis_farthestpose,lego_1_n87_s42_c0.0_p435000_imagefreqnovis_farthestpose_i87_gteval_gtext_gtint_steps7000_val_step6999.json,435000,vggt | imagefreqnovis | ,402375.0
vggt,100,42,0.0,500000,imagefreqnovis,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,7000,7000,,MCMC,,,,,,,,,,,gsplat,,outdoor,22.213748931884766,0.2934076189994812,0.589292049407959,1000000,0,0,,,0.481297888873536,0.31342639032916025,500000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p500000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p500000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000/stats/val_step6999.json,bicycle_4_n100_s42_c0.0_p500000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000,0.7161,0.065623,100,5.788567,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p500000_imagefreqnovis_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p500000_imagefreqnovis_farthestpose,bicycle_4_n100_s42_c0.0_p500000_imagefreqnovis_farthestpose_i100_gteval_gtext_gtint_steps7000_val_step6999.json,500000,vggt | imagefreqnovis | ,462500.0
