method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series
colmap,100,42,,16687,,farthestpose,100,GT Eval,,,,,,,,0.0,,colmap,,,30000,30000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.200843811035156,0.2861133813858032,0.47839322686195374,1000000,0.0021039999555796385,0.10689998418092728,0.4021898898464894,16687,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps30000/stats/val_step29999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps30000,0.1069,0.008457,100,colmap | 
colmap,100,43,,16511,,farthestpose,100,GT Eval,,,,,,,,0.0,,colmap,,,30000,30000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.19170379638672,0.2888087034225464,0.47733497619628906,1000000,0.001961000030860305,0.10180000215768814,0.39973799124253573,16511,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s43_default_farthestpose_sharedcam_i100_gteval_steps30000/stats/val_step29999.json,bicycle_4_n100_s43_default_farthestpose_sharedcam_i100_gteval_steps30000,0.1018,0.00789,100,colmap | 
colmap,100,44,,16663,,farthestpose,100,GT Eval,,,,,,,,0.0,,colmap,,,30000,30000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.32048797607422,0.28682205080986023,0.48518308997154236,1000000,0.0022849999368190765,0.10419999063014984,0.40793875245168043,16663,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s44_default_farthestpose_sharedcam_i100_gteval_steps30000/stats/val_step29999.json,bicycle_4_n100_s44_default_farthestpose_sharedcam_i100_gteval_steps30000,0.1042,0.00919,100,colmap | 
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,30000,30000,,MCMC,,,,,,,,,,gsplat,17.05530548095703,0.43494269251823425,0.25015583634376526,1000000,0.015425998717546463,0.8569999933242798,0.1000785581704624,107546,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps30000/stats/val_step29999.json,bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps30000,0.857,0.067143,100,vggt | 
vggt,100,43,0.0,110000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,30000,30000,,MCMC,,,,,,,,,,gsplat,17.051342010498047,0.43572551012039185,0.24929110705852509,1000000,0.015527000650763512,0.8603999614715576,0.09901625018680615,112120,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p110000_voxels_farthestpose_i100_gteval_steps30000/stats/val_step29999.json,bicycle_4_n100_s43_c0.0_p110000_voxels_farthestpose_i100_gteval_steps30000,0.8604,0.06754,100,vggt | 
vggt,100,44,0.0,110000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,30000,30000,,MCMC,,,,,,,,,,gsplat,17.045778274536133,0.43215513229370117,0.2487126886844635,1000000,0.015425998717546463,0.8569999933242798,0.10077889861031893,107578,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s44_c0.0_p110000_voxels_farthestpose_i100_gteval_steps30000/stats/val_step29999.json,bicycle_4_n100_s44_c0.0_p110000_voxels_farthestpose_i100_gteval_steps30000,0.857,0.067143,100,vggt | 
colmap,100,42,,16687,,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,30000,30000,default,MCMC,,,,,Shared Cam,,,,,gsplat,22.644804000854492,0.2586725056171417,0.6012876033782959,1000000,0.0021609999239444733,0.09669999778270721,0.5177367620068452,16687,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps30000/stats/val_step29999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps30000,0.1069,0.008457,100,colmap | Pose Opt
colmap,100,43,,16511,,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,30000,30000,default,MCMC,,,,,Shared Cam,,,,,gsplat,22.663476943969727,0.2627570331096649,0.5997374057769775,1000000,0.002174999797716737,0.0948999896645546,0.5146546956778657,16511,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s43_default_farthestpose_sharedcam_i100_gteval_poseopt_steps30000/stats/val_step29999.json,bicycle_4_n100_s43_default_farthestpose_sharedcam_i100_gteval_poseopt_steps30000,0.1018,0.00789,100,colmap | Pose Opt
colmap,100,44,,16663,,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,30000,30000,default,MCMC,,,,,Shared Cam,,,,,gsplat,22.616249084472656,0.2591625452041626,0.5951259732246399,1000000,0.002194999950006604,0.09700001031160355,0.5133021811992802,16663,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s44_default_farthestpose_sharedcam_i100_gteval_poseopt_steps30000/stats/val_step29999.json,bicycle_4_n100_s44_default_farthestpose_sharedcam_i100_gteval_poseopt_steps30000,0.1042,0.00919,100,colmap | Pose Opt
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,30000,30000,,MCMC,,,,,,,,,,gsplat,17.423418045043945,0.3187200725078583,0.25235515832901,1000000,0.013594000600278378,0.664699912071228,0.17992396874424701,107546,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_poseopt_steps30000/stats/val_step29999.json,bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_poseopt_steps30000,0.857,0.067143,100,vggt | Pose Opt
