Choice,Pose Opt,RRE ↓,RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑
COLMAP,,0.5629,0.063833,18.469179153442383,0.32536494731903076,0.5786079168319702
COLMAP,,0.4864,0.053874,18.83687400817871,0.3060200810432434,0.5905328989028931
COLMAP,,0.4887,0.052377,18.633634567260742,0.31010448932647705,0.5858246088027954
COLMAP,Pose Opt,0.5629,0.063833,19.147842407226562,0.28176411986351013,0.5982948541641235
COLMAP,Pose Opt,0.4864,0.053874,19.410736083984375,0.2674916982650757,0.6074023246765137
COLMAP,Pose Opt,0.4887,0.052377,19.190818786621094,0.27816179394721985,0.6011653542518616
VGGT,,0.7897,0.107121,17.5345401763916,0.4374907314777374,0.5742523074150085
VGGT,,0.7897,0.107121,17.552377700805664,0.43710771203041077,0.5750956535339355
VGGT,,0.7897,0.107121,17.539352416992188,0.4376832842826843,0.5747129917144775
VGGT,Pose Opt,0.7897,0.107121,17.387935638427734,0.40260279178619385,0.5599585771560669
VGGT,Pose Opt,0.7897,0.107121,17.37470245361328,0.4042733311653137,0.5605700612068176
VGGT,Pose Opt,0.7897,0.107121,17.381086349487305,0.40394851565361023,0.5603554248809814
