choice,dataset_collection,pose_opt,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,indoor,,0.09816162660717964,0.0015422539048207302,22.967789967854817,0.18031768004099527,0.6732518970966339,0.61416954219096
COLMAP,indoor,Pose Opt,0.07197215780615807,0.0007390545797534287,23.825786590576172,0.1683450440565745,0.7078664700190226,0.657691324882908
VGGT,indoor,,0.467983345190684,0.012895848136395216,19.23758061726888,0.3216208964586258,0.5559923946857452,0.389294575161559
VGGT,indoor,Pose Opt,0.4260660757621129,0.011038683199634155,19.415937423706055,0.27091873188813526,0.5380548536777496,0.41340532137223435
COLMAP,outdoor,,0.06108738792439302,0.000953483763926973,22.72642707824707,0.32672349611918133,0.5557525753974915,0.45061284488275605
COLMAP,outdoor,Pose Opt,0.06447636460264523,0.0013713106357802947,23.042020161946613,0.3178586761156718,0.5890687306722006,0.4814124041004359
VGGT,outdoor,,0.6953809758027395,0.020589737066378195,18.133150100708008,0.4839722116788228,0.342354695002238,0.14369096964087766
VGGT,outdoor,Pose Opt,0.4671357174714406,0.017784721838931244,18.34314473470052,0.3893701732158661,0.3440665105978648,0.20697714094994826
COLMAP,synthetic,,3.62635230521361,0.040164921743174396,23.004417419433594,0.10195025304953258,0.8419353167215983,0.7618680578987913
COLMAP,synthetic,Pose Opt,3.5558230305711427,0.03918404271826148,23.257675170898438,0.09693936134378116,0.8506752649943033,0.7747622401487241
VGGT,synthetic,,0.31865566472212475,0.005636522235969703,20.370315551757812,0.12572584797938666,0.7701835831006368,0.6564520223750834
VGGT,synthetic,Pose Opt,0.24828204264243445,0.005856478276352088,21.37028694152832,0.09677855173746745,0.7969885071118673,0.7085141066170523
