choice,dataset,pose_opt,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,lego,,10.478508949279785,0.11692719161510468,22.786890029907227,0.06574113667011261,0.8507940173149109,0.7853716059773675
COLMAP,lego,Pose Opt,10.428851127624512,0.11611875891685486,23.415613174438477,0.06068120896816254,0.8655398488044739,0.8087613326028387
VGGT,lego,,0.29695671796798706,0.00519891083240509,20.5725154876709,0.09495189040899277,0.7736919522285461,0.681244413590493
VGGT,lego,Pose Opt,0.2516995370388031,0.006157866213470697,20.352569580078125,0.07587305456399918,0.773491382598877,0.6888311082101471
COLMAP,ship,,0.2434609830379486,0.0035610124468803406,22.400592803955078,0.14908459782600403,0.7505561709403992,0.6681527490736681
COLMAP,ship,Pose Opt,0.12901882827281952,0.0022772701922804117,22.677448272705078,0.14222858846187592,0.7592695951461792,0.6826073764554086
VGGT,ship,,0.48666468262672424,0.008744901046156883,20.870609283447266,0.17614904046058655,0.701298177242279,0.5943074305774795
VGGT,ship,Pose Opt,0.3772093653678894,0.008311179466545582,22.858901977539062,0.1296185404062271,0.748465359210968,0.6874333439011167
COLMAP,drums,,0.1518741101026535,0.0029796594753861427,22.46944808959961,0.09344673901796341,0.898908793926239,0.7905281241196481
COLMAP,drums,Pose Opt,0.09517744928598404,0.0019269566982984543,22.8007869720459,0.08921363204717636,0.906125545501709,0.8034973809032024
VGGT,drums,,0.1723455935716629,0.0029657548293471336,19.667821884155273,0.10607661306858063,0.8355606198310852,0.6938042229572777
VGGT,drums,Pose Opt,0.11593722552061081,0.0031003891490399837,20.899389266967773,0.08484406024217606,0.8690087795257568,0.749277867739893
