method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,False,,,full,,1.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,21.97274398803711,0.06969247758388519,0.8122559189796448,1000000,0.003929816652089357,0.222517192363739,0.07714632153511047,0.018137581646442413,0.7453188284834612,0.1697787415651369,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000_val_step14999.json,100000,vggt |  | full
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,False,,,full,,1.0,,False,1.0,1.0,vggt,ship,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,23.490942001342773,0.13170914351940155,0.7646981477737427,1000000,0.008768405765295029,0.3649813234806061,0.14167077839374542,0.027750859037041664,0.7073401518461377,0.20708817606269792,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000,0.4869,0.027807,87,4.301907,0.1056,0.0284,0.2389,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p100000_random_farthestpose,ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000_val_step14999.json,100000,vggt |  | full
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,False,,,full,,1.0,,False,1.0,1.0,vggt,drums,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,20.72846031188965,0.0885021984577179,0.8661181926727295,1000000,0.0022400871384888887,0.11155002564191818,0.08080476522445679,0.018041422590613365,0.742164005041897,0.15428553800930198,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,drums_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000,0.173,0.01002,87,3.881439,0.0626,0.0172,0.1433,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,drums_1_n87_s42_c0.0_p100000_random_farthestpose,drums_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000_val_step14999.json,100000,vggt |  | full
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,False,,,full,,1.0,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,17.47345733642578,0.39222973585128784,0.5574425458908081,1000000,0.0172044038772583,0.7944438457489014,,,0.31388796382790035,0.35845715464083444,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000,0.7215,0.105749,100,7.778965,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000_val_step14999.json,100000,vggt |  | full
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,False,,,full,,1.0,,False,1.0,1.0,vggt,kitchen,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,19.043855667114258,0.2101958990097046,0.40033793449401855,1000000,0.005262298975139856,0.22192439436912537,,,0.3634619385952915,0.33234572251125916,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000,0.3392,0.031011,100,4.199786,,,,/home/ojab2/work/git/vggt/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,kitchen_2_n100_s42_c0.0_p100000_random_farthestpose,kitchen_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000_val_step14999.json,100000,vggt |  | full
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,False,,,full,,1.0,,False,1.0,1.0,vggt,counter,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,20.77263832092285,0.24551290273666382,0.6547119617462158,1000000,0.006287031341344118,0.24720412492752075,,,0.522432553682953,0.280498419553075,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,counter_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000,0.3433,0.032901,100,4.853077,,,,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,counter_2_n100_s42_c0.0_p100000_random_farthestpose,counter_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000_val_step14999.json,100000,vggt |  | full
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,False,,,full,,1.0,,False,1.0,1.0,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,outdoor,18.11033821105957,0.35131216049194336,0.2933022975921631,1000000,0.012593640014529228,0.4808228313922882,,,0.1964718352051971,0.4024722139728666,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000,0.7161,0.065623,100,5.788567,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000_val_step14999.json,100000,vggt |  | full
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,False,,,full,,1.0,,False,1.0,1.0,vggt,garden,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,outdoor,19.401695251464844,0.3461934030056,0.37129878997802734,1000000,0.004102110397070646,0.11342453211545944,,,0.2691575651667659,0.3835257562499546,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,garden_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000,0.3733,0.026869,100,6.069829,,,,/home/ojab2/work/git/vggt/vggt_outputs/garden_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,garden_2_n100_s42_c0.0_p100000_random_farthestpose,garden_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000_val_step14999.json,100000,vggt |  | full
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,False,,,full,,1.0,,False,1.0,1.0,vggt,stump,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,outdoor,18.40581512451172,0.5147808194160461,0.40761035680770874,1000000,0.04116043075919151,0.8011254668235779,,,0.16788386857068097,0.4329614680090877,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000/stats/val_step14999.json,stump_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000,0.8558,0.162829,100,4.685178,,,,/home/ojab2/work/git/vggt/vggt_outputs/stump_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,stump_2_n100_s42_c0.0_p100000_random_farthestpose,stump_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl1.0_confdisabled_steps15000_val_step14999.json,100000,vggt |  | full
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,False,,,full,,1.0,Scaled Shifted,True,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,21.885595321655273,0.06620734930038452,0.8096891641616821,1000000,0.0043581328354775906,0.22211655974388123,0.0761852040886879,0.01791934110224247,0.7443552518371176,0.16964388133581348,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confscaleshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confscaleshifted_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confscaleshifted_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confscaleshifted_steps15000_val_step14999.json,100000,vggt | Scaled Shifted | full
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,False,,,full,,1.0,Scaled Shifted,True,1.0,1.0,vggt,ship,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,23.416587829589844,0.12669532001018524,0.7616121172904968,1000000,0.008676939643919468,0.3687576949596405,0.14185857772827148,0.027449462562799454,0.7072534793340362,0.20649953088501832,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confscaleshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confscaleshifted_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confscaleshifted_steps15000,0.4869,0.027807,87,4.301907,0.1056,0.0284,0.2389,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p100000_random_farthestpose,ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_poseopt_depthfull_dl1.0_confscaleshifted_steps15000_val_step14999.json,100000,vggt | Scaled Shifted | full
