choice,dataset,depth_conf_mode,eval_rre,eval_rte,psnr,lpips,ssim
VGGT,bicycle,,0.4808228313922882,0.012593640014529228,18.11033821105957,0.35131216049194336,0.2933022975921631
VGGT,bicycle,shifted,0.48163682222366333,0.012365588918328285,18.094192504882812,0.35188624262809753,0.2923007011413574
VGGT,bicycle,sigmoid,0.48175033926963806,0.012449157424271107,17.926549911499023,0.3419806659221649,0.2838209867477417
VGGT,bicycle,standard,0.4810331463813782,0.012486620806157589,18.0867919921875,0.3533472418785095,0.29209306836128235
VGGT,bonsai,,0.7944438457489014,0.0172044038772583,17.47345733642578,0.39222973585128784,0.5574425458908081
VGGT,bonsai,shifted,0.8034749031066895,0.016580017283558846,17.55197525024414,0.3941889703273773,0.5615614652633667
VGGT,bonsai,sigmoid,0.8226756453514099,0.017482183873653412,17.477985382080078,0.3911197781562805,0.5575124621391296
VGGT,bonsai,standard,0.803276002407074,0.016548538580536842,17.554183959960938,0.3939373791217804,0.5614463090896606
VGGT,lego,,0.222517192363739,0.003929816652089357,21.97274398803711,0.06969247758388519,0.8122559189796448
VGGT,lego,shifted,0.20232638716697693,0.003344941418617964,23.505104064941406,0.09432575106620789,0.845059335231781
VGGT,lego,sigmoid,0.22286607325077057,0.003930957987904549,21.972518920898438,0.06959373503923416,0.8121604323387146
VGGT,lego,standard,0.20357263088226318,0.0033614521380513906,23.506122589111328,0.09453485906124115,0.8450270891189575
