choice,depth_lambda,depth_conf_mode,depth_loss_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,0.0,,,0.0986,22.163246154785156,0.3494715690612793,0.5586552619934082,,
COLMAP,0.01,,points,0.0986,22.19541358947754,0.35155153274536133,0.550025224685669,,
COLMAP,0.1,,points,0.0986,21.965484619140625,0.3727203905582428,0.525836706161499,,
COLMAP,1.0,,points,0.0986,21.667509078979492,0.39417871832847595,0.503787100315094,,
COLMAP,10.0,,points,0.0986,21.16566276550293,0.43580299615859985,0.4697146415710449,,
VGGT,0.0,,,0.7161,17.437223434448242,0.33573752641677856,0.26764628291130066,,
VGGT,0.01,,points,0.7161,17.90712547302246,0.32870054244995117,0.2777651250362396,,
VGGT,0.01,sigmoid,points,0.7161,17.939889907836914,0.32922759652137756,0.27824345231056213,,
VGGT,0.01,standard,points,0.7161,17.89451789855957,0.3294844627380371,0.2776067852973938,,
VGGT,0.1,,points,0.7161,17.804889678955078,0.3334656357765198,0.2733002007007599,,
VGGT,0.1,sigmoid,points,0.7161,17.856855392456055,0.32955706119537354,0.274977445602417,,
VGGT,0.1,standard,points,0.7161,17.805572509765625,0.3332273066043854,0.27346909046173096,,
VGGT,1.0,,points,0.7161,17.347267150878906,0.37954580783843994,0.25727060437202454,,
VGGT,1.0,sigmoid,points,0.7161,17.634342193603516,0.34715408086776733,0.26654377579689026,,
VGGT,1.0,standard,points,0.7161,17.440488815307617,0.36643359065055847,0.26039424538612366,,
VGGT,10.0,,points,0.7161,17.326305389404297,0.4456928074359894,0.25828877091407776,,
VGGT,10.0,sigmoid,points,0.7161,17.380340576171875,0.4101051688194275,0.2595168948173523,,
VGGT,10.0,standard,points,0.7161,17.295635223388672,0.43418410420417786,0.2576804757118225,,
