method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,depth_lambda_jitter
colmap,100,42,,80892,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,points,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,24.936241149902344,0.17190296947956085,0.7859142422676086,1000000,0.0010209125466644764,0.0965178906917572,,,0.7217010200178569,0.2126020122570981,80892,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.0_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.0_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.0_steps15000,0.1733,0.012946,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.0_steps15000_val_step14999.json,80892,colmap | ,0.0
colmap,100,42,,80892,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,points,,0.01,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,25.025754928588867,0.17221306264400482,0.7876349091529846,1000000,0.0010252580977976322,0.09878763556480408,,,0.7241735049971828,0.21206250422766293,80892,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.01_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.01_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.01_steps15000,0.1733,0.012946,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.01_steps15000_val_step14999.json,80892,colmap | ,0.01
colmap,100,42,,80892,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,points,,0.1,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,26.851804733276367,0.16934701800346375,0.8498984575271606,1000000,0.0015117803122848272,0.08547118306159973,,,0.7961698372771477,0.18628031442321863,80892,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.1_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.1_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.1_steps15000,0.1733,0.012946,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl0.1_steps15000_val_step14999.json,80892,colmap | ,0.1
colmap,100,42,,80892,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,points,,1.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,24.154159545898438,0.18641792237758636,0.7751926779747009,1000000,0.002574935555458069,0.12184947729110718,,,0.6919882592440736,0.22146622118691028,80892,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl1_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl1_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl1_steps15000,0.1733,0.012946,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl1_steps15000_val_step14999.json,80892,colmap | ,1.0
colmap,100,42,,80892,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,points,,10.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,22.470006942749023,0.21691569685935974,0.7076914310455322,1000000,0.0028814496472477913,0.15994329750537872,,,0.6025000479486252,0.2544112549957071,80892,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl10_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl10_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl10_steps15000,0.1733,0.012946,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_depthpoints_dl10_steps15000_val_step14999.json,80892,colmap | ,10.0
vggt,100,42,0.0,110000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,points,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.345699310302734,0.4040467143058777,0.5585135817527771,1000000,0.022275814786553383,0.7549306750297546,,,0.3048539800718282,0.36230570509356186,110000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl0.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl0.0_confdisabled_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl0.0_confdisabled_steps15000,0.8515,0.10655,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl0.0_confdisabled_steps15000_val_step14999.json,110000,vggt | ,0.0
vggt,100,42,0.0,110000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,points,,0.01,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.387712478637695,0.40141981840133667,0.5588186979293823,1000000,0.02180583029985428,0.7473872303962708,,,0.3074319729021108,0.36129439531812324,110000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl0.01_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl0.01_confdisabled_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl0.01_confdisabled_steps15000,0.8515,0.10655,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl0.01_confdisabled_steps15000_val_step14999.json,110000,vggt | ,0.01
vggt,100,42,0.0,110000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,points,,0.1,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.447893142700195,0.39511212706565857,0.5605227947235107,1000000,0.02198444865643978,0.7386539578437805,,,0.31343661410379436,0.3586801115482994,110000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl0.1_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl0.1_confdisabled_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl0.1_confdisabled_steps15000,0.8515,0.10655,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl0.1_confdisabled_steps15000_val_step14999.json,110000,vggt | ,0.1
vggt,100,42,0.0,110000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,points,,1.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.418214797973633,0.4035247564315796,0.5565678477287292,1000000,0.022038765251636505,0.7255859971046448,,,0.3053811995374296,0.3625175397597872,110000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl1_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl1_confdisabled_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl1_confdisabled_steps15000,0.8515,0.10655,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl1_confdisabled_steps15000_val_step14999.json,110000,vggt | ,1.0
vggt,100,42,0.0,110000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,points,,10.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.450973510742188,0.42920923233032227,0.5567580461502075,1000000,0.02285139262676239,0.7328312397003174,,,0.29024445476123006,0.37098603248992595,110000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl10_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl10_confdisabled_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl10_confdisabled_steps15000,0.8515,0.10655,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose,bonsai_2_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_depthpoints_dl10_confdisabled_steps15000_val_step14999.json,110000,vggt | ,10.0
