choice,dataset,depth_lambda,depth_loss_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
VGGT,bonsai,0.0,,0,0,26.098609924316406,0.21166729927062988,0.8379709124565125,0.7491229822916052
VGGT,bonsai,0.01,closer,0,0,25.771167755126953,0.21751512587070465,0.8299390077590942,0.7347524486206196
VGGT,bonsai,0.1,closer,0,0,26.057703018188477,0.20536679029464722,0.838200032711029,0.7523886385174677
VGGT,bonsai,1.0,closer,0,0,26.3799991607666,0.19908148050308228,0.8449267148971558,0.7661706387338272
VGGT,bonsai,10.0,closer,0,0,26.33047866821289,0.19839797914028168,0.8468076586723328,0.7667754741168935
VGGT,kitchen,0.0,,0,0,25.88842010498047,0.12953218817710876,0.8895320296287537,0.8260839641907525
VGGT,kitchen,0.01,closer,0,0,25.734817504882812,0.12982779741287231,0.8879371881484985,0.822124340923054
VGGT,kitchen,0.1,closer,0,0,26.15863609313965,0.12730740010738373,0.8916513323783875,0.8337006482735634
VGGT,kitchen,1.0,closer,0,0,26.2877140045166,0.1259468048810959,0.8936487436294556,0.8380989303172137
VGGT,kitchen,10.0,closer,0,0,26.298999786376953,0.12688037753105164,0.8912262320518494,0.8363149734268411
VGGT,counter,0.0,,0,0,25.01582908630371,0.18685297667980194,0.856162428855896,0.755027282055978
VGGT,counter,0.01,closer,0,0,24.959718704223633,0.1867426037788391,0.8555654287338257,0.7537072094482907
VGGT,counter,0.1,closer,0,0,25.062414169311523,0.18354535102844238,0.8572325706481934,0.7585575269212035
VGGT,counter,1.0,closer,0,0,24.82196617126465,0.18904578685760498,0.8526308536529541,0.7480183928875739
VGGT,counter,10.0,closer,0,0,24.394540786743164,0.2049049288034439,0.8420354723930359,0.7241173848035352
