method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,depth_lambda_jitter
colmap,87,42,,10069,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,points,,0.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,25.267484664916992,0.05298500880599022,0.906015157699585,1000000,0.11236486583948135,10.381736755371094,0.018817607313394547,0.019782228395342827,0.8714757612177193,0.12084262343796162,10069,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.0_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.0_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.0_steps15000,10.4307,0.396073,87,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.0_steps15000_val_step14999.json,10069,colmap | ,0.0
colmap,87,42,,10069,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,points,,0.01,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,25.171138763427734,0.05332547053694725,0.9049533009529114,1000000,0.11230544745922089,10.381696701049805,0.018894493579864502,0.019853845238685608,0.868860447436784,0.12155400167185117,10069,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.01_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.01_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.01_steps15000,10.4307,0.396073,87,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.01_steps15000_val_step14999.json,10069,colmap | ,0.01
colmap,87,42,,10069,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,points,,0.1,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,25.277332305908203,0.05302310734987259,0.9056869149208069,1000000,0.11218816041946411,10.380377769470215,0.018790937960147858,0.019724035635590553,0.8714426524787077,0.12103137194364136,10069,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.1_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.1_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.1_steps15000,10.4307,0.396073,87,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl0.1_steps15000_val_step14999.json,10069,colmap | ,0.1
colmap,87,42,,10069,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,points,,1.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,25.126136779785156,0.05613192915916443,0.9008785486221313,1000000,0.11225961148738861,10.37887954711914,0.019212480634450912,0.020146941766142845,0.8639117994038914,0.12467975886067734,10069,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl1_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl1_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl1_steps15000,10.4307,0.396073,87,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl1_steps15000_val_step14999.json,10069,colmap | ,1.0
colmap,87,42,,10069,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,points,,10.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,24.80658531188965,0.06535745412111282,0.889276385307312,1000000,0.11260716617107391,10.391645431518555,0.020436612889170647,0.02137848176062107,0.8455145203056391,0.1338051097239641,10069,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl10_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl10_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl10_steps15000,10.4307,0.396073,87,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_depthpoints_dl10_steps15000_val_step14999.json,10069,colmap | ,10.0
vggt,87,42,0.0,95700,random,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,points,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,20.262678146362305,0.07546678930521011,0.7721289992332458,1000000,0.006177942734211683,0.24181179702281952,0.08861584216356277,0.02085246704518795,0.6866205176356709,0.18741274516874246,95700,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl0.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl0.0_confdisabled_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl0.0_confdisabled_steps15000,0.3347,0.019021,87,0.0458,0.013,0.1166,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl0.0_confdisabled_steps15000_val_step14999.json,95700,vggt | ,0.0
vggt,87,42,0.0,95700,random,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,points,,0.01,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,20.247812271118164,0.07551732659339905,0.7718104720115662,1000000,0.006127620581537485,0.24133728444576263,0.0874495878815651,0.020578715950250626,0.6861277545637089,0.18755152258987906,95700,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl0.01_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl0.01_confdisabled_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl0.01_confdisabled_steps15000,0.3347,0.019021,87,0.0458,0.013,0.1166,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl0.01_confdisabled_steps15000_val_step14999.json,95700,vggt | ,0.01
vggt,87,42,0.0,95700,random,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,points,,0.1,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,20.439395904541016,0.07401235401630402,0.7753106951713562,1000000,0.005844150669872761,0.2115166336297989,0.08485552668571472,0.019949886947870255,0.6926515091735871,0.18568804674066053,95700,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl0.1_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl0.1_confdisabled_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl0.1_confdisabled_steps15000,0.3347,0.019021,87,0.0458,0.013,0.1166,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl0.1_confdisabled_steps15000_val_step14999.json,95700,vggt | ,0.1
vggt,87,42,0.0,95700,random,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,points,,1.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,21.71884536743164,0.06601963937282562,0.806572437286377,1000000,0.004308065865188837,0.2411576360464096,0.07713867723941803,0.018140511587262154,0.7395605127520186,0.1708517334206178,95700,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl1_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl1_confdisabled_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl1_confdisabled_steps15000,0.3347,0.019021,87,0.0458,0.013,0.1166,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl1_confdisabled_steps15000_val_step14999.json,95700,vggt | ,1.0
vggt,87,42,0.0,95700,random,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,points,,10.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,22.552947998046875,0.07028433680534363,0.8289136290550232,1000000,0.0037827477790415287,0.23340485990047455,0.08506350964307785,0.019984308630228043,0.7654393529101885,0.1631551633329901,95700,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl10_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl10_confdisabled_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl10_confdisabled_steps15000,0.3347,0.019021,87,0.0458,0.013,0.1166,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_depthpoints_dl10_confdisabled_steps15000_val_step14999.json,95700,vggt | ,10.0
