choice,depth_lambda,depth_conf_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,0.0,,0.1736,25.889013290405273,0.048001088201999664,0.9055817127227783,,0.061698488891124725
COLMAP,0.01,,0.1736,25.768234252929688,0.04844282567501068,0.903440535068512,,0.06124654784798622
COLMAP,0.1,,0.1736,25.412378311157227,0.0496535487473011,0.8968065977096558,,0.06241367384791374
COLMAP,1.0,,0.1736,25.12260627746582,0.05242150276899338,0.8904432654380798,,0.060348737984895706
COLMAP,10.0,,0.1736,24.258867263793945,0.06521650403738022,0.8705586194992065,,0.0585574135184288
VGGT,0.0,,1.623,13.962857246398926,0.2770126760005951,0.6599129438400269,0.0289,0.08910851925611496
VGGT,0.0,sigmoid,1.623,13.961091995239258,0.27689212560653687,0.659972071647644,0.0289,0.08981439471244812
VGGT,0.0,standard,1.623,13.965576171875,0.2768342196941376,0.659930408000946,0.0289,0.08959180861711502
VGGT,0.01,,1.623,13.968636512756348,0.276700884103775,0.6600116491317749,0.0289,0.09067915380001068
VGGT,0.01,sigmoid,1.623,13.96751880645752,0.27651891112327576,0.6600165963172913,0.0289,0.09057418256998062
VGGT,0.01,standard,1.623,13.976497650146484,0.27612799406051636,0.6603942513465881,0.0289,0.09063983708620071
VGGT,0.1,,1.623,13.97260570526123,0.2760765850543976,0.6600975394248962,0.0289,0.09107528626918793
VGGT,0.1,sigmoid,1.623,13.975625038146973,0.276085764169693,0.6601971387863159,0.0289,0.09128493815660477
VGGT,0.1,standard,1.623,14.005861282348633,0.2754553556442261,0.6597418189048767,0.0289,0.09054521471261978
VGGT,1.0,,1.623,14.009133338928223,0.27468812465667725,0.660055935382843,0.0289,0.0904712826013565
VGGT,1.0,sigmoid,1.623,14.010132789611816,0.27477318048477173,0.6600512266159058,0.0289,0.09070941060781479
VGGT,1.0,standard,1.623,14.071276664733887,0.2960759401321411,0.6559746265411377,0.0289,0.09274477511644363
VGGT,10.0,,1.623,14.04159927368164,0.2899922728538513,0.6567249894142151,0.0289,0.09231458604335785
VGGT,10.0,sigmoid,1.623,14.06145191192627,0.28991076350212097,0.6567779183387756,0.0289,0.09233297407627106
VGGT,10.0,standard,1.623,14.16502857208252,0.3217464089393616,0.6505246758460999,0.0289,0.09468675404787064
