choice,num_images,depth_lambda,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
VGGT,20,0.0,1.103,15.485201835632324,0.5256656408309937,0.2192419022321701,,
VGGT,20,0.01,1.103,15.521007537841797,0.5243237018585205,0.22238467633724213,,
VGGT,20,0.1,1.103,15.808853149414062,0.5171043872833252,0.23603947460651398,,
VGGT,20,1.0,1.103,15.80965518951416,0.5436029434204102,0.2409668266773224,,
VGGT,30,0.0,0.9251,16.15736961364746,0.48490414023399353,0.23006999492645264,,
VGGT,30,0.01,0.9251,16.161075592041016,0.48480215668678284,0.23150065541267395,,
VGGT,30,0.1,0.9251,16.361949920654297,0.4838314652442932,0.24347735941410065,,
VGGT,30,1.0,0.9251,16.486555099487305,0.5137402415275574,0.2543051540851593,,
VGGT,40,0.0,0.7431,16.786640167236328,0.4579237401485443,0.2437324821949005,,
VGGT,40,0.01,0.7431,16.753341674804688,0.46098342537879944,0.244230717420578,,
VGGT,40,0.1,0.7431,16.87380599975586,0.4650920033454895,0.2522309422492981,,
VGGT,40,1.0,0.7431,16.985790252685547,0.49416694045066833,0.2603471875190735,,
VGGT,100,0.0,0.7724,17.48287010192871,0.3760794699192047,0.26840686798095703,,
VGGT,100,0.01,0.7724,17.508615493774414,0.37820377945899963,0.2694658935070038,,
VGGT,100,0.1,0.7724,17.68383026123047,0.38933563232421875,0.27511200308799744,,
VGGT,100,1.0,0.7724,17.89250373840332,0.4311293661594391,0.2883094847202301,,
