method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
vggt,20,42,0.0,20000,random,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,15.592379570007324,0.48983314633369446,0.21785423159599304,1000000,0.026023002341389656,1.3639999628067017,,,0.020214514077058356,0.4672712859436805,20000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_steps15000,1.1489,0.123985,20,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n20_s42_c0.0_p20000_random_farthestpose/eval_results.json,bicycle_4_n20_s42_c0.0_p20000_random_farthestpose,bicycle_4_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_steps15000_val_step14999.json,20000,vggt | 0.0,20.0
vggt,20,42,0.0,20000,random,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,13.953129768371582,0.32779231667518616,0.6189408302307129,1000000,0.029718836769461632,2.0122835636138916,,,0.32443680621494786,0.3284449703805582,20000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_steps15000,2.282,0.136623,20,0.0677,0.0193,0.1011,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n20_s42_c0.0_p20000_random_farthestpose/eval_results.json,lego_1_n20_s42_c0.0_p20000_random_farthestpose,lego_1_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_steps15000_val_step14999.json,20000,vggt | 0.0,20.0
vggt,20,42,0.0,20000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bonsai,,,,,,MCMC,,,,,,,,,,,sfm,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n20_s42_c0.0_p20000_random_farthestpose/eval_results.json,,bonsai_2_n20_s42_c0.0_p20000_random_farthestpose,0.8715,0.105606,20,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n20_s42_c0.0_p20000_random_farthestpose/eval_results.json,bonsai_2_n20_s42_c0.0_p20000_random_farthestpose,,,vggt | 0.0,20.0
vggt,30,42,0.0,30000,random,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,16.154842376708984,0.4501441717147827,0.22425037622451782,1000000,0.019108999520540237,0.9347000122070312,,,0.05887029448292953,0.451716576317438,30000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000,0.9302,0.091567,30,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n30_s42_c0.0_p30000_random_farthestpose/eval_results.json,bicycle_4_n30_s42_c0.0_p30000_random_farthestpose,bicycle_4_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000_val_step14999.json,30000,vggt | 0.0,30.0
vggt,30,42,0.0,30000,random,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,14.10421371459961,0.3168140649795532,0.627298891544342,1000000,0.026523420587182045,1.924529790878296,,,0.3388991108027428,0.3220577879829407,30000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000,2.2232,0.131161,30,0.0649,0.0185,0.0998,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n30_s42_c0.0_p30000_random_farthestpose/eval_results.json,lego_1_n30_s42_c0.0_p30000_random_farthestpose,lego_1_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000_val_step14999.json,30000,vggt | 0.0,30.0
vggt,30,42,0.0,30000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bonsai,,,,,,MCMC,,,,,,,,,,,sfm,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n30_s42_c0.0_p30000_random_farthestpose/eval_results.json,,bonsai_2_n30_s42_c0.0_p30000_random_farthestpose,1.0012,0.109652,30,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n30_s42_c0.0_p30000_random_farthestpose/eval_results.json,bonsai_2_n30_s42_c0.0_p30000_random_farthestpose,,,vggt | 0.0,30.0
vggt,40,42,0.0,40000,random,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,16.54815673828125,0.42724740505218506,0.23380540311336517,1000000,0.017886998131871223,0.8118999004364014,,,0.08587543537587297,0.4415710568424288,40000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000,0.9969,0.089406,40,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n40_s42_c0.0_p40000_random_farthestpose/eval_results.json,bicycle_4_n40_s42_c0.0_p40000_random_farthestpose,bicycle_4_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000_val_step14999.json,40000,vggt | 0.0,40.0
vggt,40,42,0.0,40000,random,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,14.638413429260254,0.2708923816680908,0.652127206325531,1000000,0.015185007825493813,1.205845832824707,,,0.39165789853294913,0.29835605016516364,40000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000,1.3375,0.068919,40,0.0541,0.0152,0.0944,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n40_s42_c0.0_p40000_random_farthestpose/eval_results.json,lego_1_n40_s42_c0.0_p40000_random_farthestpose,lego_1_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000_val_step14999.json,40000,vggt | 0.0,40.0
vggt,40,42,0.0,40000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bonsai,,,,,,MCMC,,,,,,,,,,,sfm,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n40_s42_c0.0_p40000_random_farthestpose/eval_results.json,,bonsai_2_n40_s42_c0.0_p40000_random_farthestpose,0.891,0.103772,40,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n40_s42_c0.0_p40000_random_farthestpose/eval_results.json,bonsai_2_n40_s42_c0.0_p40000_random_farthestpose,,,vggt | 0.0,40.0
vggt,87,42,0.0,87000,random,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,20.653635025024414,0.07170300930738449,0.7774046659469604,1000000,0.006083907559514046,0.2550726532936096,,,0.6992689660321278,0.18403528101349736,87000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p87000_random_farthestpose_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p87000_random_farthestpose_i87_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p87000_random_farthestpose_i87_gteval_poseopt_steps15000,0.3306,0.018825,87,0.0469,0.0133,0.1174,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p87000_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p87000_random_farthestpose,lego_1_n87_s42_c0.0_p87000_random_farthestpose_i87_gteval_poseopt_steps15000_val_step14999.json,87000,vggt | 0.0,87.0
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.384122848510742,0.337806761264801,0.26788055896759033,1000000,0.013628819026052952,0.4889967441558838,,,0.17649355493945842,0.4039034005824482,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000,0.7161,0.065623,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000_val_step14999.json,100000,vggt | 0.0,100.0
