choice,dataset,num_images,depth_lambda,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
VGGT,bicycle,20,0,1.1489,15.592379570007324,0.48983314633369446,0.21785423159599304,,
VGGT,bicycle,30,0,0.9302,16.154842376708984,0.4501441717147827,0.22425037622451782,,
VGGT,bicycle,40,0,0.9969,16.54815673828125,0.42724740505218506,0.23380540311336517,,
VGGT,bicycle,100,0,0.7161,17.384122848510742,0.337806761264801,0.26788055896759033,,
VGGT,bonsai,20,0,0.8715,,,,,
VGGT,bonsai,30,0,1.0012,,,,,
VGGT,bonsai,40,0,0.891,,,,,
VGGT,bonsai,100,0,0.7215,17.40581512451172,0.3973557949066162,0.559679388999939,,
VGGT,lego,20,0,2.282,13.953129768371582,0.32779231667518616,0.6189408302307129,0.0193,
VGGT,lego,30,0,2.2232,14.10421371459961,0.3168140649795532,0.627298891544342,0.0185,
VGGT,lego,40,0,1.3375,14.638413429260254,0.2708923816680908,0.652127206325531,0.0152,
VGGT,lego,87,0,0.3306,20.653635025024414,0.07170300930738449,0.7774046659469604,0.0133,
