method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
vggt,20,42,0.0,20000,random,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,16.633028030395508,0.4335782825946808,0.5235682725906372,1000000,0.020954309031367302,0.768738329410553,,,0.2529911473248205,0.38184349708898235,20000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_steps15000,0.8715,0.105606,20,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n20_s42_c0.0_p20000_random_farthestpose/eval_results.json,bonsai_2_n20_s42_c0.0_p20000_random_farthestpose,bonsai_2_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_steps15000_val_step14999.json,20000,vggt | 0.0,20.0
vggt,30,42,0.0,30000,random,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,16.655685424804688,0.4344872236251831,0.5249930024147034,1000000,0.020529145374894142,0.913500964641571,,,0.25368282932829284,0.38176454300965224,30000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000,1.0012,0.109652,30,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n30_s42_c0.0_p30000_random_farthestpose/eval_results.json,bonsai_2_n30_s42_c0.0_p30000_random_farthestpose,bonsai_2_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000_val_step14999.json,30000,vggt | 0.0,30.0
vggt,40,42,0.0,40000,random,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,16.721942901611328,0.43181106448173523,0.534048318862915,1000000,0.021052824333310127,0.7713969945907593,,,0.2618572764229356,0.3785631570219814,40000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000,0.891,0.103772,40,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n40_s42_c0.0_p40000_random_farthestpose/eval_results.json,bonsai_2_n40_s42_c0.0_p40000_random_farthestpose,bonsai_2_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000_val_step14999.json,40000,vggt | 0.0,40.0
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.422657012939453,0.3988327085971832,0.5597713589668274,1000000,0.021631203591823578,0.7885617017745972,,,0.3102331869860916,0.3601441038292793,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000,0.7215,0.105749,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000_val_step14999.json,100000,vggt | 0.0,100.0
vggt,20,42,0.0,20000,random,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,full,,0.01,standard,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,16.786767959594727,0.422242134809494,0.5272475481033325,1000000,0.020254041999578476,0.755035400390625,,,0.26498742824719274,0.37692293703668167,20000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,bonsai_2_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000,0.8715,0.105606,20,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n20_s42_c0.0_p20000_random_farthestpose/eval_results.json,bonsai_2_n20_s42_c0.0_p20000_random_farthestpose,bonsai_2_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000_val_step14999.json,20000,vggt | 0.01,20.0
vggt,30,42,0.0,30000,random,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,full,,0.01,standard,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,16.599071502685547,0.43016642332077026,0.5243738889694214,1000000,0.02022700570523739,0.9088259339332581,,,0.2549395293984962,0.3805684113583502,30000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,bonsai_2_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000,1.0012,0.109652,30,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n30_s42_c0.0_p30000_random_farthestpose/eval_results.json,bonsai_2_n30_s42_c0.0_p30000_random_farthestpose,bonsai_2_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000_val_step14999.json,30000,vggt | 0.01,30.0
vggt,40,42,0.0,40000,random,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,full,,0.01,standard,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,16.73185920715332,0.42800408601760864,0.532729983329773,1000000,0.02072307839989662,0.7632068395614624,,,0.2636199419648714,0.3775996528043656,40000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,bonsai_2_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000,0.891,0.103772,40,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n40_s42_c0.0_p40000_random_farthestpose/eval_results.json,bonsai_2_n40_s42_c0.0_p40000_random_farthestpose,bonsai_2_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000_val_step14999.json,40000,vggt | 0.01,40.0
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,full,,0.01,standard,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.43295669555664,0.3974898159503937,0.55943363904953,1000000,0.021453607827425003,0.7940806746482849,,,0.31105537089997876,0.35976699649626376,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000,0.7215,0.105749,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000_val_step14999.json,100000,vggt | 0.01,100.0
vggt,20,42,0.0,20000,random,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,full,,0.1,standard,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.067758560180664,0.4012409448623657,0.5329049229621887,1000000,0.01623040996491909,0.727431058883667,,,0.28646306173610875,0.3681094089243323,20000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000/stats/val_step14999.json,bonsai_2_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000,0.8715,0.105606,20,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n20_s42_c0.0_p20000_random_farthestpose/eval_results.json,bonsai_2_n20_s42_c0.0_p20000_random_farthestpose,bonsai_2_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000_val_step14999.json,20000,vggt | 0.1,20.0
vggt,30,42,0.0,30000,random,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,full,,0.1,standard,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,16.675765991210938,0.42124274373054504,0.5261189341545105,1000000,0.017794959247112274,0.9051787257194519,,,0.2628887361563049,0.3770440656891122,30000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000/stats/val_step14999.json,bonsai_2_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000,1.0012,0.109652,30,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n30_s42_c0.0_p30000_random_farthestpose/eval_results.json,bonsai_2_n30_s42_c0.0_p30000_random_farthestpose,bonsai_2_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000_val_step14999.json,30000,vggt | 0.1,30.0
