choice,num_images,depth_lambda,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
VGGT,20,0.0,0.8715,16.633028030395508,0.4335782825946808,0.5235682725906372,,
VGGT,20,0.01,0.8715,16.786767959594727,0.422242134809494,0.5272475481033325,,
VGGT,20,0.1,0.8715,17.067758560180664,0.4012409448623657,0.5329049229621887,,
VGGT,20,1.0,0.8715,17.02244758605957,0.41724106669425964,0.5315486788749695,,
VGGT,30,0.0,1.0012,16.655685424804688,0.4344872236251831,0.5249930024147034,,
VGGT,30,0.01,1.0012,16.599071502685547,0.43016642332077026,0.5243738889694214,,
VGGT,30,0.1,1.0012,16.675765991210938,0.42124274373054504,0.5261189341545105,,
VGGT,30,1.0,1.0012,16.830638885498047,0.42760464549064636,0.5313749313354492,,
VGGT,40,0.0,0.891,16.721942901611328,0.43181106448173523,0.534048318862915,,
VGGT,40,0.01,0.891,16.73185920715332,0.42800408601760864,0.532729983329773,,
VGGT,40,0.1,0.891,16.88001823425293,0.41537797451019287,0.5377219915390015,,
VGGT,40,1.0,0.891,16.99220085144043,0.4193129539489746,0.5401015281677246,,
VGGT,100,0.0,0.7215,17.422657012939453,0.3988327085971832,0.5597713589668274,,
VGGT,100,0.01,0.7215,17.43295669555664,0.3974898159503937,0.55943363904953,,
VGGT,100,0.1,0.7215,17.493587493896484,0.3919435441493988,0.5593283772468567,,
VGGT,100,1.0,0.7215,17.554183959960938,0.3939373791217804,0.5614463090896606,,
