method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
vggt,20,42,0.0,22000,voxels,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,,MCMC,,,,,,,,,,sfm,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n20_s42_c0.0_p22000_voxels_farthestpose/eval_results.json,,lego_1_n20_s42_c0.0_p22000_voxels_farthestpose,2.2981,0.141203,20,0.0926,0.0261,0.13,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n20_s42_c0.0_p22000_voxels_farthestpose/eval_results.json,lego_1_n20_s42_c0.0_p22000_voxels_farthestpose,,,vggt | 0.0,20.0
vggt,30,42,0.0,33000,voxels,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,full,,0.0,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.700972557067871,0.3063025176525116,0.6360926032066345,1000000,0.02951410971581936,2.0552401542663574,0.19667337834835052,0.051524411886930466,0.34306281286063633,0.31739943130605364,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000/stats/val_step14999.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000,2.2345,0.136023,30,0.0914,0.0258,0.1338,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose/eval_results.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000_val_step14999.json,31473,vggt | 0.0,30.0
vggt,40,42,0.0,44000,voxels,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,full,,0.0,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,14.357197761535645,0.2612892687320709,0.6660531759262085,1000000,0.013353245332837105,1.1359097957611084,0.28452253341674805,0.07488413900136948,0.400521890345605,0.29194600044587926,42428,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000/stats/val_step14999.json,lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000,1.3219,0.069077,40,0.0896,0.025,0.1358,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n40_s42_c0.0_p44000_voxels_farthestpose/eval_results.json,lego_1_n40_s42_c0.0_p44000_voxels_farthestpose,lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000_val_step14999.json,42428,vggt | 0.0,40.0
vggt,87,42,0.0,95700,voxels,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,full,,0.0,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,20.508930206298828,0.07359542697668076,0.7776257991790771,1000000,0.006076664663851261,0.25113531947135925,0.3962770700454712,0.10541266947984695,0.6955504057913184,0.1846851065574447,96897,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000,0.3306,0.018825,87,0.0768,0.0215,0.1508,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p95700_voxels_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p95700_voxels_farthestpose,lego_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000_val_step14999.json,96897,vggt | 0.0,87.0
vggt,30,42,0.0,33000,voxels,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,full,,0.01,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.695968627929688,0.3060206472873688,0.6363677382469177,1000000,0.02898404188454151,2.043741464614868,0.1968705654144287,0.05156494304537773,0.34330503924315897,0.3172458343896262,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000,2.2345,0.136023,30,0.0914,0.0258,0.1338,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose/eval_results.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000_val_step14999.json,31473,vggt | 0.01,30.0
vggt,40,42,0.0,44000,voxels,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,full,,0.01,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,14.34695816040039,0.26183342933654785,0.6662386059761047,1000000,0.013085623271763325,1.1344890594482422,0.2867380976676941,0.0754331648349762,0.40010480512032803,0.29210275162666866,42428,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000,1.3219,0.069077,40,0.0896,0.025,0.1358,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n40_s42_c0.0_p44000_voxels_farthestpose/eval_results.json,lego_1_n40_s42_c0.0_p44000_voxels_farthestpose,lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000_val_step14999.json,42428,vggt | 0.01,40.0
vggt,87,42,0.0,95700,voxels,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,full,,0.01,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,21.382490158081055,0.06772143393754959,0.7973220944404602,1000000,0.004448629915714264,0.23979930579662323,0.38491296768188477,0.10249640792608261,0.7268716648869733,0.17506422989379117,96897,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000,0.3306,0.018825,87,0.0768,0.0215,0.1508,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p95700_voxels_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p95700_voxels_farthestpose,lego_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000_val_step14999.json,96897,vggt | 0.01,87.0
vggt,30,42,0.0,33000,voxels,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,full,,0.1,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.750330924987793,0.3024931848049164,0.6378942728042603,1000000,0.026729870587587357,1.959330439567566,0.1891058385372162,0.04965078458189964,0.3473819046922129,0.3154706120442057,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000/stats/val_step14999.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000,2.2345,0.136023,30,0.0914,0.0258,0.1338,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose/eval_results.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000_val_step14999.json,31473,vggt | 0.1,30.0
vggt,40,42,0.0,44000,voxels,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,full,,0.1,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,14.348346710205078,0.2628675103187561,0.6660719513893127,1000000,0.01191609539091587,1.1049779653549194,0.2770449221134186,0.0729096308350563,0.3993947385889589,0.2924916010293127,42428,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000/stats/val_step14999.json,lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000,1.3219,0.069077,40,0.0896,0.025,0.1358,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n40_s42_c0.0_p44000_voxels_farthestpose/eval_results.json,lego_1_n40_s42_c0.0_p44000_voxels_farthestpose,lego_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000_val_step14999.json,42428,vggt | 0.1,40.0
vggt,87,42,0.0,95700,voxels,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,full,,0.1,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,23.019256591796875,0.07648590207099915,0.8415840864181519,1000000,0.0033053706865757704,0.20304524898529053,0.37624040246009827,0.10019534081220627,0.7776561947206617,0.15983018917316322,96897,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000,0.3306,0.018825,87,0.0768,0.0215,0.1508,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p95700_voxels_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p95700_voxels_farthestpose,lego_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000_val_step14999.json,96897,vggt | 0.1,87.0
