choice,num_images,depth_lambda,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
VGGT,20,0.0,2.282,13.512162208557129,0.324068158864975,0.6202254891395569,0.0193,0.04170460253953934
VGGT,20,0.01,2.282,13.493888854980469,0.3187868297100067,0.6248120069503784,0.0193,0.04473934695124626
VGGT,20,0.1,2.282,13.537113189697266,0.31575828790664673,0.6272920370101929,0.0193,0.04335644096136093
VGGT,20,1.0,2.282,13.764205932617188,0.30964985489845276,0.6298955082893372,0.0193,0.04012990742921829
VGGT,30,0.0,2.2232,13.846257209777832,0.3047148883342743,0.6340266466140747,0.0185,0.03919067978858948
VGGT,30,0.01,2.2232,13.860762596130371,0.29968273639678955,0.6389336585998535,0.0185,0.04325096681714058
VGGT,30,0.1,2.2232,13.892111778259277,0.29758769273757935,0.6397954821586609,0.0185,0.04194125160574913
VGGT,30,1.0,2.2232,13.772299766540527,0.30546408891677856,0.6373842358589172,0.0185,0.04213305190205574
VGGT,40,0.0,1.3375,14.36060619354248,0.2626911699771881,0.6649694442749023,0.0152,0.038888949900865555
VGGT,40,0.01,1.3375,14.35694408416748,0.2615744173526764,0.6662949919700623,0.0152,0.044420890510082245
VGGT,40,0.1,1.3375,14.385393142700195,0.26187172532081604,0.6662704944610596,0.0152,0.04116233438253403
VGGT,40,1.0,1.3375,14.338285446166992,0.270684152841568,0.6661460995674133,0.0152,0.03903787583112717
VGGT,87,0.0,0.3306,20.37809944152832,0.07559234648942947,0.7738922238349915,0.0133,0.021131223067641258
VGGT,87,0.01,0.3306,21.796232223510742,0.06642847508192062,0.8067996501922607,0.0133,0.01792663149535656
VGGT,87,0.1,0.3306,23.089656829833984,0.07515277713537216,0.8441794514656067,0.0133,0.01745491847395897
VGGT,87,1.0,0.3306,23.446359634399414,0.0963103249669075,0.8442355394363403,0.0133,0.01752268150448799
